#{"t_start": 1707597672.4682312, "env_id": "ALE/Assault-v5"}
r,l,t
315.0,1376,25.64865
210.0,1502,45.325888
126.0,935,56.214554
189.0,1079,68.609356
315.0,1313,83.811653
189.0,481,89.324687
231.0,1153,103.798127
294.0,1121,118.610801
126.0,385,123.317848
252.0,959,135.388958
378.0,1473,155.469839
336.0,959,167.344154
189.0,1071,180.323445
273.0,767,189.142377
273.0,577,196.166347
210.0,614,203.707358
147.0,353,208.019017
336.0,768,218.210637
357.0,718,226.685645
378.0,806,236.720395
294.0,463,242.518342
252.0,479,247.864334
504.0,807,258.863659
441.0,703,268.460438
189.0,430,273.030049
651.0,935,284.949592
294.0,647,292.781916
189.0,257,295.646541
105.0,225,298.101277
231.0,481,304.442756
357.0,519,310.954558
273.0,615,319.300684
378.0,609,326.416579
210.0,495,332.758464
294.0,439,338.314379
672.0,935,354.2464
462.0,703,362.735471
231.0,513,368.867982
189.0,417,374.187144
336.0,470,379.536431
336.0,767,389.21348
315.0,495,395.617435
357.0,800,406.180875
273.0,615,414.038659
399.0,822,424.754652
189.0,719,434.598537
483.0,1238,450.645417
273.0,833,459.964522
609.0,1250,476.019288
672.0,2070,500.061549
693.0,2387,530.344936
651.0,1642,552.441472
609.0,1891,577.006298
672.0,1613,597.167612
189.0,321,600.412913
483.0,1411,617.512244
588.0,1571,636.506823
630.0,1898,660.145679
630.0,1346,676.507015
735.0,1849,709.092819
231.0,577,716.292334
798.0,1500,735.89658
672.0,1272,751.94743
588.0,1155,765.182441
651.0,1675,786.495528
672.0,1253,803.025054
672.0,1292,819.356228
546.0,1122,833.705873
651.0,1604,855.049826
777.0,1069,868.987
588.0,995,881.516323
777.0,1412,899.646729
777.0,1197,915.59748
651.0,1351,933.796989
567.0,963,946.491007
693.0,1190,961.50022
714.0,1243,976.925683
714.0,1241,992.330652
630.0,1277,1006.696621
735.0,1242,1027.855224
756.0,1407,1045.422817
714.0,1187,1059.430478
714.0,1270,1075.457506
714.0,1398,1092.841765
777.0,1360,1109.3393
735.0,1123,1123.058835
714.0,1325,1139.31074
693.0,1174,1152.719362
651.0,1207,1168.078851
735.0,1269,1183.876188
756.0,1275,1200.691052
693.0,1105,1214.550047
714.0,1203,1230.333831
672.0,1061,1244.117978
735.0,1298,1261.186232
693.0,1094,1275.072342
777.0,1273,1290.11447
672.0,1079,1303.679775
651.0,1143,1318.482526
714.0,1130,1332.727466
588.0,834,1343.820634
651.0,1233,1367.866247
819.0,1119,1381.750442
756.0,1220,1397.854328
630.0,1436,1415.545024
693.0,1156,1430.536483
693.0,1000,1443.667606
693.0,1147,1457.638338
630.0,1092,1469.772667
829.0,1475,1488.431013
651.0,1194,1502.745492
766.0,1177,1516.757445
672.0,950,1528.628134
756.0,1000,1541.482819
703.0,1155,1556.442548
672.0,984,1568.421925
714.0,1124,1583.195989
672.0,1226,1597.69405
735.0,1064,1609.437393
714.0,1140,1624.091514
672.0,1020,1637.851156
840.0,1197,1653.215643
714.0,1146,1668.143538
714.0,1145,1682.983999
735.0,1164,1706.264735
2089.0,2945,1745.472539
714.0,1159,1760.108133
714.0,970,1772.303979
756.0,1095,1786.221728
651.0,934,1798.62993
651.0,1133,1813.198217
682.0,1157,1827.513662
777.0,1193,1842.286742
745.0,1155,1855.383186
840.0,1089,1868.870367
714.0,1068,1882.109554
777.0,1173,1897.35455
672.0,1114,1911.541001
766.0,1234,1926.316447
756.0,1159,1939.789915
798.0,1174,1955.208838
692.0,1039,1967.601653
777.0,1066,1981.673363
703.0,1097,1993.962603
703.0,1091,2006.554511
1163.0,1953,2039.767072
818.0,1385,2058.465044
