#{"t_start": 1707597675.563842, "env_id": "ALE/Asterix-v5"}
r,l,t
500.0,407,14.188271
300.0,311,18.364845
250.0,254,21.750483
200.0,255,24.782234
50.0,227,27.452461
200.0,308,31.160314
150.0,210,34.224696
50.0,200,36.88786
300.0,267,40.483083
100.0,208,43.411987
100.0,206,46.058504
350.0,260,49.568607
100.0,207,52.146083
100.0,240,55.358993
250.0,223,58.028682
150.0,247,60.742674
200.0,226,63.283715
200.0,308,66.649172
100.0,216,69.239734
50.0,228,71.673816
400.0,324,75.90463
250.0,297,80.254472
400.0,376,85.698931
350.0,360,90.204175
100.0,202,92.727643
250.0,184,94.9901
300.0,275,98.338132
450.0,234,101.076495
300.0,301,104.961406
50.0,212,107.58352
200.0,286,111.032811
400.0,299,115.157471
100.0,210,117.741604
50.0,210,120.55706
50.0,205,123.152815
200.0,235,126.218462
100.0,208,128.784152
250.0,325,133.221408
450.0,258,136.940762
750.0,463,143.073326
500.0,394,148.845837
300.0,219,151.774887
500.0,387,156.905618
200.0,216,160.043519
150.0,225,162.708435
200.0,218,165.408454
300.0,275,168.513041
150.0,280,171.654964
150.0,273,174.735251
150.0,221,177.459279
300.0,246,180.818019
150.0,249,183.919181
100.0,193,186.30612
150.0,181,188.514874
250.0,214,191.548244
100.0,202,194.295735
150.0,240,197.266749
100.0,201,199.973426
300.0,307,204.276681
100.0,222,206.827201
700.0,394,212.19891
250.0,231,215.303218
300.0,237,218.624744
350.0,258,221.867683
50.0,209,224.254495
50.0,209,226.658034
400.0,329,230.690089
50.0,213,233.044852
50.0,219,235.582392
250.0,215,238.017247
450.0,326,242.436706
250.0,313,246.832956
400.0,284,250.633479
650.0,432,256.215388
100.0,203,258.458161
300.0,228,261.170282
150.0,205,263.955368
100.0,213,266.797467
450.0,353,271.632566
150.0,202,274.427704
200.0,240,277.674991
250.0,272,281.59471
50.0,212,284.398327
200.0,197,286.906756
350.0,257,290.680623
250.0,202,293.200261
250.0,283,296.429345
50.0,202,298.889749
100.0,215,302.030485
250.0,167,303.814188
350.0,307,308.44534
250.0,209,311.479315
500.0,317,315.819515
250.0,227,319.055373
350.0,380,324.053794
50.0,204,326.788453
100.0,207,329.381776
100.0,213,331.962685
300.0,243,334.808023
150.0,201,337.193482
100.0,200,339.624141
100.0,207,342.521077
200.0,213,345.216815
350.0,301,349.520605
