#{"t_start": 1707597676.2227032, "env_id": "ALE/Asteroids-v5"}
r,l,t
360.0,486,15.213107
480.0,507,21.71289
230.0,568,29.312987
430.0,558,37.406819
360.0,528,45.092203
210.0,342,49.568958
330.0,529,56.942649
430.0,613,64.468727
160.0,376,69.063004
510.0,779,79.53643
260.0,474,86.071521
310.0,373,90.62657
880.0,948,104.423078
680.0,1364,124.712357
210.0,501,131.879155
310.0,350,135.683366
780.0,937,149.302309
580.0,942,162.123379
380.0,520,169.803007
280.0,649,178.960345
230.0,559,187.012511
290.0,380,192.669551
530.0,849,204.036444
680.0,1129,219.51088
610.0,615,227.641117
380.0,585,235.905693
410.0,621,244.450987
380.0,526,251.075709
230.0,592,258.665478
330.0,497,265.330482
360.0,825,277.238697
310.0,358,282.146246
410.0,508,289.46889
780.0,1042,305.105077
630.0,641,313.907783
530.0,1142,330.493454
480.0,769,341.727859
630.0,776,352.83403
360.0,399,357.95502
580.0,523,364.884981
580.0,420,370.578125
510.0,594,379.384356
360.0,386,384.661511
330.0,611,398.867669
560.0,740,409.510803
330.0,622,418.983417
460.0,551,427.074728
280.0,291,431.116427
630.0,1152,448.87257
630.0,857,460.301534
430.0,574,469.053587
230.0,469,475.523166
330.0,524,482.707919
280.0,343,487.533122
230.0,371,492.139772
410.0,657,501.814464
280.0,412,507.22901
280.0,329,510.942648
630.0,822,521.989188
260.0,501,529.320742
730.0,928,543.754673
380.0,552,551.692762
280.0,389,557.171546
280.0,580,564.815448
610.0,404,570.69331
230.0,320,575.271735
1080.0,1077,590.749462
260.0,612,599.453995
290.0,405,605.246131
530.0,702,615.776663
280.0,551,623.358657
610.0,691,633.562613
210.0,385,638.699807
330.0,319,642.940739
280.0,354,647.703087
530.0,463,654.336452
260.0,371,659.524049
1080.0,1017,675.485035
460.0,413,681.560383
380.0,464,688.013136
480.0,510,695.024234
260.0,466,701.315844
380.0,531,708.472226
410.0,478,715.067422
280.0,548,722.643269
310.0,416,728.372625
230.0,698,738.537259
410.0,417,744.201497
630.0,871,757.117032
630.0,637,766.739452
380.0,824,779.696259
430.0,468,786.883828
380.0,421,793.055496
410.0,465,803.099654
530.0,628,812.441278
260.0,458,819.340625
180.0,336,824.161632
210.0,413,829.976812
880.0,865,843.198587
380.0,475,849.79246
580.0,881,862.697502
730.0,1011,878.143332
280.0,417,883.4914
330.0,465,890.186661
480.0,462,897.04879
630.0,532,904.73008
230.0,362,909.974594
630.0,580,917.777068
410.0,413,923.396142
280.0,363,927.623148
580.0,575,935.173392
330.0,485,941.892188
680.0,715,952.067589
480.0,514,959.62737
190.0,468,966.258623
530.0,416,972.299764
530.0,634,982.207608
580.0,776,993.292078
630.0,753,1003.170882
360.0,662,1012.772034
180.0,360,1017.957013
230.0,325,1022.15195
530.0,892,1035.275501
730.0,595,1043.754362
530.0,478,1050.553615
260.0,564,1057.842008
210.0,587,1066.119476
530.0,585,1073.845402
430.0,459,1079.81705
290.0,500,1086.698909
430.0,591,1094.968139
160.0,417,1100.697147
280.0,485,1107.744765
330.0,551,1115.330629
330.0,461,1122.275182
280.0,465,1128.966906
480.0,562,1136.838639
310.0,377,1141.412616
280.0,389,1146.809922
210.0,416,1151.888156
480.0,816,1164.247862
380.0,458,1170.488894
330.0,460,1175.988708
530.0,524,1183.004891
330.0,626,1192.542387
630.0,679,1206.047746
280.0,374,1210.847392
480.0,388,1216.105253
510.0,778,1227.477983
330.0,415,1233.745254
830.0,828,1245.919267
630.0,891,1259.307427
310.0,411,1265.177534
330.0,561,1272.885045
280.0,475,1279.670868
360.0,374,1284.805267
230.0,411,1289.671582
930.0,916,1302.223769
480.0,598,1309.840873
290.0,396,1315.024987
580.0,581,1324.296162
330.0,462,1329.935403
380.0,424,1335.481758
680.0,512,1342.145153
580.0,750,1351.903335
580.0,429,1357.681828
480.0,506,1364.538789
260.0,420,1370.716229
830.0,514,1378.665668
510.0,492,1386.1328
230.0,412,1392.303994
1300.0,1899,1422.724401
480.0,754,1434.501048
730.0,558,1442.474574
180.0,460,1449.130929
310.0,464,1455.208192
360.0,412,1460.298654
380.0,476,1467.076221
340.0,347,1471.771225
330.0,463,1478.53364
430.0,377,1483.766709
630.0,712,1494.745095
430.0,558,1502.039222
330.0,458,1508.441561
360.0,507,1515.595637
460.0,415,1520.775026
930.0,727,1531.365448
680.0,858,1544.086152
380.0,440,1550.116404
280.0,380,1555.09312
430.0,492,1562.416299
