#{"t_start": 1707597673.9850152, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,222,11.851668
0.0,169,14.005111
0.0,153,16.046938
0.0,167,18.180639
3.0,282,23.061635
2.0,257,27.38086
6.0,401,35.180016
2.0,249,39.088767
1.0,213,42.321302
3.0,291,47.671328
1.0,201,50.399652
2.0,240,54.624243
1.0,213,58.017073
2.0,228,61.756638
1.0,200,64.660718
4.0,324,70.37002
2.0,238,74.22278
1.0,201,77.986053
0.0,144,80.46017
1.0,203,84.201876
2.0,245,88.40807
0.0,159,90.838923
3.0,296,96.044266
5.0,364,103.178091
0.0,170,105.250519
1.0,203,108.35239
2.0,231,112.875666
3.0,283,118.718883
2.0,241,123.226966
0.0,158,125.804536
1.0,224,129.815449
0.0,163,132.707757
3.0,269,137.386699
2.0,247,141.272431
1.0,191,144.793419
1.0,217,148.364489
2.0,229,152.606646
1.0,218,155.823161
2.0,231,160.19119
2.0,242,165.071239
0.0,157,167.709661
2.0,248,171.517316
2.0,256,175.817105
1.0,194,178.610079
3.0,271,183.355278
2.0,252,187.313351
1.0,201,190.91031
1.0,215,194.479984
2.0,243,198.859663
2.0,228,202.701322
3.0,278,207.781291
1.0,205,211.304307
0.0,167,213.520637
6.0,434,222.773973
3.0,279,227.242997
2.0,257,231.421572
2.0,258,235.554355
3.0,293,241.403858
1.0,194,244.26017
1.0,203,247.289816
5.0,380,254.667216
5.0,366,261.962396
0.0,168,264.717635
3.0,271,269.649623
1.0,207,272.977097
2.0,218,276.878821
0.0,175,279.538941
2.0,244,283.797712
2.0,239,287.858757
3.0,260,293.03261
3.0,294,298.057675
2.0,203,301.95975
4.0,342,309.039847
1.0,203,312.744108
0.0,173,315.055846
3.0,266,320.347156
2.0,254,325.037732
2.0,275,330.237714
1.0,208,334.076447
2.0,249,338.442412
2.0,229,342.855867
3.0,284,348.233038
2.0,245,352.433754
3.0,274,357.872146
2.0,256,362.688352
1.0,182,365.806348
3.0,267,370.187633
3.0,280,375.224861
2.0,255,379.453238
3.0,284,384.457238
3.0,276,389.820015
0.0,163,392.162031
7.0,373,399.859013
5.0,358,407.555954
0.0,183,410.24299
3.0,263,415.469913
0.0,157,418.142049
2.0,250,422.609627
3.0,291,427.609902
2.0,263,431.714519
2.0,241,435.669735
3.0,244,440.219175
2.0,210,443.751596
3.0,274,448.95454
2.0,248,453.586159
2.0,229,456.972071
0.0,165,459.03247
2.0,237,462.444554
1.0,200,465.778409
2.0,234,470.194843
4.0,348,476.657167
1.0,208,480.110812
2.0,221,483.886545
0.0,151,486.073211
3.0,274,491.059546
2.0,263,495.563116
1.0,218,499.252919
3.0,293,504.677944
2.0,248,509.193475
0.0,167,511.822338
0.0,160,514.203344
0.0,159,516.713347
2.0,239,520.820883
2.0,244,524.566856
0.0,158,527.094763
2.0,238,531.783647
0.0,155,534.189271
3.0,309,539.559079
1.0,211,542.392836
1.0,217,545.41402
0.0,162,547.92119
0.0,178,550.655154
0.0,167,552.804308
2.0,246,556.552928
3.0,291,562.343548
2.0,235,566.30754
2.0,228,570.05319
1.0,222,573.159446
2.0,244,576.557561
0.0,173,578.507301
2.0,255,582.46538
1.0,213,585.817014
0.0,163,587.825046
4.0,334,593.567775
0.0,172,595.809711
2.0,241,599.566754
1.0,190,602.932059
3.0,289,608.508858
2.0,249,613.032772
1.0,215,616.116323
0.0,179,620.686213
3.0,270,625.792964
3.0,310,630.374391
0.0,181,632.703429
1.0,173,635.335474
2.0,251,638.958383
4.0,346,644.507712
0.0,166,646.603769
2.0,243,651.445164
1.0,188,653.83412
2.0,232,657.254398
2.0,241,661.310242
1.0,198,664.396814
0.0,170,666.780714
1.0,206,669.826219
1.0,189,673.349852
2.0,226,676.926356
0.0,172,679.412756
2.0,241,684.432223
0.0,169,686.963585
1.0,215,690.73529
2.0,251,695.629053
0.0,168,698.258284
3.0,286,702.69011
2.0,226,706.314058
2.0,238,709.791833
2.0,216,713.248882
1.0,223,716.219897
2.0,254,720.642616
2.0,230,724.447163
3.0,275,729.479764
2.0,250,733.398178
2.0,230,737.186214
1.0,218,740.306393
1.0,207,743.694016
5.0,380,751.281063
4.0,320,756.814706
1.0,201,760.027909
2.0,230,763.98537
5.0,336,770.887086
3.0,259,776.436345
2.0,240,780.332247
4.0,317,786.86259
3.0,282,791.814375
3.0,275,796.856673
2.0,215,800.169537
3.0,277,804.551741
3.0,279,808.959286
3.0,291,813.686057
3.0,287,818.866611
2.0,246,822.847025
3.0,261,827.5649
3.0,291,832.980987
0.0,176,835.197647
0.0,178,837.51135
0.0,176,839.591205
2.0,207,842.590157
2.0,230,845.950763
2.0,256,850.629474
1.0,206,854.012505
4.0,328,859.71597
0.0,154,862.530189
2.0,204,866.248587
3.0,252,871.385158
4.0,325,877.468709
2.0,229,881.527339
2.0,221,885.787381
2.0,226,889.951922
4.0,356,896.532443
3.0,286,900.976178
3.0,259,906.189902
3.0,262,911.164297
3.0,270,915.57658
2.0,236,918.890521
2.0,224,922.150685
2.0,234,925.949748
4.0,306,931.514327
2.0,241,935.568698
3.0,295,940.89001
3.0,268,946.192117
4.0,334,951.838588
3.0,284,956.644133
0.0,170,959.092789
0.0,160,961.566505
0.0,179,964.216755
3.0,267,969.004813
2.0,233,973.17302
3.0,266,978.316338
3.0,313,984.180577
0.0,172,987.061436
3.0,266,991.721603
3.0,277,995.769403
3.0,275,1000.116338
3.0,269,1004.541917
4.0,324,1009.925574
3.0,258,1013.926501
3.0,278,1018.478427
3.0,300,1023.763338
2.0,236,1028.126981
2.0,230,1032.356791
4.0,339,1038.106707
4.0,320,1044.963908
2.0,230,1048.708135
2.0,221,1052.170411
3.0,293,1057.158488
2.0,210,1060.608811
2.0,230,1064.434976
2.0,239,1068.764386
2.0,232,1072.7108
2.0,234,1075.993431
2.0,228,1080.549322
0.0,156,1083.208779
0.0,162,1085.808646
3.0,265,1090.184887
2.0,238,1093.777703
2.0,220,1097.476245
4.0,319,1103.687466
2.0,232,1108.120966
4.0,328,1113.117275
0.0,178,1115.354883
3.0,281,1120.595886
0.0,162,1123.163193
2.0,216,1126.583045
2.0,235,1131.045898
3.0,266,1136.610678
2.0,235,1140.620316
3.0,269,1144.836421
2.0,229,1148.812489
2.0,219,1152.461511
3.0,278,1157.234267
3.0,270,1162.10204
2.0,215,1165.895722
2.0,220,1169.366727
2.0,251,1173.185626
2.0,245,1177.182933
2.0,239,1181.379381
3.0,284,1186.323505
0.0,180,1188.803622
2.0,239,1192.716916
2.0,237,1196.8985
2.0,237,1200.856888
4.0,335,1207.561994
3.0,279,1212.434673
0.0,182,1216.207431
0.0,154,1218.279786
3.0,261,1223.554033
3.0,267,1228.346188
2.0,226,1231.419576
2.0,218,1235.020738
2.0,242,1238.650509
4.0,319,1244.542289
3.0,294,1249.525423
1.0,200,1253.086302
4.0,327,1258.832289
2.0,235,1262.873334
2.0,226,1266.920691
3.0,266,1271.31992
3.0,274,1275.842935
3.0,289,1280.832946
2.0,242,1284.809989
4.0,302,1290.428371
0.0,157,1292.789415
2.0,230,1297.133711
4.0,329,1303.511936
3.0,286,1308.881919
2.0,224,1313.209041
2.0,230,1317.562903
4.0,334,1322.890851
3.0,294,1327.749902
2.0,231,1331.771712
2.0,227,1335.753943
3.0,294,1341.149377
2.0,235,1344.804833
2.0,233,1348.918884
2.0,217,1352.823888
2.0,225,1356.626173
2.0,232,1360.710671
1.0,193,1364.12854
2.0,227,1368.240795
3.0,287,1373.602078
4.0,331,1379.857542
2.0,238,1384.355391
2.0,253,1388.499506
2.0,249,1392.299912
3.0,266,1396.348967
2.0,255,1399.971113
0.0,174,1402.255648
2.0,244,1406.701666
3.0,269,1411.538105
