#{"t_start": 1707597674.3085754, "env_id": "ALE/Centipede-v5"}
r,l,t
2854.0,846,21.74518
347.0,441,28.126182
467.0,555,35.893561
1963.0,818,48.196999
2059.0,1061,63.710701
3742.0,633,73.683787
951.0,577,81.222618
2773.0,796,93.453019
3137.0,799,105.671743
6680.0,1018,120.978119
1398.0,763,132.412119
425.0,469,139.232864
2041.0,616,148.598454
2963.0,690,159.150931
580.0,469,166.384542
1696.0,565,174.678219
4503.0,850,187.798336
788.0,660,196.901194
756.0,623,205.181868
1171.0,577,213.24946
3367.0,950,226.641846
2002.0,796,238.630103
3060.0,828,252.312905
5847.0,1000,267.610929
3112.0,868,279.659267
663.0,251,282.808407
2093.0,679,293.531316
2360.0,902,307.246167
701.0,491,314.817041
5485.0,872,327.630121
1796.0,645,337.122561
5466.0,989,351.683311
1871.0,552,359.898278
2376.0,591,368.634234
4115.0,878,382.013569
2020.0,621,390.356377
1111.0,436,395.76528
2173.0,900,415.239384
1300.0,637,423.683724
985.0,437,430.360868
1595.0,774,442.596061
1791.0,634,452.164126
4410.0,1253,471.684538
2115.0,606,480.252557
2854.0,789,492.650647
3712.0,594,501.027759
3005.0,673,511.103119
3258.0,718,522.486831
326.0,383,528.330174
2761.0,808,541.548651
4866.0,946,554.093797
2003.0,663,563.624358
3266.0,1134,580.820509
3109.0,724,591.410857
2507.0,520,598.283184
3072.0,803,609.370512
4790.0,1258,627.446575
1170.0,479,634.497169
3711.0,655,644.230693
1408.0,716,654.777699
2771.0,925,669.263689
3424.0,1122,686.653524
7742.0,1414,708.838329
1899.0,668,719.207108
1113.0,632,727.489481
2704.0,730,737.293515
904.0,571,745.031648
2746.0,891,758.437166
1643.0,575,766.639245
1595.0,682,776.540206
2222.0,721,786.387977
2266.0,830,798.944294
2690.0,1101,820.931437
2086.0,441,827.589575
3301.0,789,839.208148
5676.0,956,852.091638
3998.0,1068,867.409543
2757.0,781,877.935532
958.0,524,885.470177
1301.0,554,893.884907
5385.0,1004,908.895312
2160.0,1065,924.693242
3384.0,803,936.433972
1122.0,562,945.303202
1416.0,595,954.398118
4078.0,900,968.339253
1763.0,650,977.059262
3138.0,685,987.369626
4046.0,958,1001.632587
5155.0,776,1012.429366
4767.0,1072,1029.264027
2347.0,965,1044.266689
4828.0,1130,1061.868092
8369.0,1325,1081.496676
3039.0,872,1094.262974
12238.0,1585,1117.116903
2493.0,823,1129.523545
2579.0,814,1142.157178
3402.0,804,1154.500217
4505.0,865,1166.485269
7833.0,1466,1187.348048
4292.0,1078,1211.02851
5376.0,1073,1227.62856
1403.0,749,1237.584874
3081.0,867,1250.151953
1883.0,742,1261.022512
2668.0,901,1273.085677
1590.0,758,1284.521144
4881.0,1407,1306.37096
3703.0,908,1320.255688
2522.0,1106,1337.598109
3950.0,1046,1352.922945
6680.0,978,1367.70481
6179.0,984,1382.121338
1584.0,588,1390.887002
2001.0,942,1404.446598
4996.0,1223,1421.666494
7762.0,1876,1449.99462
3833.0,1093,1466.367968
1903.0,724,1477.49131
1258.0,720,1487.958272
2698.0,910,1501.697901
2175.0,623,1511.03259
1789.0,716,1522.373228
12569.0,1780,1548.817839
5454.0,1191,1566.009678
4841.0,1076,1581.942735
2062.0,1032,1603.270702
925.0,628,1612.627595
3388.0,904,1626.369765
2455.0,702,1636.947562
2982.0,618,1646.6504
1870.0,646,1656.208934
4351.0,1352,1676.034329
5646.0,1093,1691.286106
3869.0,1212,1710.234552
2495.0,901,1723.211817
5754.0,1341,1743.621167
3326.0,750,1754.151711
2720.0,619,1763.028262
2183.0,586,1771.04046
3525.0,1054,1786.321248
3312.0,722,1797.385318
2197.0,883,1811.472346
1513.0,834,1824.202662
