#{"t_start": 1707597673.0945191, "env_id": "ALE/MsPacman-v5"}
r,l,t
210.0,397,17.402988
1080.0,927,32.198857
690.0,661,42.236451
660.0,935,56.24789
760.0,565,64.38087
450.0,573,73.407698
530.0,435,79.789559
310.0,401,85.051453
350.0,495,92.06642
310.0,455,98.737924
290.0,445,105.024305
270.0,407,110.984193
380.0,447,117.645093
300.0,455,124.623664
290.0,511,131.637826
400.0,501,139.046357
1100.0,773,150.117511
280.0,481,157.535471
870.0,651,166.995555
320.0,487,174.039315
430.0,621,182.416392
250.0,349,187.03873
1100.0,779,198.220582
360.0,563,206.928856
350.0,555,215.158934
250.0,395,221.051763
250.0,419,227.706135
1270.0,873,240.496905
340.0,475,247.718378
570.0,683,257.894834
320.0,463,264.685662
980.0,825,277.191827
240.0,357,282.816897
290.0,405,288.865621
260.0,371,293.837083
340.0,399,299.438693
300.0,377,305.15146
350.0,477,312.528372
330.0,357,317.50483
830.0,731,328.692004
890.0,707,339.311227
1220.0,727,350.277544
600.0,635,358.927636
370.0,445,364.858906
580.0,535,371.987638
1490.0,853,384.061003
1900.0,603,393.33722
1050.0,745,411.071916
480.0,489,417.870665
720.0,843,430.545334
510.0,571,439.598403
410.0,453,446.427147
410.0,413,452.558508
750.0,733,463.601408
780.0,555,472.435246
470.0,559,481.217767
690.0,619,490.91301
380.0,437,497.683266
730.0,611,507.238419
800.0,691,516.757052
460.0,485,523.193035
540.0,665,532.209067
1860.0,745,543.545068
260.0,403,549.668844
320.0,341,555.066751
820.0,1039,570.520678
690.0,633,580.437809
1150.0,727,591.452882
570.0,579,599.979248
540.0,547,608.085683
790.0,767,620.224009
710.0,669,630.481264
420.0,845,643.686422
610.0,611,652.297053
1040.0,929,665.714476
950.0,775,676.765286
1590.0,803,689.675454
590.0,723,700.609636
590.0,679,710.056995
430.0,487,716.772624
1300.0,829,729.416201
620.0,701,739.964305
440.0,475,747.065714
950.0,661,756.990687
450.0,403,763.245568
880.0,699,773.105516
330.0,419,778.722614
350.0,357,783.96455
1390.0,695,798.525829
310.0,333,803.088475
350.0,439,809.529174
600.0,531,817.954293
470.0,521,826.18079
730.0,569,834.052739
470.0,463,840.780031
910.0,1005,857.136228
730.0,767,869.207613
610.0,713,879.901157
460.0,501,887.617329
350.0,431,894.278852
450.0,601,902.971331
1180.0,705,912.957371
340.0,409,918.840779
820.0,747,929.184305
640.0,513,936.968121
710.0,863,950.487111
580.0,655,960.115525
790.0,641,970.485298
400.0,393,975.938717
550.0,511,983.262585
880.0,681,994.330422
670.0,777,1006.705533
660.0,673,1017.008518
960.0,727,1027.468513
370.0,553,1036.261039
410.0,405,1042.055052
810.0,785,1054.207278
960.0,723,1065.429638
470.0,395,1071.325435
530.0,541,1079.425519
640.0,605,1087.929628
810.0,563,1096.037613
2290.0,1105,1112.130879
680.0,633,1121.920295
