#{"t_start": 1707597674.7470593, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,824,18.806322
-21.0,825,29.956754
-20.0,1037,44.590715
-21.0,853,55.809937
-20.0,992,71.268099
-21.0,855,84.517109
-21.0,782,95.689064
-21.0,764,107.780593
-21.0,905,121.082294
-21.0,962,134.2702
-21.0,792,145.911634
-21.0,826,158.624501
-21.0,1004,174.229733
-20.0,902,187.201962
-21.0,811,197.871735
-21.0,764,208.519423
-20.0,950,222.626938
-20.0,959,237.472997
-21.0,826,249.654559
-21.0,858,263.327814
-21.0,886,277.028941
-19.0,921,289.812218
-21.0,870,302.335546
-20.0,1000,317.281864
-21.0,944,332.128624
-21.0,783,342.293375
-21.0,886,354.157757
-21.0,852,366.293628
-21.0,764,377.60165
-21.0,824,397.40257
-20.0,919,410.58039
-21.0,946,424.351831
-21.0,764,436.514113
-21.0,888,450.48694
-20.0,964,465.090043
-21.0,906,479.365238
-21.0,782,489.888123
-21.0,811,500.549733
-21.0,1120,516.209853
-21.0,915,528.959829
-21.0,826,541.003073
-21.0,961,555.142843
-21.0,943,568.678444
-21.0,904,582.934319
-19.0,1210,601.161239
-21.0,915,615.33934
-21.0,873,628.738381
-21.0,886,641.177025
-21.0,783,652.852717
-20.0,1021,667.792555
-21.0,1067,683.535259
-21.0,844,695.251602
-20.0,967,709.473359
-21.0,826,722.037819
-21.0,886,735.314615
-19.0,1078,751.610267
-20.0,982,766.014388
-21.0,764,784.259105
-21.0,886,797.14807
-21.0,825,808.390471
-21.0,902,821.145881
-21.0,872,834.652561
-21.0,811,846.703942
-21.0,764,858.299496
-21.0,825,871.179312
-21.0,920,884.857185
-21.0,812,897.739037
-20.0,842,910.741244
-20.0,1019,927.201144
-21.0,870,940.147668
-21.0,764,950.917828
-21.0,852,963.28302
-20.0,842,975.827317
-21.0,890,988.74623
-20.0,871,1001.643884
-21.0,852,1014.420904
-21.0,914,1029.113264
-20.0,947,1043.308517
-21.0,852,1056.452562
-21.0,825,1068.114714
-20.0,1042,1083.608624
-21.0,826,1095.133147
-21.0,872,1108.741869
-21.0,812,1121.913575
-19.0,1107,1137.728106
-20.0,1046,1153.058228
-21.0,988,1174.281898
-20.0,918,1188.660229
-21.0,782,1200.11865
-20.0,949,1213.305701
-20.0,1010,1228.239004
-21.0,800,1241.102243
-21.0,905,1254.256428
-21.0,1048,1269.427785
-21.0,884,1282.251681
-21.0,852,1295.907874
-21.0,824,1308.252387
-21.0,824,1320.427985
-21.0,764,1332.227314
-21.0,824,1344.826091
-20.0,871,1358.784734
-21.0,886,1371.717209
-20.0,1144,1388.413545
-21.0,792,1399.158382
