#{"t_start": 1707597671.7065802, "env_id": "ALE/Qbert-v5"}
r,l,t
150.0,374,17.967639
200.0,427,24.798583
25.0,256,28.048345
75.0,285,32.134779
125.0,335,37.270682
250.0,411,44.22888
225.0,372,50.151856
0.0,284,53.992754
475.0,359,59.6514
200.0,336,64.937225
100.0,365,70.857793
400.0,342,76.237604
50.0,331,81.468251
75.0,356,87.170606
525.0,385,92.916598
250.0,416,99.619684
325.0,513,107.090816
375.0,573,116.092404
225.0,404,122.104847
50.0,297,126.588865
525.0,438,134.09303
225.0,370,140.038281
50.0,304,144.66319
50.0,331,149.693887
150.0,327,154.493929
125.0,280,157.871116
200.0,291,162.406628
75.0,326,166.926396
525.0,402,172.329145
200.0,335,176.820879
175.0,356,182.22802
150.0,343,186.622151
150.0,323,191.761206
75.0,326,196.724096
125.0,325,200.897779
50.0,308,204.830492
400.0,430,211.886285
225.0,339,216.737302
0.0,284,220.838412
500.0,378,226.742477
150.0,378,231.881942
475.0,369,236.811394
300.0,389,242.264219
225.0,301,246.955441
175.0,288,251.03853
400.0,421,258.017092
150.0,275,262.557561
200.0,340,268.114634
250.0,327,273.485937
375.0,350,279.465225
250.0,360,285.084072
400.0,443,292.772924
150.0,340,298.22386
375.0,362,303.976254
275.0,323,308.630466
400.0,355,313.443257
250.0,345,318.621051
225.0,375,324.52971
200.0,418,331.198823
400.0,402,337.582632
225.0,372,343.657244
250.0,325,348.684327
325.0,399,354.328282
300.0,344,359.737705
250.0,362,365.827298
400.0,405,372.728136
275.0,344,378.119004
350.0,359,383.617601
300.0,386,389.154728
325.0,335,394.544752
200.0,294,398.948048
350.0,417,405.842708
250.0,330,410.820293
250.0,292,415.150902
350.0,310,419.995761
250.0,291,424.233287
250.0,314,429.311434
250.0,354,434.692285
275.0,312,439.425691
225.0,305,444.181431
350.0,402,449.780168
200.0,301,453.82209
375.0,389,459.874328
325.0,395,466.518534
175.0,285,470.965209
325.0,320,478.822432
300.0,360,484.166842
325.0,347,489.532186
225.0,312,493.8427
300.0,393,500.359379
325.0,303,505.624171
300.0,425,512.329348
150.0,320,517.931422
250.0,347,523.33028
50.0,260,527.3121
350.0,317,531.785427
275.0,337,536.973688
250.0,274,541.31309
275.0,340,546.235404
200.0,294,550.773524
225.0,303,554.9991
275.0,326,559.648774
175.0,305,563.688383
325.0,331,568.853158
300.0,303,573.538913
250.0,305,578.213685
200.0,337,583.535913
300.0,355,589.260655
300.0,353,594.314395
350.0,326,598.627811
275.0,408,604.261673
300.0,310,608.909426
275.0,308,613.724044
300.0,307,617.895156
225.0,325,622.753221
300.0,393,628.732984
400.0,426,636.022647
200.0,361,641.660166
325.0,308,646.593428
250.0,293,650.982806
250.0,280,655.206657
325.0,420,660.915641
275.0,323,665.220084
275.0,340,669.801722
200.0,281,673.801939
300.0,397,680.15469
525.0,410,687.012086
225.0,322,692.21428
300.0,313,697.204396
200.0,283,701.36574
175.0,326,706.515922
275.0,323,711.629655
325.0,386,718.058565
300.0,443,724.856896
350.0,358,730.027676
225.0,368,736.068343
175.0,320,740.921685
225.0,380,747.315309
300.0,476,754.721138
250.0,380,760.733274
125.0,266,764.031519
300.0,339,768.946515
275.0,527,777.437972
175.0,320,782.277966
250.0,329,787.334724
225.0,354,792.679621
175.0,324,797.619141
325.0,354,802.452007
225.0,305,807.031219
275.0,335,811.565911
325.0,370,817.029442
225.0,364,822.976943
625.0,470,831.140146
225.0,312,836.008038
525.0,422,842.908289
275.0,331,847.09286
275.0,314,851.686112
275.0,297,855.834295
300.0,354,860.960426
325.0,349,865.982721
225.0,325,870.59077
300.0,337,875.601348
300.0,326,880.71491
350.0,314,886.246422
350.0,393,891.573184
400.0,439,897.918245
350.0,424,903.749893
250.0,334,907.926826
375.0,344,912.831166
225.0,302,917.628795
175.0,308,922.395231
300.0,461,930.466466
275.0,318,937.501804
350.0,368,943.14333
300.0,385,949.240697
325.0,527,957.754021
350.0,342,963.244517
300.0,534,971.390954
400.0,414,977.302514
600.0,490,985.449675
350.0,505,993.343598
425.0,420,1000.287133
275.0,352,1006.185511
350.0,349,1011.124347
275.0,328,1016.249593
275.0,355,1021.200733
350.0,442,1028.119344
325.0,416,1033.526469
675.0,410,1038.800593
275.0,370,1043.361153
275.0,507,1050.394204
250.0,379,1056.464082
300.0,439,1062.562086
400.0,495,1070.570504
350.0,403,1076.700032
325.0,415,1083.065109
400.0,443,1089.677478
300.0,342,1094.42705
375.0,555,1103.839258
425.0,364,1108.670149
475.0,490,1115.395441
600.0,409,1121.830848
400.0,533,1130.30009
700.0,500,1137.582244
425.0,420,1144.404681
675.0,408,1151.180737
375.0,367,1156.991559
725.0,418,1163.153495
375.0,349,1167.803453
300.0,322,1172.17229
375.0,427,1178.502407
700.0,360,1183.373461
375.0,313,1188.10915
675.0,399,1194.566233
400.0,444,1202.056894
450.0,394,1208.157341
300.0,444,1215.11754
325.0,395,1221.199803
650.0,444,1228.65823
625.0,423,1235.474439
350.0,401,1241.80172
725.0,401,1247.965569
625.0,463,1254.871432
300.0,410,1260.80883
625.0,365,1266.15253
650.0,447,1273.369687
700.0,445,1279.583375
325.0,325,1284.278311
675.0,440,1290.192747
625.0,498,1297.788311
725.0,482,1304.269847
425.0,403,1309.631766
325.0,458,1316.818033
575.0,434,1324.299153
700.0,498,1332.778273
425.0,409,1338.24811
650.0,388,1343.580084
325.0,339,1348.589717
500.0,482,1356.877398
700.0,414,1363.530952
675.0,470,1370.767331
375.0,405,1379.409884
725.0,450,1386.762033
750.0,520,1395.030813
700.0,453,1402.701047
350.0,394,1409.021391
775.0,427,1415.711113
750.0,410,1421.138954
300.0,412,1426.935841
725.0,435,1433.519106
450.0,489,1440.91774
775.0,408,1447.437086
750.0,473,1455.229008
375.0,398,1461.298043
375.0,452,1467.924316
550.0,439,1475.070082
500.0,613,1483.545264
675.0,446,1490.126971
400.0,563,1498.887155
700.0,405,1505.03687
350.0,320,1509.536429
350.0,367,1515.469618
625.0,395,1521.616116
625.0,412,1527.486463
700.0,481,1534.22314
425.0,620,1544.04544
975.0,580,1553.37021
425.0,413,1559.019482
350.0,483,1565.678552
725.0,431,1571.912693
775.0,518,1578.869944
425.0,399,1585.28762
700.0,603,1595.403681
275.0,427,1602.15861
425.0,438,1607.909338
325.0,325,1612.208693
425.0,415,1617.788257
375.0,425,1624.469559
800.0,545,1633.247621
675.0,388,1638.729768
600.0,473,1646.608373
675.0,388,1651.936146
725.0,435,1658.859409
725.0,440,1666.549598
475.0,522,1675.138155
250.0,350,1680.702555
375.0,424,1687.475264
675.0,515,1695.085508
375.0,303,1699.320444
950.0,413,1705.84886
675.0,455,1712.781981
700.0,465,1719.808562
725.0,489,1727.875942
400.0,371,1733.998412
650.0,433,1740.869089
450.0,519,1748.574886
275.0,315,1753.41922
750.0,534,1761.833992
1000.0,578,1771.137767
750.0,558,1778.953211
475.0,440,1785.984505
