#{"t_start": 1707597674.5020497, "env_id": "ALE/Seaquest-v5"}
r,l,t
0.0,321,14.025268
40.0,441,20.486655
80.0,412,27.189125
20.0,321,31.617146
20.0,330,36.108835
40.0,395,42.203951
40.0,331,46.903459
20.0,355,52.121358
80.0,509,60.389943
0.0,354,65.950977
20.0,381,71.865487
40.0,504,79.599413
180.0,701,91.126994
60.0,397,96.359105
40.0,412,103.243926
40.0,413,109.853889
60.0,429,115.834385
120.0,583,125.280884
120.0,501,133.83529
0.0,331,138.738843
40.0,375,144.582654
60.0,531,153.360435
160.0,532,162.491162
80.0,489,170.345309
60.0,485,177.714087
140.0,557,186.734788
0.0,316,191.138724
60.0,469,198.452236
60.0,503,206.623688
40.0,426,213.205204
20.0,334,218.235402
160.0,585,227.770973
60.0,385,233.366302
120.0,641,243.366502
40.0,364,248.797498
60.0,493,256.574001
20.0,357,261.638194
120.0,605,271.208929
100.0,507,278.660506
180.0,774,289.642148
40.0,449,296.206299
240.0,1008,312.648297
60.0,384,317.989991
60.0,457,324.554182
200.0,761,337.168849
160.0,645,346.796124
280.0,1033,363.805122
340.0,1148,382.954326
160.0,577,392.395431
280.0,809,405.237068
220.0,820,417.171485
120.0,515,424.42408
420.0,1002,440.384128
120.0,557,452.277673
500.0,1481,474.888461
300.0,971,489.895996
380.0,1132,508.741139
340.0,1145,524.691422
360.0,1088,540.577613
260.0,895,554.607063
220.0,825,568.75368
360.0,1238,589.108078
540.0,1528,612.762404
140.0,617,621.10039
400.0,1317,641.492428
160.0,714,652.56625
300.0,1079,668.986608
480.0,1547,694.375299
40.0,409,700.089599
280.0,796,713.087628
180.0,606,723.555315
120.0,418,729.78926
180.0,649,740.136208
160.0,594,749.844587
140.0,616,759.338277
160.0,660,768.434175
80.0,472,774.810583
300.0,1062,791.798794
220.0,750,803.750502
240.0,762,815.026499
260.0,861,829.2104
180.0,548,837.80468
200.0,755,850.033638
460.0,1415,881.774382
620.0,1890,913.401134
420.0,1357,935.873282
180.0,720,946.760119
300.0,1055,963.530094
380.0,1295,984.706601
500.0,1627,1011.392776
260.0,843,1025.264268
320.0,1017,1041.781369
300.0,1004,1058.090743
400.0,1258,1078.740134
280.0,959,1093.241357
260.0,994,1108.025439
280.0,1004,1123.513695
520.0,1623,1149.903693
400.0,1383,1171.658938
700.0,2143,1204.355392
460.0,1599,1229.11288
580.0,1895,1257.653338
580.0,1846,1286.390148
260.0,935,1311.667634
580.0,1887,1341.830094
440.0,1391,1364.507288
640.0,1991,1396.614543
480.0,1607,1422.127424
720.0,2135,1456.308316
520.0,1707,1484.930227
700.0,2087,1519.521486
740.0,2173,1553.291313
580.0,1810,1580.866687
520.0,1660,1605.488333
520.0,1807,1635.058329
480.0,1552,1659.520617
580.0,1855,1686.509227
700.0,1983,1734.194419
660.0,2191,1769.810008
700.0,2163,1804.483182
560.0,1656,1830.493577
620.0,1956,1861.552518
700.0,2189,1895.956718
420.0,1487,1919.872252
680.0,2271,1956.956837
620.0,1834,1986.566747
580.0,1808,2016.278699
460.0,1455,2040.414562
420.0,1342,2061.000414
580.0,1999,2092.429898
540.0,1786,2120.506435
700.0,2076,2166.067837
500.0,1621,2191.905454
740.0,2267,2227.999807
520.0,1711,2253.710887
740.0,2109,2287.683635
780.0,2271,2325.07954
720.0,2170,2357.377936
800.0,2220,2391.775249
380.0,1295,2412.539663
800.0,2271,2449.622467
600.0,1727,2478.209241
780.0,2271,2515.35027
740.0,2271,2549.56744
680.0,1876,2592.817613
500.0,1465,2616.49713
440.0,1449,2640.347487
560.0,1757,2668.876343
720.0,2247,2705.166034
760.0,2271,2739.64674
780.0,2271,2775.711133
500.0,1609,2800.641005
760.0,2271,2837.724472
780.0,2271,2872.761417
780.0,2144,2906.814027
820.0,2217,2940.95644
740.0,2271,2975.903312
740.0,2223,3028.254168
600.0,1842,3057.072634
640.0,1919,3086.7755
600.0,1803,3114.801446
640.0,1831,3142.6685
560.0,1631,3166.489292
660.0,1718,3192.985695
940.0,2569,3233.406951
700.0,1923,3264.166133
780.0,2014,3297.01311
680.0,2113,3330.581815
500.0,1573,3356.650015
820.0,2098,3389.606086
280.0,937,3417.110266
580.0,1724,3444.839689
740.0,2199,3477.440835
700.0,1923,3508.00773
500.0,1482,3531.021748
880.0,2313,3567.566084
800.0,2103,3602.190914
740.0,2097,3636.463171
880.0,2202,3671.021385
780.0,2039,3703.190637
620.0,1847,3733.207185
640.0,1975,3763.043004
1000.0,2243,3797.742883
640.0,1743,3839.147376
740.0,2048,3871.722475
840.0,2271,3909.687251
820.0,2240,3945.703648
780.0,2180,3980.538244
780.0,2175,4015.790979
840.0,2300,4053.048586
820.0,2086,4086.647525
