#{"t_start": 1707597671.9020538, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
60.0,279,15.645182
60.0,375,21.09424
360.0,597,30.735259
145.0,580,39.619977
295.0,657,49.220321
70.0,397,55.779696
135.0,486,63.15098
430.0,620,73.111697
80.0,295,77.567217
80.0,297,81.803456
60.0,380,87.44872
200.0,687,97.44501
105.0,450,104.667573
145.0,446,111.533969
355.0,686,122.265153
135.0,516,130.521281
65.0,470,137.593859
5.0,305,142.151972
185.0,691,152.681805
125.0,499,160.250687
110.0,544,168.907821
40.0,328,173.119289
25.0,234,175.792745
105.0,349,180.231446
295.0,813,192.810155
25.0,335,197.899046
95.0,563,205.90322
335.0,1000,221.015659
95.0,334,225.802142
30.0,276,230.079117
210.0,925,244.279776
95.0,572,252.99004
110.0,586,262.637166
70.0,296,267.244738
250.0,835,280.449843
155.0,513,287.425342
265.0,905,301.702971
425.0,1128,320.113941
80.0,393,325.984923
80.0,306,330.379397
110.0,327,335.33422
120.0,337,340.121662
335.0,725,351.378387
155.0,506,358.675202
175.0,603,368.345688
335.0,739,380.587934
165.0,635,389.9044
115.0,540,398.364926
235.0,746,409.770761
260.0,527,416.480196
110.0,469,423.805938
85.0,373,432.952209
120.0,399,439.010297
165.0,504,447.01315
105.0,461,454.196163
90.0,455,461.422806
535.0,754,473.507646
105.0,490,480.016054
120.0,533,487.780064
110.0,484,495.015133
210.0,629,504.724857
265.0,731,515.126994
240.0,819,528.758178
260.0,726,539.425256
210.0,645,549.47736
210.0,645,559.849677
135.0,495,566.448645
155.0,618,575.770485
185.0,633,584.198759
210.0,639,593.125662
410.0,641,602.598891
340.0,1073,618.449869
210.0,634,628.305549
460.0,761,639.73599
410.0,635,649.25532
180.0,617,658.6404
180.0,656,667.887238
210.0,624,677.850304
155.0,605,687.591263
385.0,605,697.010269
240.0,731,707.667316
180.0,631,715.964955
660.0,1431,738.318478
515.0,1165,756.068772
180.0,665,766.275723
180.0,659,776.567825
460.0,723,788.272207
210.0,642,798.366788
270.0,739,808.608573
565.0,1060,824.062627
410.0,640,833.307323
305.0,817,851.236253
210.0,639,861.374388
260.0,739,872.390442
270.0,750,884.079937
210.0,644,894.350534
180.0,632,903.50296
210.0,647,913.633682
240.0,731,925.08254
180.0,665,934.648194
105.0,491,940.968889
260.0,736,951.486428
260.0,739,962.02455
270.0,739,973.955501
285.0,726,985.636268
305.0,1045,1001.257044
180.0,665,1011.645798
110.0,313,1016.434289
185.0,605,1024.965978
210.0,637,1033.661661
260.0,734,1045.27214
105.0,491,1051.980988
180.0,665,1062.506915
270.0,739,1072.720384
210.0,612,1081.663521
75.0,307,1086.195432
260.0,737,1098.385886
210.0,636,1108.225531
180.0,667,1118.132245
240.0,762,1129.908711
210.0,617,1139.079797
210.0,644,1148.348148
380.0,668,1157.764366
