#{"t_start": 1707744286.2110615, "env_id": "ALE/Asterix-v5"}
r,l,t
350.0,260,0.903727
300.0,323,1.055121
300.0,313,1.202208
250.0,260,1.323435
700.0,422,1.516555
250.0,258,1.64006
350.0,300,1.779447
200.0,264,1.89831
450.0,344,2.058827
150.0,211,2.159387
200.0,245,2.274468
100.0,212,2.371905
400.0,345,2.531396
100.0,206,2.62975
250.0,231,2.735071
300.0,213,2.851322
550.0,397,3.032185
150.0,192,3.122527
150.0,185,3.207815
300.0,239,3.314368
100.0,185,3.398784
600.0,412,3.585576
350.0,298,3.726442
150.0,205,3.817199
400.0,345,3.972774
200.0,323,4.12117
200.0,253,4.240796
300.0,299,4.376515
450.0,278,4.506993
150.0,241,4.620266
300.0,272,4.743605
450.0,317,4.885174
150.0,263,5.005933
300.0,273,5.133208
200.0,204,5.228388
50.0,203,5.31837
550.0,408,5.503125
400.0,273,5.630357
150.0,229,5.733301
200.0,255,5.847588
450.0,367,6.016581
300.0,208,6.113027
550.0,453,6.316444
200.0,208,6.410115
150.0,207,6.50528
150.0,253,6.623388
350.0,331,6.773519
150.0,176,6.854432
400.0,283,6.979994
250.0,207,7.073406
100.0,278,7.198563
100.0,223,7.296649
200.0,252,7.410716
250.0,211,7.506038
300.0,299,7.643654
300.0,266,7.762761
350.0,268,7.882522
100.0,249,7.994597
100.0,266,8.113939
200.0,188,8.200323
300.0,310,8.342284
150.0,173,8.422817
200.0,256,8.539221
200.0,219,8.642351
550.0,406,8.829572
250.0,228,8.935689
250.0,239,9.043566
250.0,224,9.15045
300.0,304,9.285224
150.0,311,9.426836
450.0,406,9.610771
350.0,369,9.77608
300.0,354,9.933331
250.0,319,10.07929
200.0,203,10.173741
300.0,300,10.306492
250.0,291,10.440716
600.0,417,10.633171
200.0,245,10.745688
250.0,266,10.875664
300.0,298,11.01467
100.0,210,11.116214
150.0,202,11.208067
250.0,214,11.303961
200.0,247,11.415523
150.0,207,11.508886
300.0,298,11.649758
50.0,206,11.743262
350.0,289,11.87607
150.0,240,11.985887
100.0,208,12.080488
150.0,221,12.185681
400.0,324,12.331497
200.0,313,12.475574
150.0,262,12.59964
150.0,215,12.696078
550.0,375,12.867236
50.0,204,12.958413
100.0,208,13.053407
350.0,277,13.180181
200.0,174,13.260639
350.0,309,13.400688
50.0,204,13.495069
300.0,287,13.629697
450.0,363,13.793894
250.0,263,13.916281
50.0,212,14.015204
200.0,263,14.135745
450.0,309,14.277267
300.0,294,14.409047
100.0,212,14.507682
50.0,202,14.599519
350.0,349,14.762364
300.0,323,14.910971
650.0,473,15.126842
200.0,245,15.236346
500.0,328,15.385553
450.0,364,15.55072
50.0,213,15.651825
50.0,197,15.738738
200.0,247,15.853061
50.0,202,15.945484
750.0,456,16.152427
450.0,340,16.305547
250.0,262,16.424945
600.0,445,16.627905
300.0,274,16.753066
400.0,282,16.878849
350.0,243,16.989012
350.0,300,17.126682
250.0,275,17.252218
350.0,318,17.393708
450.0,411,17.57988
200.0,293,17.717806
100.0,236,17.823412
100.0,208,17.916388
150.0,286,18.0434
600.0,374,18.215378
150.0,237,18.322817
200.0,271,18.443435
250.0,218,18.541835
150.0,222,18.646077
350.0,329,18.798079
200.0,316,18.939236
400.0,275,19.06505
250.0,250,19.180934
50.0,216,19.28005
450.0,448,19.48103
250.0,237,19.589532
350.0,256,19.710724
400.0,303,19.850289
500.0,296,19.983809
350.0,357,20.14775
50.0,202,20.238377
100.0,205,20.329635
600.0,379,20.498388
400.0,279,20.629177
150.0,215,20.728233
450.0,331,20.875257
150.0,224,20.976352
450.0,326,21.127671
250.0,232,21.233335
150.0,240,21.340023
300.0,271,21.461602
300.0,310,21.606168
50.0,210,21.701805
400.0,303,21.837553
250.0,321,21.979553
250.0,206,22.074673
150.0,234,22.182826
400.0,306,22.323839
350.0,304,22.463449
50.0,198,22.552724
50.0,231,22.662255
50.0,207,22.756927
100.0,203,22.849851
450.0,334,23.000797
250.0,323,23.14949
350.0,342,23.301957
250.0,254,23.417236
50.0,202,23.509809
250.0,257,23.628819
200.0,230,23.73538
200.0,267,23.85515
50.0,203,23.946703
300.0,242,24.056374
450.0,338,24.213619
300.0,260,24.331553
250.0,310,24.47073
200.0,290,24.603764
350.0,233,24.712938
550.0,288,24.841545
250.0,340,24.99555
100.0,267,25.121596
250.0,271,25.247793
50.0,245,25.358752
250.0,259,25.476223
450.0,330,25.626351
50.0,202,25.718266
100.0,206,25.814454
50.0,209,25.910523
200.0,271,26.034017
200.0,291,26.166101
50.0,214,26.262788
450.0,346,26.420691
50.0,210,26.515354
150.0,236,26.626595
350.0,289,26.759684
100.0,240,26.86892
250.0,259,26.986492
400.0,295,27.121672
50.0,195,27.207819
150.0,211,27.303026
200.0,210,27.398885
250.0,318,27.543497
100.0,256,27.658582
550.0,411,27.846022
300.0,240,27.955458
50.0,224,28.057752
400.0,347,28.217609
300.0,318,28.362064
550.0,374,28.52757
50.0,201,28.6212
600.0,361,28.78287
500.0,277,28.909646
300.0,259,29.026672
150.0,220,29.128428
150.0,278,29.251762
250.0,263,29.370699
50.0,176,29.451062
200.0,309,29.589269
250.0,255,29.709142
300.0,255,29.828006
300.0,308,29.972829
450.0,329,30.12489
50.0,229,30.225476
200.0,241,30.334476
550.0,491,30.555992
350.0,349,30.716706
300.0,238,30.823463
150.0,203,30.917116
100.0,215,31.015192
250.0,326,31.165478
450.0,311,31.302313
50.0,204,31.395579
50.0,202,31.487772
250.0,329,31.637316
250.0,239,31.746291
650.0,531,31.985755
250.0,236,32.093361
150.0,185,32.181536
200.0,185,32.265269
200.0,265,32.384905
50.0,227,32.485646
400.0,342,32.640759
100.0,211,32.736118
300.0,277,32.861756
450.0,363,33.026859
50.0,207,33.123261
200.0,298,33.255375
50.0,228,33.356317
50.0,211,33.452412
50.0,216,33.549655
150.0,250,33.66446
100.0,210,33.760032
250.0,354,33.921366
50.0,203,34.011652
50.0,210,34.106645
50.0,202,34.197973
400.0,347,34.351874
350.0,377,34.522722
450.0,340,34.678804
150.0,228,34.780738
100.0,224,34.882831
100.0,207,34.975905
100.0,188,35.061936
600.0,537,35.30478
250.0,323,35.451123
100.0,202,35.543601
200.0,307,35.682697
200.0,228,35.788669
250.0,210,35.886194
300.0,300,36.024616
350.0,319,36.169965
350.0,328,36.31601
150.0,205,36.409441
300.0,237,36.517962
400.0,309,36.658658
300.0,310,36.798249
100.0,216,36.897046
100.0,228,36.99861
150.0,255,37.116745
150.0,233,37.223487
150.0,275,37.34827
400.0,254,37.467117
200.0,272,37.58957
150.0,208,37.691224
150.0,240,37.802282
150.0,237,37.9143
250.0,202,38.005217
600.0,483,38.227422
250.0,300,38.364619
250.0,216,38.46203
350.0,290,38.592036
150.0,210,38.692025
350.0,308,38.832804
200.0,240,38.940182
300.0,249,39.050636
100.0,211,39.151956
200.0,266,39.27361
200.0,202,39.368441
350.0,310,39.507143
250.0,274,39.634728
200.0,212,39.731696
200.0,274,39.856998
550.0,400,40.04044
400.0,302,40.182862
50.0,206,40.276007
200.0,209,40.370449
350.0,244,40.481605
50.0,208,40.5783
200.0,220,40.683083
250.0,209,40.780509
350.0,309,40.919952
100.0,212,41.01737
300.0,251,41.135497
300.0,248,41.249925
250.0,348,41.408795
300.0,316,41.548986
150.0,210,41.649093
150.0,253,41.766975
600.0,489,41.993389
100.0,251,42.112173
150.0,228,42.216758
150.0,214,42.315373
50.0,210,42.40932
150.0,228,42.512738
150.0,231,42.620547
250.0,279,42.746835
200.0,308,42.88771
200.0,217,42.985877
50.0,205,43.077089
50.0,206,43.173169
250.0,279,43.297412
100.0,223,43.397874
50.0,224,43.500566
300.0,274,43.631076
150.0,176,43.710728
300.0,347,43.868145
400.0,296,44.005757
200.0,208,44.107631
200.0,213,44.204114
350.0,396,44.384227
150.0,259,44.502906
50.0,207,44.598281
100.0,203,44.690171
300.0,271,44.818037
250.0,294,44.950567
300.0,326,45.1045
200.0,249,45.218463
450.0,306,45.357426
350.0,318,45.499489
100.0,255,45.617896
850.0,561,45.873585
250.0,255,45.991241
250.0,195,46.081954
250.0,198,46.178034
150.0,204,46.271372
200.0,272,46.396119
150.0,240,46.506345
100.0,203,46.600373
150.0,298,46.734333
50.0,277,46.859824
250.0,240,46.968283
100.0,307,47.111614
50.0,259,47.229286
150.0,206,47.323063
200.0,242,47.435578
250.0,253,47.550841
350.0,317,47.696846
250.0,295,47.831094
250.0,281,47.962286
100.0,228,48.068182
50.0,211,48.167225
200.0,255,48.281421
250.0,255,48.398095
250.0,317,48.542686
150.0,202,48.635798
100.0,211,48.733696
300.0,325,48.882489
100.0,255,48.99864
550.0,319,49.147766
250.0,247,49.259117
550.0,355,49.420877
250.0,214,49.51847
500.0,370,49.687449
250.0,251,49.804485
250.0,275,49.932325
250.0,209,50.029593
150.0,275,50.157692
350.0,223,50.262079
350.0,252,50.378529
350.0,220,50.480887
400.0,361,50.64708
50.0,254,50.764679
150.0,239,50.874842
50.0,240,50.983006
200.0,273,51.108118
150.0,196,51.198315
250.0,201,51.290647
300.0,249,51.40209
700.0,368,51.568714
100.0,212,51.667539
250.0,327,51.81746
200.0,272,51.942829
100.0,209,52.043327
100.0,226,52.151815
200.0,218,52.253046
400.0,202,52.345793
250.0,239,52.456685
150.0,276,52.580286
350.0,259,52.700474
100.0,180,52.784362
100.0,249,52.89673
50.0,220,52.995086
250.0,287,53.128287
100.0,275,53.251644
250.0,181,53.335084
450.0,343,53.490431
300.0,293,53.626787
50.0,206,53.721269
100.0,238,53.83042
300.0,321,53.975632
