#{"t_start": 1707708204.75852, "env_id": "ALE/MsPacman-v5"}
r,l,t
350.0,575,1.094399
650.0,599,1.438836
810.0,653,1.814762
230.0,377,2.030046
390.0,505,2.320647
290.0,467,2.589714
350.0,485,2.867332
370.0,461,3.127382
400.0,481,3.422028
470.0,557,3.737456
780.0,629,4.098938
1130.0,877,4.598948
390.0,449,4.856941
320.0,485,5.127798
330.0,521,5.420728
800.0,693,5.819532
850.0,639,6.181819
310.0,465,6.445848
680.0,795,6.900515
220.0,485,7.171843
640.0,623,7.530068
870.0,941,8.070182
380.0,447,8.326226
270.0,469,8.587918
1100.0,829,9.056472
660.0,675,9.440188
390.0,653,9.812252
670.0,743,10.233355
430.0,531,10.538847
950.0,965,11.093098
410.0,503,11.379319
410.0,489,11.654511
430.0,475,11.926105
290.0,513,12.216466
400.0,421,12.455926
260.0,317,12.630973
380.0,553,12.947407
1230.0,1185,13.625393
300.0,441,13.876881
440.0,515,14.16821
220.0,335,14.360487
390.0,551,14.67388
670.0,703,15.077576
720.0,841,15.557922
290.0,379,15.775623
390.0,517,16.067087
620.0,629,16.427347
510.0,735,16.847243
320.0,469,17.110639
630.0,617,17.461445
430.0,497,17.744879
410.0,679,18.129965
370.0,485,18.405635
1460.0,975,18.961103
360.0,473,19.228148
510.0,739,19.651154
400.0,493,19.935965
320.0,487,20.21116
180.0,313,20.387699
370.0,483,20.661703
520.0,591,21.001971
260.0,369,21.210756
250.0,399,21.437102
680.0,589,21.773795
260.0,377,21.986257
170.0,339,22.176555
900.0,811,22.640004
380.0,481,22.913788
280.0,491,23.190285
310.0,487,23.469801
350.0,431,23.71411
280.0,375,23.926345
340.0,479,24.19446
540.0,667,24.577736
1540.0,937,25.121723
420.0,465,25.384192
290.0,405,25.612777
360.0,543,25.924242
420.0,591,26.261521
1350.0,947,26.805448
480.0,645,27.172184
250.0,517,27.466666
350.0,519,27.762616
300.0,535,28.065794
580.0,505,28.355566
250.0,429,28.597062
330.0,471,28.866488
570.0,845,29.35342
300.0,465,29.618979
330.0,485,29.898854
520.0,457,30.158474
1100.0,863,30.655038
900.0,689,31.054267
570.0,613,31.410164
340.0,539,31.717925
400.0,541,32.023743
540.0,565,32.351022
300.0,477,32.621902
360.0,579,32.95468
240.0,385,33.172352
490.0,483,33.449215
300.0,541,33.758628
380.0,529,34.061066
250.0,411,34.293867
290.0,495,34.570762
790.0,679,34.962177
530.0,553,35.279964
400.0,493,35.558968
470.0,525,35.858739
530.0,477,36.126853
270.0,451,36.386607
400.0,497,36.663933
1030.0,619,37.016347
390.0,495,37.299153
410.0,477,37.568535
250.0,465,37.83407
650.0,779,38.282765
380.0,469,38.546135
380.0,431,38.788848
330.0,491,39.062305
1450.0,817,39.532062
530.0,941,40.073788
480.0,499,40.356949
310.0,481,40.626982
470.0,499,40.913454
240.0,457,41.171468
300.0,429,41.417852
370.0,517,41.711873
300.0,467,41.979665
470.0,583,42.309345
470.0,575,42.62925
330.0,417,42.8642
320.0,541,43.166828
