#{"t_start": 1707744286.1903164, "env_id": "ALE/Pong-v5"}
r,l,t
-20.0,870,1.245757
-20.0,959,1.74163
-21.0,853,2.182049
-21.0,792,2.591213
-21.0,844,3.043509
-20.0,1050,3.579267
-21.0,947,4.067621
-21.0,826,4.498588
-21.0,764,4.901767
-21.0,824,5.331515
-21.0,764,5.730867
-20.0,904,6.201216
-19.0,1159,6.796002
-21.0,764,7.187189
-20.0,1014,7.70851
-21.0,824,8.133333
-21.0,764,8.523564
-21.0,764,8.921519
-20.0,965,9.420722
-21.0,764,9.813374
-21.0,821,10.23968
-21.0,912,10.720393
-20.0,843,11.154352
-20.0,1040,11.687133
-21.0,905,12.156892
-21.0,853,12.588194
-21.0,914,13.079187
-21.0,876,13.534807
-21.0,886,13.998137
-21.0,885,14.445585
-21.0,821,14.869647
-20.0,1025,15.39167
-21.0,825,15.818786
-21.0,826,16.241874
-21.0,844,16.674453
-21.0,825,17.090462
-20.0,915,17.554582
-20.0,898,18.015868
-21.0,810,18.425044
-21.0,824,18.845529
-21.0,820,19.26594
-21.0,824,19.686414
-21.0,783,20.082791
-21.0,813,20.49472
-20.0,980,20.998292
-19.0,965,21.487375
-21.0,852,21.922299
-21.0,798,22.328236
-21.0,812,22.743103
-21.0,764,23.131371
-21.0,940,23.602548
-21.0,974,24.101233
-21.0,764,24.490634
-21.0,965,24.98336
-21.0,844,25.414059
-20.0,931,25.8891
-21.0,880,26.336386
-21.0,1044,26.865916
-21.0,870,27.304504
-20.0,941,27.784842
-21.0,792,28.191328
-21.0,764,28.578721
-20.0,859,29.015437
-21.0,884,29.466445
-21.0,850,29.904444
-21.0,764,30.294653
-21.0,913,30.76084
-21.0,995,31.267257
-21.0,824,31.688644
-20.0,898,32.147628
-20.0,878,32.590302
-20.0,922,33.060126
-20.0,1082,33.609072
-21.0,764,34.000257
-21.0,992,34.504812
-21.0,920,34.973882
-21.0,792,35.380982
-21.0,838,35.813428
-21.0,764,36.200962
-21.0,783,36.597529
-21.0,890,37.050166
-20.0,904,37.513153
-21.0,783,37.914044
-20.0,1052,38.446601
-20.0,960,38.936945
-21.0,904,39.399288
-21.0,948,39.882172
-20.0,1052,40.424116
-20.0,922,40.899866
-20.0,1035,41.426751
-21.0,886,41.880374
-21.0,830,42.305725
-21.0,854,42.744931
-21.0,764,43.135984
-21.0,999,43.641138
-21.0,854,44.074337
-20.0,1025,44.596109
-21.0,1127,45.175886
-21.0,801,45.582317
-21.0,820,46.003478
-20.0,996,46.511858
-21.0,822,46.93159
-21.0,1011,47.450917
-21.0,853,47.886664
-21.0,783,48.286786
-21.0,764,48.683985
-21.0,912,49.157307
-21.0,764,49.54434
-21.0,820,49.965183
-21.0,947,50.447996
-21.0,826,50.87163
-19.0,920,51.341745
-21.0,920,51.815012
-21.0,900,52.281529
-19.0,1154,52.868512
-21.0,852,53.302397
-21.0,852,53.743281
-20.0,923,54.217033
-21.0,843,54.64723
-19.0,949,55.129971
-21.0,792,55.53651
-21.0,949,56.024388
-21.0,902,56.484722
-21.0,824,56.904998
-20.0,903,57.368964
-21.0,881,57.818876
-20.0,879,58.266677
-21.0,987,58.770528
-21.0,1010,59.287633
-21.0,764,59.679885
-21.0,828,60.111806
-21.0,995,60.622374
-20.0,941,61.101654
-21.0,872,61.545485
-21.0,854,61.98357
-21.0,946,62.466279
-21.0,888,62.925645
-21.0,792,63.329527
-19.0,1067,63.873325
-21.0,852,64.305326
-21.0,764,64.702022
-21.0,764,65.087974
-21.0,783,65.486497
-21.0,764,65.875253
-21.0,824,66.299286
-18.0,1048,66.832385
-21.0,764,67.223773
-21.0,852,67.658276
-19.0,1023,68.185619
-21.0,764,68.573737
-21.0,840,69.005064
-21.0,783,69.406653
-20.0,866,69.85258
-21.0,824,70.274667
-21.0,914,70.739521
-21.0,858,71.176538
-21.0,823,71.59427
-20.0,982,72.097982
-21.0,792,72.501388
-20.0,1055,73.038574
