#{"t_start": 1707831972.8502724, "env_id": "ALE/Qbert-v5"}
r,l,t
500.0,389,0.627135
425.0,349,0.812613
0.0,291,0.967504
75.0,275,1.11658
525.0,374,1.315592
175.0,333,1.494601
75.0,338,1.674089
100.0,360,1.866539
500.0,378,2.069327
50.0,329,2.243344
100.0,346,2.426818
625.0,403,2.641679
100.0,330,2.816584
50.0,330,2.990982
25.0,289,3.143377
100.0,315,3.309511
200.0,324,3.48141
150.0,344,3.66267
100.0,306,3.826461
150.0,280,3.974571
100.0,313,4.142093
50.0,307,4.313236
225.0,366,4.512727
150.0,375,4.710249
75.0,328,4.883923
350.0,423,5.109228
50.0,273,5.255726
100.0,288,5.408532
100.0,278,5.559583
75.0,293,5.715008
175.0,321,5.886737
25.0,308,6.052044
550.0,436,6.284951
125.0,361,6.478877
75.0,314,6.645615
125.0,343,6.826987
525.0,429,7.059417
50.0,270,7.207557
125.0,362,7.398772
175.0,363,7.590657
75.0,325,7.764107
200.0,390,7.972798
175.0,385,8.177348
450.0,404,8.390833
25.0,247,8.522774
625.0,411,8.741656
325.0,443,8.978512
325.0,374,9.180916
125.0,295,9.338464
50.0,294,9.492835
175.0,323,9.664073
50.0,249,9.797464
75.0,335,9.975268
300.0,474,10.228158
50.0,258,10.365369
250.0,343,10.547955
25.0,299,10.705387
0.0,295,10.861245
175.0,339,11.041659
225.0,382,11.245228
225.0,355,11.434565
100.0,274,11.583859
75.0,281,11.7331
25.0,254,11.870134
100.0,361,12.060397
500.0,395,12.270423
225.0,350,12.458201
125.0,374,12.65882
75.0,332,12.832989
50.0,274,12.980551
225.0,326,13.154627
625.0,438,13.388691
275.0,446,13.626257
50.0,304,13.788447
75.0,315,13.955644
75.0,281,14.105541
50.0,301,14.267136
200.0,364,14.460598
0.0,308,14.621953
250.0,375,14.822605
25.0,301,14.982086
50.0,318,15.149567
175.0,325,15.321935
150.0,438,15.552669
250.0,423,15.778562
0.0,291,15.934623
475.0,461,16.180619
150.0,400,16.392837
525.0,394,16.604111
25.0,299,16.76293
100.0,325,16.935841
175.0,323,17.109063
50.0,325,17.28181
100.0,320,17.456094
225.0,349,17.642472
125.0,298,17.80048
75.0,313,17.966727
250.0,438,18.199398
450.0,439,18.432146
75.0,326,18.604775
50.0,265,18.746879
50.0,252,18.882256
150.0,290,19.038009
225.0,376,19.240085
175.0,336,19.417418
125.0,370,19.613999
50.0,254,19.750389
775.0,465,19.997485
50.0,304,20.158048
100.0,286,20.309142
225.0,348,20.496856
175.0,372,20.69382
175.0,350,20.879562
125.0,326,21.054453
150.0,301,21.215781
200.0,356,21.404564
175.0,351,21.591245
250.0,350,21.776423
75.0,321,21.9458
150.0,341,22.126815
200.0,389,22.335188
100.0,275,22.482173
75.0,335,22.658284
225.0,345,22.840844
200.0,428,23.069375
75.0,326,23.241956
0.0,290,23.394575
425.0,349,23.578348
175.0,334,23.755514
250.0,390,23.963993
75.0,334,24.1402
175.0,313,24.305687
725.0,618,24.636934
100.0,305,24.799809
75.0,320,24.969038
125.0,299,25.128194
0.0,292,25.279707
75.0,333,25.454878
375.0,588,25.767008
100.0,321,25.935883
50.0,304,26.098633
75.0,333,26.274814
375.0,459,26.516127
25.0,299,26.672701
150.0,325,26.845658
250.0,424,27.071263
475.0,502,27.341882
100.0,291,27.500031
50.0,302,27.65982
75.0,295,27.817012
150.0,307,27.980765
150.0,283,28.13214
200.0,430,28.359928
175.0,382,28.560953
50.0,260,28.698826
225.0,420,28.920843
250.0,385,29.126236
425.0,412,29.342137
175.0,339,29.521985
50.0,280,29.670477
400.0,347,29.856278
75.0,266,29.999125
75.0,276,30.144436
275.0,350,30.331147
125.0,286,30.485495
100.0,333,30.659335
75.0,333,30.833068
250.0,398,31.046003
275.0,453,31.289173
175.0,355,31.478933
100.0,360,31.671185
75.0,274,31.820228
175.0,282,31.970868
75.0,296,32.130086
75.0,310,32.293435
25.0,298,32.451438
100.0,279,32.602076
150.0,327,32.776108
50.0,294,32.929694
575.0,489,33.191431
275.0,370,33.389439
50.0,321,33.559018
150.0,373,33.757025
150.0,305,33.919424
175.0,384,34.123731
75.0,341,34.304712
200.0,365,34.497463
625.0,537,34.785178
0.0,299,34.941896
0.0,293,35.095452
50.0,316,35.265195
600.0,464,35.511724
150.0,321,35.680902
350.0,407,35.899242
75.0,320,36.070934
175.0,360,36.263101
75.0,328,36.437333
100.0,300,36.596151
250.0,400,36.806932
75.0,334,36.983134
375.0,503,37.252171
75.0,276,37.401044
50.0,296,37.555805
450.0,373,37.751912
75.0,320,37.921632
200.0,426,38.147924
550.0,404,38.363989
75.0,359,38.55455
100.0,278,38.702474
50.0,298,38.859902
75.0,294,39.01668
75.0,329,39.190738
175.0,315,39.357558
150.0,360,39.548045
225.0,304,39.709837
50.0,314,39.872955
175.0,315,40.041899
125.0,275,40.188424
125.0,350,40.373562
75.0,320,40.542957
0.0,284,40.693606
50.0,310,40.855477
50.0,294,41.01084
175.0,348,41.194832
50.0,316,41.363585
400.0,364,41.558965
175.0,301,41.719216
50.0,300,41.876011
150.0,350,42.06029
75.0,346,42.242889
150.0,426,42.469399
200.0,364,42.664066
250.0,375,42.862852
100.0,313,43.028479
25.0,296,43.185192
125.0,359,43.375997
175.0,394,43.585723
725.0,575,43.894401
600.0,494,44.159035
275.0,365,44.355114
25.0,306,44.515004
275.0,440,44.750822
25.0,305,44.912633
575.0,425,45.136111
75.0,360,45.32951
0.0,288,45.47987
125.0,362,45.670469
275.0,385,45.87663
25.0,297,46.035298
250.0,395,46.244913
50.0,274,46.431237
150.0,365,46.696734
50.0,319,46.886072
125.0,301,47.046896
250.0,400,47.25808
25.0,295,47.41351
0.0,296,47.570224
50.0,300,47.730548
225.0,448,47.968842
625.0,414,48.189228
75.0,329,48.361884
75.0,311,48.526557
0.0,308,48.68865
150.0,326,48.860633
100.0,309,49.025061
250.0,345,49.214523
100.0,274,49.362042
50.0,301,49.518564
300.0,373,49.715996
75.0,320,49.883754
75.0,295,50.043105
50.0,307,50.203433
175.0,430,50.431696
100.0,367,50.626885
125.0,304,50.78801
0.0,288,50.93935
125.0,333,51.115556
50.0,265,51.256025
100.0,345,51.438806
125.0,361,51.62909
275.0,491,51.890433
500.0,404,52.106118
25.0,291,52.260036
125.0,290,52.415599
550.0,464,52.661047
100.0,320,52.829679
550.0,383,53.03506
150.0,365,53.228993
200.0,322,53.398543
25.0,298,53.555937
0.0,285,53.705384
75.0,318,53.872828
25.0,298,54.029495
150.0,375,54.227735
150.0,346,54.414202
550.0,409,54.633236
25.0,308,54.798017
75.0,330,54.97294
125.0,320,55.145254
75.0,316,55.313057
575.0,503,55.580611
125.0,350,55.76482
50.0,251,55.898181
400.0,366,56.091805
175.0,288,56.247914
150.0,366,56.442337
25.0,290,56.59546
150.0,317,56.764277
675.0,552,57.060969
25.0,297,57.218854
50.0,315,57.384919
150.0,305,57.549803
150.0,354,57.739635
150.0,336,57.917179
125.0,325,58.090053
125.0,306,58.253629
0.0,293,58.408378
50.0,320,58.577389
200.0,355,58.764292
475.0,463,59.0104
225.0,417,59.234054
600.0,449,59.474564
100.0,313,59.643102
100.0,314,59.812864
225.0,416,60.034839
25.0,309,60.200702
100.0,278,60.350711
150.0,360,60.54288
75.0,275,60.687949
200.0,405,60.903588
25.0,305,61.066472
75.0,347,61.249416
75.0,334,61.427518
50.0,300,61.586784
150.0,316,61.755964
225.0,423,61.979614
50.0,256,62.116495
75.0,325,62.286479
125.0,353,62.473171
200.0,385,62.678179
125.0,358,62.867478
125.0,335,63.043392
400.0,502,63.311204
100.0,290,63.464631
25.0,309,63.626646
100.0,321,63.796849
275.0,433,64.028045
125.0,345,64.211102
300.0,594,64.530098
525.0,483,64.787002
550.0,435,65.020224
125.0,331,65.196358
75.0,317,65.365838
50.0,318,65.534305
50.0,322,65.70287
100.0,353,65.888146
75.0,339,66.068677
0.0,287,66.218552
250.0,381,66.424592
100.0,335,66.60356
25.0,295,66.758689
175.0,303,66.918932
450.0,394,67.126352
100.0,331,67.302655
75.0,273,67.446952
50.0,301,67.604459
50.0,311,67.768325
575.0,420,67.990571
25.0,251,68.126551
100.0,367,68.322018
0.0,285,68.47197
150.0,333,68.646214
25.0,256,68.781811
150.0,408,68.9965
225.0,381,69.198718
75.0,326,69.371578
450.0,341,69.551445
75.0,320,69.722625
425.0,336,69.900947
500.0,388,70.104661
75.0,285,70.254792
50.0,269,70.39769
75.0,322,70.566268
75.0,323,70.736269
0.0,286,70.885379
50.0,313,71.049797
225.0,476,71.299961
850.0,518,71.573208
300.0,560,71.872383
50.0,334,72.046996
125.0,368,72.244382
50.0,314,72.409723
175.0,321,72.581906
250.0,354,72.771737
0.0,292,72.926777
175.0,443,73.162142
700.0,520,73.439759
100.0,321,73.611434
150.0,311,73.777252
225.0,370,73.975479
75.0,272,74.122504
50.0,274,74.26977
25.0,293,74.424912
425.0,342,74.60587
50.0,278,74.757453
50.0,349,74.943008
75.0,286,75.095123
150.0,339,75.27278
75.0,334,75.447443
275.0,385,75.652691
525.0,399,75.862803
125.0,309,76.027185
125.0,370,76.222449
75.0,271,76.367813
175.0,375,76.568134
175.0,356,76.758505
50.0,329,76.934532
100.0,334,77.112604
150.0,301,77.275535
100.0,300,77.436514
125.0,389,77.64056
50.0,316,77.805635
0.0,285,77.957066
50.0,305,78.116635
200.0,291,78.271055
125.0,274,78.417833
600.0,441,78.651057
75.0,263,78.792966
0.0,295,78.94801
150.0,371,79.144919
300.0,460,79.388675
600.0,588,79.702232
75.0,345,79.885148
125.0,364,80.076705
600.0,380,80.27761
125.0,369,80.471753
50.0,314,80.637149
100.0,343,80.817591
125.0,374,81.015655
125.0,389,81.223613
25.0,311,81.387894
50.0,257,81.526171
150.0,357,81.718204
100.0,345,81.898879
50.0,304,82.057941
75.0,330,82.23039
75.0,346,82.413203
500.0,318,82.583606
650.0,495,82.845398
0.0,289,82.996034
225.0,365,83.191308
175.0,425,83.414864
0.0,291,83.569381
50.0,268,83.71258
150.0,343,83.892595
575.0,423,84.119057
175.0,307,84.28411
125.0,343,84.463137
50.0,321,84.631636
125.0,348,84.81563
175.0,295,84.971462
100.0,349,85.156512
225.0,429,85.384186
725.0,526,85.663216
50.0,312,85.829221
25.0,291,85.983798
75.0,329,86.157229
100.0,350,86.342519
100.0,276,86.490301
125.0,326,86.664438
0.0,303,86.822612
50.0,303,86.980899
175.0,339,87.161013
0.0,284,87.307989
50.0,302,87.466958
200.0,304,87.629956
50.0,264,87.769171
100.0,268,87.910623
100.0,332,88.086337
25.0,289,88.236833
50.0,310,88.39922
500.0,401,88.610417
125.0,326,88.783572
75.0,279,88.933008
75.0,363,89.122324
0.0,287,89.272197
25.0,304,89.431049
150.0,380,89.633556
175.0,276,89.782842
75.0,314,89.949597
100.0,322,90.118987
50.0,262,90.25961
300.0,405,90.472896
500.0,379,90.672384
150.0,340,90.852015
525.0,351,91.037324
150.0,325,91.21214
25.0,259,91.350443
100.0,342,91.528787
