#{"t_start": 1707832063.0833328, "env_id": "ALE/Seaquest-v5"}
r,l,t
20.0,497,0.744979
80.0,368,0.937586
160.0,685,1.304855
80.0,458,1.551768
20.0,600,1.868454
0.0,373,2.066225
60.0,497,2.327427
80.0,563,2.622297
100.0,605,2.942966
180.0,832,3.388161
120.0,562,3.684654
120.0,451,3.921161
60.0,361,4.10951
120.0,679,4.46574
0.0,345,4.644111
0.0,304,4.799992
60.0,535,5.083174
20.0,357,5.271786
40.0,423,5.492885
20.0,324,5.65874
100.0,507,5.923999
140.0,627,6.254216
60.0,484,6.511045
60.0,433,6.739451
120.0,791,7.156486
40.0,523,7.43089
40.0,425,7.652963
20.0,415,7.868634
60.0,393,8.075412
0.0,289,8.22447
20.0,325,8.389971
140.0,506,8.659123
0.0,309,8.817327
40.0,444,9.049558
80.0,616,9.374783
120.0,719,9.752811
80.0,463,9.994087
0.0,386,10.196993
20.0,393,10.399774
40.0,420,10.620737
40.0,369,10.813832
20.0,357,10.99855
0.0,401,11.204646
40.0,389,11.405103
100.0,535,11.689402
20.0,412,11.905322
60.0,464,12.151876
0.0,416,12.391591
60.0,444,12.623228
100.0,493,12.881609
80.0,459,13.119896
100.0,590,13.428546
20.0,381,13.627084
60.0,386,13.827148
80.0,437,14.056378
0.0,317,14.219974
60.0,476,14.468557
60.0,411,14.682024
120.0,556,14.974016
0.0,310,15.135064
0.0,333,15.307811
0.0,293,15.458761
20.0,337,15.633778
20.0,414,15.851655
40.0,498,16.110247
0.0,352,16.29231
160.0,754,16.693234
20.0,362,16.881492
40.0,340,17.055639
60.0,421,17.277864
80.0,505,17.542223
100.0,490,17.799784
20.0,366,17.986851
140.0,648,18.329827
40.0,410,18.544334
60.0,481,18.799105
60.0,495,19.059256
60.0,525,19.336605
100.0,550,19.624701
40.0,438,19.855698
40.0,460,20.092875
120.0,692,20.456138
120.0,513,20.722382
40.0,453,20.958499
20.0,413,21.174536
80.0,550,21.464574
60.0,568,21.764587
20.0,319,21.929453
40.0,393,22.136526
60.0,362,22.325156
40.0,417,22.541765
20.0,342,22.720632
20.0,371,22.912808
60.0,444,23.145599
120.0,515,23.418611
80.0,484,23.666567
120.0,696,24.03241
60.0,558,24.323665
80.0,477,24.571821
20.0,385,24.773044
40.0,416,24.988802
80.0,539,25.273025
60.0,500,25.533674
40.0,367,25.723168
80.0,538,26.003349
60.0,461,26.246306
220.0,821,26.685783
60.0,464,26.948808
80.0,423,27.170027
40.0,372,27.364459
40.0,416,27.581083
0.0,332,27.750628
20.0,401,27.959037
20.0,338,28.135984
0.0,280,28.279291
160.0,715,28.654167
80.0,394,28.857962
40.0,329,29.026016
60.0,573,29.324543
60.0,582,29.62783
120.0,602,29.946676
60.0,476,30.196995
60.0,415,30.411426
40.0,339,30.585417
60.0,482,30.836223
60.0,500,31.09796
40.0,401,31.306383
40.0,437,31.533516
0.0,345,31.712064
120.0,589,32.021165
80.0,464,32.267625
0.0,330,32.437516
0.0,336,32.609081
60.0,473,32.85641
20.0,396,33.060126
40.0,410,33.272036
0.0,347,33.44827
80.0,404,33.659001
0.0,282,33.80257
120.0,571,34.101654
100.0,483,34.356938
40.0,396,34.562087
20.0,338,34.735787
140.0,628,35.063378
100.0,576,35.365817
80.0,585,35.67091
80.0,486,35.926902
60.0,437,36.154465
40.0,385,36.35607
60.0,354,36.541381
60.0,443,36.773927
40.0,385,36.974494
60.0,475,37.223794
80.0,397,37.430665
60.0,393,37.638438
120.0,563,37.941486
20.0,357,38.129788
20.0,348,38.314219
0.0,320,38.482549
140.0,441,38.721611
60.0,482,38.986573
100.0,538,39.279263
80.0,487,39.540388
40.0,399,39.75171
60.0,509,40.025837
120.0,465,40.274181
20.0,352,40.459444
40.0,405,40.676822
60.0,451,40.923937
100.0,498,41.192397
20.0,372,41.393799
60.0,435,41.63181
60.0,513,41.911388
20.0,377,42.11926
60.0,566,42.432544
60.0,415,42.660934
100.0,410,42.8858
60.0,593,43.210365
80.0,453,43.452214
40.0,402,43.669727
40.0,405,43.891674
120.0,602,44.227699
40.0,444,44.471729
20.0,469,44.728545
40.0,370,44.931893
20.0,360,45.127266
0.0,394,45.342168
60.0,373,45.546533
0.0,391,45.758826
20.0,381,45.964465
100.0,577,46.27843
100.0,612,46.618165
180.0,600,46.947241
120.0,625,47.291805
140.0,804,47.731708
20.0,410,47.957977
60.0,371,48.163695
180.0,867,48.641543
20.0,394,48.855872
140.0,538,49.149855
20.0,425,49.381993
0.0,364,49.578033
100.0,572,49.888287
100.0,484,50.15056
20.0,380,50.357341
80.0,488,50.625208
80.0,443,50.866156
60.0,550,51.167886
40.0,417,51.39497
60.0,402,51.614853
40.0,405,51.835287
120.0,579,52.15309
100.0,538,52.443471
100.0,577,52.757289
20.0,378,52.96544
20.0,384,53.175171
40.0,375,53.379927
120.0,646,53.735259
80.0,480,53.995716
80.0,395,54.212439
60.0,533,54.506457
100.0,516,54.790774
40.0,601,55.124449
120.0,697,55.508353
60.0,382,55.716057
20.0,377,55.917149
40.0,363,56.114488
80.0,489,56.551786
100.0,437,56.883114
20.0,369,57.195209
120.0,597,57.617165
40.0,388,57.940763
120.0,617,58.439393
180.0,875,58.994731
60.0,524,59.283321
0.0,340,59.467998
40.0,441,59.709188
80.0,428,60.049902
100.0,617,60.412645
0.0,357,60.618554
20.0,338,60.937095
100.0,493,61.345999
80.0,450,61.689631
60.0,467,61.945022
140.0,587,62.298321
80.0,404,62.568254
60.0,625,63.100551
20.0,419,63.387028
20.0,392,63.606066
60.0,460,63.856946
40.0,364,64.153602
0.0,337,64.411515
40.0,388,64.732656
120.0,728,65.324657
80.0,529,65.732449
140.0,639,66.215549
20.0,665,66.583572
0.0,308,66.750055
80.0,467,67.006893
120.0,585,67.44168
0.0,300,67.691344
80.0,474,68.034381
40.0,385,68.243938
20.0,341,68.4312
100.0,524,68.725537
60.0,533,69.04007
60.0,461,69.297621
20.0,358,69.492789
0.0,399,69.785234
20.0,395,70.14941
40.0,532,70.52815
40.0,382,70.735745
0.0,317,70.906897
60.0,439,71.254286
20.0,400,71.469033
80.0,409,71.691583
80.0,430,71.929892
60.0,500,72.207276
100.0,461,72.457858
20.0,393,72.673805
120.0,551,72.983727
160.0,671,73.523767
160.0,538,73.820238
20.0,307,74.06876
20.0,344,74.285169
60.0,434,74.613087
40.0,383,74.937616
80.0,449,75.293599
60.0,461,75.579151
0.0,309,75.746752
40.0,466,76.101901
40.0,363,76.300161
80.0,447,76.545397
80.0,514,76.828938
40.0,348,77.025759
80.0,465,77.278814
80.0,461,77.646296
100.0,515,78.046711
20.0,427,78.39134
80.0,574,78.708162
40.0,341,78.895092
20.0,394,79.109005
100.0,623,79.602741
20.0,361,79.803998
40.0,368,80.007656
20.0,339,80.19176
120.0,609,80.677226
160.0,533,81.02128
100.0,410,81.355716
60.0,434,81.597322
60.0,398,81.814083
0.0,374,82.018199
20.0,406,82.241338
60.0,468,82.497858
20.0,420,82.728197
80.0,586,83.207912
60.0,477,83.597471
80.0,452,83.977889
200.0,604,84.410388
20.0,409,84.710339
100.0,498,85.108296
40.0,383,85.445982
20.0,388,85.650986
120.0,788,86.064332
0.0,312,86.225127
40.0,433,86.452881
180.0,561,86.751872
40.0,362,86.94225
40.0,407,87.154463
120.0,726,87.539461
20.0,407,87.751364
0.0,381,87.945933
20.0,447,88.178554
40.0,381,88.376019
0.0,359,88.561133
60.0,401,88.770582
60.0,463,89.010239
0.0,336,89.181933
80.0,504,89.444657
120.0,663,89.798778
40.0,416,90.012626
20.0,377,90.205308
40.0,405,90.415608
0.0,290,90.562897
60.0,455,90.798417
80.0,486,91.051877
60.0,451,91.288535
40.0,502,91.551579
100.0,608,91.870593
80.0,534,92.150156
140.0,631,92.48668
140.0,464,92.732087
40.0,410,92.949426
100.0,524,93.223388
0.0,401,93.428651
40.0,345,93.606627
0.0,337,93.78167
80.0,453,94.016132
40.0,369,94.208724
60.0,459,94.450097
100.0,457,94.691695
100.0,435,94.91892
60.0,405,95.126541
0.0,356,95.311648
20.0,370,95.501444
60.0,392,95.706876
0.0,396,95.911223
120.0,603,96.224144
140.0,507,96.493532
80.0,436,96.725827
40.0,440,96.954815
40.0,425,97.174057
60.0,469,97.417409
20.0,380,97.614437
80.0,412,97.828671
100.0,490,98.086253
40.0,363,98.274041
80.0,407,98.488332
0.0,307,98.64728
20.0,340,98.821572
40.0,440,99.049409
40.0,456,99.287128
100.0,447,99.519449
60.0,465,99.763699
20.0,422,99.979048
100.0,486,100.231006
100.0,542,100.516954
120.0,569,100.815471
20.0,399,101.025658
40.0,351,101.20881
60.0,451,101.447386
20.0,337,101.621602
140.0,788,102.043413
40.0,484,102.30056
60.0,450,102.542535
0.0,329,102.714738
0.0,307,102.874295
80.0,613,103.196678
40.0,399,103.407114
80.0,434,103.635262
40.0,525,103.911415
160.0,728,104.296151
20.0,355,104.48013
80.0,509,104.74959
0.0,284,104.90057
160.0,755,105.299555
20.0,401,105.505833
80.0,667,105.858294
40.0,385,106.056675
100.0,486,106.313829
60.0,439,106.541481
0.0,341,106.726301
80.0,514,107.005475
120.0,482,107.268052
0.0,281,107.415876
100.0,622,107.751987
120.0,517,108.027024
0.0,316,108.191636
0.0,388,108.39249
60.0,485,108.650614
40.0,414,108.867105
60.0,448,109.100677
40.0,393,109.308761
80.0,374,109.501034
100.0,594,109.812423
80.0,461,110.05221
0.0,367,110.241808
80.0,461,110.484797
0.0,309,110.645321
20.0,337,110.820703
120.0,571,111.119929
120.0,447,111.35584
80.0,449,111.59404
60.0,450,111.835826
60.0,532,112.117231
160.0,528,112.395303
40.0,364,112.584436
40.0,403,112.794817
100.0,490,113.053091
0.0,308,113.21189
80.0,421,113.435805
40.0,380,113.63523
20.0,427,113.860817
20.0,395,114.065272
0.0,357,114.247665
40.0,376,114.441784
40.0,403,114.652873
20.0,401,114.864282
60.0,388,115.065661
20.0,322,115.231817
20.0,324,115.401023
0.0,343,115.576131
0.0,302,115.734423
0.0,451,115.967131
40.0,414,116.180092
20.0,318,116.34404
0.0,356,116.528091
100.0,555,116.820877
0.0,348,117.002268
100.0,479,117.2553
20.0,502,117.521914
60.0,432,117.753003
0.0,405,117.967835
80.0,412,118.181759
140.0,505,118.448024
100.0,582,118.75829
40.0,460,118.998554
200.0,714,119.377997
80.0,655,119.724619
60.0,392,119.930606
140.0,654,120.273577
80.0,467,120.519495
20.0,354,120.705582
100.0,476,120.954387
180.0,833,121.39355
80.0,441,121.62615
80.0,441,121.858535
0.0,307,122.014243
140.0,529,122.295999
100.0,707,122.670651
140.0,490,122.933434
80.0,488,123.190922
80.0,458,123.431328
140.0,552,123.726954
60.0,361,123.912589
60.0,386,124.111039
0.0,393,124.313668
60.0,536,124.595317
60.0,429,124.820439
100.0,494,125.080064
0.0,331,125.251104
60.0,475,125.500199
120.0,553,125.790481
40.0,391,125.994021
40.0,569,126.290573
40.0,420,126.510348
80.0,459,126.754816
0.0,321,126.920772
200.0,749,127.319414
20.0,369,127.511514
80.0,433,127.74076
120.0,468,127.987241
140.0,640,128.325302
80.0,531,128.602526
20.0,437,128.832602
80.0,464,129.074176
40.0,351,129.257843
120.0,492,129.514961
180.0,804,129.942364
140.0,486,130.19827
20.0,412,130.41162
40.0,375,130.605021
60.0,492,130.864033
80.0,479,131.114525
100.0,495,131.374147
0.0,371,131.564167
40.0,365,131.752614
60.0,417,131.975591
20.0,396,132.18384
60.0,391,132.388187
20.0,420,132.60834
40.0,336,132.781564
80.0,499,133.046802
60.0,433,133.272193
40.0,680,133.626008
0.0,355,133.810824
0.0,332,133.986037
40.0,385,134.188641
100.0,540,134.471694
100.0,471,134.717593
60.0,451,134.951622
40.0,393,135.155178
140.0,525,135.431522
160.0,657,135.779161
20.0,377,135.973541
60.0,458,136.214087
80.0,462,136.457854
100.0,491,136.717786
0.0,281,136.86341
200.0,779,137.277815
80.0,447,137.5145
100.0,438,137.743749
60.0,419,137.971218
60.0,433,138.205785
40.0,345,138.394016
40.0,384,138.601401
40.0,341,138.785273
60.0,393,138.994528
0.0,281,139.143766
20.0,334,139.321695
0.0,281,139.467288
120.0,539,139.755793
100.0,507,140.023752
80.0,493,140.282938
140.0,513,140.551667
40.0,390,140.756476
180.0,702,141.128805
80.0,580,141.434019
40.0,457,141.672648
40.0,422,141.895627
20.0,331,142.067086
40.0,464,142.313831
60.0,598,142.626639
40.0,477,142.874291
40.0,571,143.17462
20.0,354,143.356719
20.0,323,143.524407
0.0,326,143.692159
40.0,361,143.882112
0.0,322,144.046806
80.0,551,144.337049
140.0,559,144.63534
100.0,521,144.91135
100.0,511,145.179358
0.0,324,145.344942
100.0,518,145.616532
40.0,493,145.874148
100.0,566,146.171579
0.0,293,146.320436
180.0,657,146.669748
60.0,515,146.94482
40.0,446,147.179094
20.0,503,147.444352
80.0,514,147.713414
60.0,561,148.008538
60.0,480,148.259132
60.0,434,148.485626
60.0,447,148.720034
40.0,437,148.949242
80.0,426,149.173039
160.0,656,149.525013
160.0,606,149.845233
40.0,419,150.060669
140.0,597,150.373683
120.0,583,150.6807
60.0,465,150.921995
20.0,367,151.113142
20.0,398,151.317905
60.0,500,151.581379
40.0,398,151.789793
60.0,509,152.058402
120.0,637,152.392271
120.0,520,152.672492
120.0,464,152.918522
0.0,418,153.136015
0.0,303,153.293234
120.0,491,153.55084
180.0,753,153.951942
0.0,330,154.121569
60.0,385,154.322225
140.0,648,154.671866
140.0,597,154.98349
40.0,488,155.23663
40.0,388,155.436166
40.0,499,155.699345
0.0,358,155.886129
0.0,340,156.059049
40.0,510,156.326962
40.0,399,156.53509
80.0,602,156.854047
80.0,425,157.076209
80.0,473,157.323012
60.0,421,157.542069
140.0,645,157.881409
40.0,335,158.056248
60.0,427,158.279014
0.0,355,158.463297
0.0,353,158.645667
80.0,442,158.875765
80.0,474,159.12795
80.0,579,159.434869
60.0,428,159.662413
40.0,337,159.838569
80.0,592,160.146819
60.0,453,160.382039
20.0,429,160.604175
40.0,413,160.823799
100.0,513,161.090714
20.0,368,161.282525
60.0,392,161.488465
60.0,428,161.713552
100.0,453,161.95573
140.0,465,162.200759
100.0,453,162.444123
60.0,538,162.72585
80.0,600,163.041821
40.0,416,163.257846
60.0,440,163.488294
40.0,411,163.701727
100.0,576,164.005857
20.0,364,164.193629
80.0,617,164.519274
20.0,472,164.768416
60.0,384,164.969417
60.0,414,165.186428
80.0,465,165.42791
100.0,464,165.673824
160.0,657,166.018975
120.0,707,166.388855
20.0,385,166.58892
20.0,333,166.760853
0.0,558,167.054508
160.0,514,167.327331
40.0,442,167.554851
0.0,277,167.696454
100.0,508,167.965323
20.0,452,168.198441
140.0,768,168.604343
100.0,566,168.904557
20.0,357,169.090705
40.0,437,169.322452
0.0,315,169.485477
80.0,553,169.778491
100.0,538,170.060011
20.0,394,170.26268
40.0,372,170.4531
20.0,368,170.643775
40.0,365,170.833627
0.0,291,170.983351
180.0,643,171.322924
40.0,430,171.544682
40.0,373,171.738451
160.0,579,172.04238
40.0,553,172.326473
80.0,474,172.574002
100.0,486,172.828142
60.0,400,173.034641
0.0,288,173.182033
20.0,380,173.37774
0.0,372,173.570014
40.0,371,173.761416
20.0,363,173.949643
140.0,560,174.241657
160.0,944,174.744301
20.0,426,174.964279
40.0,430,175.188139
20.0,430,175.411473
80.0,411,175.625016
60.0,480,175.876678
40.0,411,176.089022
80.0,662,176.4353
120.0,574,176.73742
60.0,420,176.958789
180.0,666,177.317893
160.0,800,177.742487
40.0,442,177.974572
60.0,383,178.173776
80.0,468,178.421727
40.0,415,178.635533
20.0,430,178.860725
20.0,507,179.125404
20.0,385,179.323272
40.0,369,179.518597
80.0,458,179.761083
20.0,439,179.986927
80.0,501,180.248945
40.0,378,180.443137
40.0,361,180.631746
220.0,762,181.035395
160.0,717,181.41345
60.0,399,181.621978
60.0,414,181.837537
120.0,524,182.113056
80.0,405,182.324682
40.0,425,182.547037
60.0,542,182.829222
100.0,539,183.114941
80.0,425,183.338255
60.0,458,183.579967
160.0,697,183.950073
160.0,630,184.282556
40.0,419,184.498295
80.0,495,184.760706
20.0,647,185.095661
60.0,369,185.28659
80.0,507,185.549077
140.0,463,185.794666
80.0,467,186.039677
20.0,396,186.243599
40.0,356,186.425755
120.0,553,186.715726
40.0,449,186.95353
40.0,357,187.139172
20.0,348,187.317206
40.0,410,187.529085
0.0,345,187.707911
100.0,459,187.950187
60.0,443,188.181079
40.0,371,188.37371
100.0,576,188.675969
0.0,377,188.872637
160.0,675,189.231612
100.0,569,189.529716
0.0,311,189.689515
60.0,493,189.947355
40.0,411,190.161999
60.0,503,190.426847
20.0,432,190.649043
40.0,481,190.900638
40.0,413,191.118922
60.0,484,191.371477
60.0,443,191.60234
20.0,361,191.789836
40.0,407,192.005667
60.0,425,192.225636
0.0,328,192.397017
100.0,526,192.676732
40.0,324,192.843848
200.0,621,193.172226
60.0,399,193.378807
40.0,427,193.604079
40.0,423,193.824615
40.0,377,194.023256
80.0,454,194.26108
60.0,418,194.478982
40.0,387,194.683881
60.0,453,194.926879
80.0,556,195.222293
40.0,396,195.428273
20.0,425,195.649681
20.0,319,195.816468
100.0,649,196.160811
40.0,554,196.448705
20.0,392,196.652272
20.0,360,196.838408
120.0,538,197.116994
20.0,406,197.328631
60.0,450,197.565412
0.0,293,197.715366
60.0,427,197.938301
120.0,516,198.206337
0.0,306,198.36569
120.0,444,198.597278
40.0,540,198.877865
40.0,365,199.067791
60.0,465,199.311186
0.0,345,199.488949
80.0,391,199.697596
80.0,428,199.924411
60.0,540,200.210559
60.0,561,200.505996
60.0,409,200.722397
80.0,516,200.994409
100.0,596,201.308621
20.0,408,201.520651
40.0,447,201.754262
180.0,796,202.173547
80.0,641,202.510541
0.0,282,202.657174
40.0,331,202.829787
40.0,335,203.004798
80.0,422,203.227341
0.0,340,203.399328
40.0,405,203.60841
60.0,468,203.85334
120.0,543,204.139658
40.0,433,204.36634
20.0,361,204.554665
120.0,472,204.806919
20.0,360,204.990105
0.0,371,205.182302
60.0,433,205.409976
100.0,469,205.653437
60.0,433,205.882747
60.0,465,206.124387
100.0,439,206.35473
80.0,440,206.583605
40.0,375,206.775697
60.0,592,207.093759
20.0,337,207.270758
100.0,508,207.536759
120.0,432,207.763907
40.0,471,208.010826
40.0,378,208.205216
40.0,450,208.439526
0.0,328,208.609649
40.0,458,208.850553
60.0,457,209.086853
100.0,432,209.312992
20.0,386,209.513054
100.0,443,209.744116
80.0,446,209.979846
40.0,388,210.18115
40.0,444,210.411044
80.0,522,210.684874
80.0,547,210.974944
120.0,722,211.355423
40.0,390,211.559577
80.0,460,211.80331
20.0,373,211.994639
20.0,332,212.164642
20.0,408,212.376101
60.0,556,212.663104
60.0,443,212.89407
80.0,466,213.137317
80.0,482,213.390314
20.0,335,213.563774
20.0,306,213.722109
60.0,446,213.953368
20.0,389,214.154807
0.0,403,214.36357
20.0,408,214.577715
20.0,386,214.780446
40.0,452,215.014941
0.0,334,215.189313
100.0,531,215.469749
0.0,337,215.643127
40.0,381,215.842333
60.0,442,216.072991
40.0,532,216.350897
80.0,544,216.638859
60.0,534,216.914281
120.0,643,217.253666
20.0,330,217.425406
20.0,387,217.630448
80.0,406,217.843274
80.0,488,218.096685
180.0,598,218.412782
100.0,560,218.705918
120.0,651,219.049638
60.0,506,219.313848
20.0,416,219.528318
0.0,408,219.742784
20.0,348,219.923678
0.0,342,220.106018
220.0,762,220.510888
0.0,403,220.722501
20.0,417,220.941759
200.0,594,221.258407
100.0,497,221.523039
40.0,433,221.746988
0.0,319,221.910034
40.0,414,222.12797
60.0,465,222.372405
20.0,388,222.57176
80.0,511,222.842073
120.0,621,223.171005
180.0,769,223.577774
180.0,784,223.996475
20.0,369,224.186466
40.0,378,224.383438
20.0,421,224.601406
20.0,441,224.833712
100.0,579,225.142921
20.0,367,225.331302
20.0,402,225.539031
60.0,524,225.81279
40.0,566,226.110762
120.0,587,226.419519
20.0,363,226.606009
100.0,497,226.866815
40.0,377,227.062971
0.0,346,227.243476
20.0,329,227.412764
60.0,424,227.631199
20.0,364,227.819057
180.0,626,228.150113
20.0,323,228.315423
40.0,432,228.538824
140.0,500,228.802921
80.0,482,229.05683
40.0,418,229.273612
20.0,361,229.458658
100.0,445,229.689487
60.0,430,229.912596
80.0,511,230.18058
60.0,397,230.385424
80.0,463,230.62826
0.0,373,230.820765
40.0,422,231.041641
20.0,340,231.220533
0.0,349,231.400197
60.0,390,231.600479
0.0,315,231.761983
100.0,451,231.998035
20.0,378,232.195039
140.0,909,232.678791
0.0,276,232.817833
100.0,452,233.053281
40.0,365,233.244345
120.0,489,233.50382
120.0,457,233.744817
80.0,418,233.963256
40.0,555,234.25408
80.0,562,234.547455
20.0,408,234.759923
60.0,420,234.980684
40.0,372,235.178814
120.0,753,235.579103
40.0,367,235.770646
120.0,579,236.073557
40.0,380,236.272044
20.0,533,236.545318
0.0,347,236.724234
100.0,511,236.996223
80.0,568,237.298951
40.0,345,237.478911
60.0,367,237.667482
80.0,479,237.917376
120.0,490,238.175968
60.0,428,238.399524
40.0,387,238.600326
0.0,322,238.764808
80.0,497,239.025394
40.0,431,239.252379
20.0,381,239.449168
100.0,672,239.802701
140.0,615,240.128583
60.0,488,240.385087
20.0,375,240.580429
40.0,487,240.835099
40.0,416,241.051477
40.0,498,241.311234
60.0,368,241.50405
40.0,482,241.754633
