#{"t_start": 1707831978.555869, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
50.0,396,0.634918
135.0,540,0.923572
110.0,502,1.188433
40.0,251,1.322514
75.0,607,1.644251
50.0,355,1.834399
290.0,909,2.307896
115.0,395,2.516207
100.0,605,2.833988
350.0,772,3.230348
285.0,852,3.667131
100.0,675,4.019306
50.0,438,4.249835
100.0,455,4.49242
435.0,746,4.878734
105.0,439,5.108659
45.0,402,5.322342
45.0,381,5.523256
565.0,855,5.961306
75.0,411,6.174675
330.0,522,6.449543
120.0,637,6.787853
15.0,384,6.99217
35.0,384,7.191354
165.0,521,7.466093
215.0,585,7.770461
245.0,781,8.173737
90.0,530,8.449821
115.0,697,8.813979
45.0,390,9.018004
125.0,377,9.214402
60.0,448,9.44979
110.0,479,9.698239
80.0,511,9.968032
330.0,818,10.38659
90.0,460,10.626792
150.0,510,10.89311
75.0,381,11.094921
75.0,282,11.243664
5.0,295,11.397498
265.0,847,11.835644
105.0,511,12.103293
20.0,372,12.298289
230.0,835,12.728084
155.0,539,13.010589
130.0,497,13.270486
125.0,502,13.538155
60.0,486,13.793747
35.0,307,13.954657
80.0,387,14.157814
40.0,486,14.412625
85.0,454,14.649118
475.0,870,15.095831
35.0,295,15.250596
30.0,384,15.454983
45.0,285,15.604419
30.0,266,15.74513
60.0,487,16.003129
255.0,878,16.450071
225.0,718,16.818543
155.0,599,17.132127
315.0,825,17.560165
165.0,489,17.819251
315.0,1005,18.337463
30.0,285,18.488098
15.0,284,18.638786
165.0,549,18.926471
95.0,503,19.192538
150.0,500,19.45288
30.0,262,19.592162
60.0,307,19.754191
40.0,480,20.004424
40.0,254,20.136948
15.0,342,20.318268
140.0,515,20.589708
205.0,777,20.989764
15.0,374,21.18948
190.0,748,21.57936
150.0,617,21.902955
220.0,472,22.148986
30.0,296,22.304509
35.0,289,22.456438
70.0,513,22.724261
430.0,929,23.198892
35.0,270,23.340919
80.0,602,23.656538
160.0,539,23.939052
235.0,700,24.299158
395.0,672,24.651007
220.0,643,24.981949
5.0,439,25.212798
285.0,768,25.604167
150.0,507,25.870136
65.0,407,26.086547
105.0,386,26.29017
85.0,354,26.473654
20.0,385,26.675994
125.0,502,26.939517
205.0,593,27.247833
135.0,520,27.518328
35.0,385,27.720917
25.0,464,27.967405
50.0,473,28.215977
150.0,502,28.479668
190.0,460,28.717438
25.0,428,28.944355
100.0,434,29.173683
45.0,476,29.424558
215.0,713,29.794307
205.0,520,30.064049
205.0,820,30.487433
150.0,769,30.885464
120.0,475,31.133866
110.0,274,31.277423
195.0,545,31.562271
80.0,561,31.855631
80.0,400,32.065453
35.0,259,32.202173
90.0,397,32.409482
60.0,446,32.64213
90.0,535,32.925562
130.0,447,33.160449
160.0,770,33.561251
60.0,482,33.813843
75.0,448,34.048571
360.0,837,34.478946
55.0,370,34.673634
605.0,1050,35.195479
50.0,381,35.396581
60.0,384,35.600806
155.0,539,35.885866
40.0,257,36.020474
80.0,389,36.22565
80.0,439,36.456632
115.0,484,36.711211
20.0,433,36.938454
65.0,480,37.188702
395.0,747,37.575722
30.0,265,37.71572
90.0,345,37.896076
115.0,481,38.149299
170.0,691,38.509551
140.0,435,38.735924
245.0,671,39.0819
215.0,611,39.400014
40.0,438,39.633353
85.0,503,39.900076
25.0,253,40.034243
15.0,372,40.229995
80.0,303,40.39008
85.0,496,40.675184
75.0,384,40.951274
15.0,321,41.15426
30.0,289,41.306774
125.0,417,41.526639
250.0,780,41.927548
120.0,501,42.192096
115.0,543,42.475609
130.0,318,42.643322
35.0,338,42.820109
90.0,452,43.059129
180.0,496,43.320237
55.0,298,43.475808
55.0,289,43.62905
45.0,279,43.778176
230.0,586,44.081675
65.0,380,44.280343
20.0,274,44.423293
25.0,305,44.585238
285.0,514,44.857564
85.0,394,45.068172
45.0,320,45.238774
25.0,270,45.380108
140.0,538,45.667763
140.0,490,45.924924
40.0,263,46.063243
45.0,368,46.25796
150.0,529,46.53517
240.0,808,46.948072
200.0,845,47.386442
185.0,485,47.640968
160.0,662,47.986711
55.0,437,48.215836
190.0,709,48.580582
90.0,466,48.823667
155.0,501,49.086536
300.0,845,49.521622
175.0,559,49.81465
105.0,406,50.02501
35.0,284,50.173154
120.0,497,50.434258
115.0,674,50.788902
90.0,415,51.006799
210.0,489,51.264384
55.0,666,51.612532
125.0,469,51.861779
195.0,832,52.295959
295.0,821,52.717433
55.0,321,52.885733
55.0,317,53.051707
20.0,378,53.251204
415.0,629,53.578611
55.0,495,53.837175
515.0,760,54.231067
305.0,827,54.65826
155.0,645,54.99523
60.0,257,55.131514
110.0,504,55.394231
100.0,456,55.634926
100.0,547,55.924394
140.0,485,56.179873
90.0,497,56.438686
240.0,749,56.825297
50.0,374,57.022006
80.0,612,57.342618
125.0,701,57.707215
75.0,480,57.961423
215.0,553,58.251853
135.0,381,58.452646
225.0,728,58.830813
10.0,426,59.057509
125.0,497,59.315708
165.0,567,59.608238
55.0,294,59.763634
305.0,668,60.108717
70.0,286,60.259675
70.0,380,60.458843
375.0,819,60.88268
40.0,540,61.164375
10.0,358,61.352401
45.0,506,61.617298
265.0,996,62.125391
200.0,686,62.481147
30.0,454,62.720698
165.0,534,63.000463
110.0,598,63.30913
170.0,501,63.570217
120.0,568,63.868931
540.0,890,64.320647
135.0,494,64.578252
90.0,394,64.783706
150.0,611,65.103277
330.0,569,65.400995
45.0,411,65.614053
130.0,489,65.872805
65.0,453,66.10918
355.0,1243,66.720324
85.0,389,66.927382
70.0,432,67.156257
100.0,577,67.456542
10.0,396,67.665872
120.0,508,67.933509
15.0,288,68.084167
185.0,654,68.421343
40.0,402,68.632309
175.0,631,68.959188
45.0,347,69.140654
135.0,500,69.407454
95.0,482,69.660747
100.0,413,69.876223
445.0,711,70.237804
130.0,570,70.535008
40.0,378,70.73394
65.0,388,70.938078
50.0,474,71.188626
35.0,288,71.34283
