#{"t_start": 1707597674.9610615, "env_id": "ALE/Assault-v5"}
r,l,t
189.0,609,15.283098
168.0,833,26.406989
189.0,879,38.756501
336.0,1175,55.130373
399.0,1473,76.024464
399.0,1391,93.102028
525.0,1315,112.005846
231.0,961,124.463263
703.0,2147,154.145049
315.0,769,163.520477
441.0,1583,185.97688
462.0,1735,209.223052
651.0,2620,243.371733
567.0,1443,262.242321
357.0,1089,275.258948
672.0,2628,311.540109
693.0,1988,338.921751
672.0,1756,373.431845
693.0,1709,396.220664
336.0,896,408.391163
630.0,1994,435.189291
724.0,1885,458.473289
630.0,2120,488.596524
588.0,1795,512.419075
651.0,1676,533.168378
693.0,2502,567.008426
651.0,1578,588.159202
703.0,1606,610.472324
630.0,1706,633.347434
735.0,1356,652.049138
734.0,1755,677.218631
745.0,1959,701.905323
483.0,1091,725.705488
672.0,1348,743.350998
734.0,1405,760.431106
724.0,1589,781.210684
724.0,1453,800.302528
734.0,1539,821.284783
714.0,1453,841.039639
703.0,1505,861.988048
745.0,1481,882.312248
733.0,1477,902.266123
743.0,1714,925.358454
692.0,1386,943.742191
723.0,1238,960.945304
848.0,1539,980.77669
806.0,1670,1004.193557
827.0,1764,1029.189368
889.0,1773,1054.132462
671.0,1463,1072.406058
818.0,1316,1100.459166
922.0,1633,1123.346399
1068.0,2241,1154.294236
681.0,1143,1169.445869
744.0,1122,1184.095776
847.0,1510,1202.638078
784.0,1445,1220.382128
818.0,1532,1241.359989
2758.0,5506,1317.141751
1120.0,1857,1341.472517
993.0,1761,1364.948887
1529.0,2721,1400.453871
1392.0,2657,1453.740561
857.0,1545,1474.646354
1096.0,1857,1499.541071
1377.0,3041,1541.241867
1599.0,2881,1579.414834
682.0,1283,1596.679115
1717.0,2946,1639.059445
764.0,1411,1658.023194
797.0,1571,1679.490818
1289.0,2433,1714.318549
1645.0,2528,1749.907835
2536.0,4259,1823.003949
1803.0,2785,1860.775877
1811.0,3074,1902.114406
806.0,1475,1920.614558
2452.0,3811,1971.979023
899.0,1735,1997.058296
2837.0,4195,2053.030787
1656.0,2688,2089.233234
1979.0,3151,2133.657368
745.0,1223,2148.621611
1456.0,2593,2204.30448
856.0,1538,2223.392267
3028.0,4141,2279.524934
1905.0,3041,2319.47786
2912.0,4326,2378.328409
3042.0,4483,2441.6623
3308.0,4988,2510.231933
1415.0,2209,2547.920629
2451.0,3746,2600.652309
1947.0,3169,2643.796104
2018.0,3105,2684.555627
2389.0,3875,2737.110209
3219.0,5282,2811.750087
815.0,1572,2833.129015
2123.0,3009,2873.205946
1023.0,1793,2911.166161
2443.0,3875,2962.057969
939.0,1507,2982.355701
2074.0,2977,3021.009515
2161.0,3299,3066.537671
3007.0,4488,3125.491122
2986.0,4320,3184.192186
2914.0,4233,3264.337107
661.0,1542,3284.189565
2558.0,3875,3338.886679
838.0,1380,3355.846454
2032.0,3073,3397.83127
899.0,1573,3418.62102
2842.0,4336,3476.742565
785.0,1474,3496.112726
734.0,1604,3516.765236
2400.0,3567,3564.5825
2788.0,4067,3635.913123
797.0,1411,3654.539357
2673.0,3811,3706.489149
4199.0,5377,3777.025514
2894.0,3972,3830.318495
2065.0,3105,3871.43306
2484.0,3683,3919.170567
2810.0,4259,3996.2834
703.0,1161,4011.329444
919.0,1667,4033.493388
2864.0,4389,4093.97206
3221.0,4456,4150.426717
961.0,1729,4173.597857
3368.0,4711,4238.542865
1552.0,2305,4268.697101
3212.0,4485,4351.962267
1968.0,3201,4394.773051
786.0,1506,4414.032891
3574.0,5412,4488.514402
734.0,1287,4506.743692
2264.0,3202,4551.029379
3389.0,4838,4618.539029
796.0,1318,4636.240511
2357.0,3938,4706.2459
827.0,1676,4727.86106
2705.0,4290,4788.77033
1394.0,2337,4820.728142
2107.0,3073,4862.40987
847.0,1414,4880.075577
1662.0,2434,4914.128066
3017.0,4163,4970.304775
2031.0,3456,5018.295762
837.0,1571,5039.202982
1788.0,2912,5089.705462
2821.0,3939,5146.415535
3036.0,4885,5213.182669
609.0,1026,5226.400127
888.0,1410,5245.895476
1568.0,2497,5280.383537
2587.0,3971,5335.165828
847.0,1132,5349.342527
1194.0,1793,5373.802752
2986.0,4741,5458.332551
672.0,1224,5474.99217
3929.0,6177,5559.914027
3109.0,4515,5619.606946
2922.0,4195,5675.149042
1557.0,2753,5712.692463
1285.0,1953,5739.422532
2335.0,3362,5806.021573
816.0,1318,5823.995542
754.0,1540,5844.32577
919.0,1731,5864.880358
2561.0,4131,5921.123095
1258.0,2241,5950.701642
1960.0,3041,5989.737812
1388.0,2273,6020.628956
1410.0,2369,6053.128964
1874.0,2913,6090.887789
1225.0,2049,6118.871849
1775.0,2752,6171.821672
1330.0,2177,6201.374407
2610.0,4131,6260.263258
2041.0,3009,6300.024225
775.0,1381,6319.533583
1256.0,2113,6347.918698
827.0,1445,6367.375067
2976.0,4259,6425.288553
1867.0,2785,6464.691174
462.0,835,6475.882184
1626.0,2401,6517.222193
2189.0,2945,6555.555431
2903.0,4234,6614.789663
2997.0,4549,6679.772516
3254.0,4239,6738.106013
3008.0,4419,6799.106275
1348.0,2177,6829.440186
827.0,1353,6846.782902
3121.0,4227,6929.528973
2505.0,3778,6982.122427
2735.0,3683,7031.732468
1832.0,3055,7072.514797
1246.0,2209,7102.39702
1205.0,1857,7124.076332
2997.0,4263,7179.64785
3112.0,4423,7262.649079
2758.0,4194,7318.295162
3088.0,4247,7373.425572
2452.0,3523,7419.639766
3656.0,5063,7491.375185
2944.0,4243,7548.536175
2674.0,3651,7614.351437
899.0,1445,7633.162145
2832.0,4133,7687.806137
2840.0,3938,7741.334985
1918.0,2849,7780.206052
3542.0,5134,7852.410074
796.0,1348,7870.484661
693.0,1411,7890.044556
1541.0,2401,7921.369946
1602.0,2337,7952.279451
1739.0,2562,8013.061119
1876.0,3233,8057.116749
2838.0,3779,8108.212349
1443.0,2177,8137.355999
1693.0,2752,8175.38923
2788.0,3651,8227.13749
785.0,1411,8245.522067
3463.0,4844,8311.813262
3089.0,4612,8396.094854
1643.0,2721,8432.399646
929.0,1348,8450.432818
1107.0,1889,8476.034367
692.0,1231,8493.388554
1253.0,2049,8522.047059
2180.0,2945,8562.579775
1079.0,1601,8584.097704
2893.0,4291,8643.710373
3668.0,5060,8726.990779
3102.0,4356,8786.626647
3493.0,4770,8848.802917
765.0,1317,8866.692407
3091.0,4259,8925.762727
837.0,1422,8944.030721
3316.0,4709,9006.863449
2619.0,3971,9076.96639
3028.0,4216,9135.311146
859.0,1285,9152.103429
1979.0,2721,9188.168836
1495.0,2337,9217.672669
1913.0,3233,9262.678204
3047.0,4722,9325.353171
1801.0,2657,9362.382081
2380.0,3395,9406.591774
796.0,1329,9443.305969
2062.0,3169,9486.31909
3119.0,4774,9553.240213
1652.0,2368,9582.849529
1644.0,2689,9620.168435
2934.0,4195,9678.245359
796.0,1287,9694.998853
4409.0,5873,9772.454114
2915.0,4198,9857.169135
1445.0,2273,9888.230724
2514.0,4131,9943.464167
1141.0,1633,9965.257912
2482.0,4195,10022.065759
2807.0,3971,10074.14195
2104.0,3297,10115.82499
3088.0,4738,10201.281535
1183.0,1918,10224.08266
3038.0,3848,10276.042275
3582.0,5062,10345.412357
1005.0,1633,10366.266954
2253.0,3202,10408.030863
3308.0,4611,10473.133404
2185.0,3169,10542.69508
2976.0,4002,10596.669399
2178.0,3074,10635.987834
2051.0,3233,10681.426845
889.0,1703,10702.51295
2873.0,3395,10748.983615
1086.0,1697,10772.180163
1987.0,2721,10809.549393
1289.0,2113,10836.453303
703.0,1172,10851.657346
909.0,1638,10874.111649
1621.0,2689,10930.10054
1833.0,2882,10970.096983
3387.0,4579,11030.337054
891.0,1409,11048.891776
2107.0,2785,11084.710704
2484.0,3555,11131.240255
1203.0,1838,11156.799543
3463.0,4675,11222.740827
1130.0,2241,11280.00472
2346.0,3395,11327.395561
1876.0,2690,11365.05757
1877.0,2881,11405.018616
1885.0,3009,11446.213986
3099.0,4391,11506.732581
2140.0,2945,11546.093781
3028.0,4420,11602.06717
3210.0,4847,11690.74043
1677.0,2464,11723.556683
3183.0,4057,11779.314142
3060.0,4196,11835.098978
3263.0,4740,11899.696064
827.0,1379,11917.83754
2273.0,3554,11966.435955
2809.0,4195,12040.840497
3515.0,4837,12103.899097
3338.0,4515,12164.481997
1831.0,2753,12201.553711
2832.0,4003,12253.920212
3194.0,3851,12307.206366
1570.0,2593,12357.803166
2514.0,3395,12405.800527
3886.0,5377,12478.66539
3369.0,4516,12541.048912
1653.0,2497,12576.292949
3143.0,4196,12633.053069
1654.0,2592,12667.325204
3029.0,4231,12748.022895
3439.0,5058,12815.639296
2809.0,3746,12866.033659
2243.0,3139,12908.577149
745.0,1329,12924.971952
2568.0,3779,12977.998102
1457.0,2177,13005.140549
2412.0,3299,13048.538595
2965.0,4551,13134.230965
2964.0,4323,13193.032727
2737.0,3286,13239.646193
1562.0,2496,13274.044437
4154.0,5425,13348.431715
2000.0,3072,13391.140728
1814.0,2529,13426.611432
3101.0,4515,13505.560682
1558.0,2401,13538.132406
1687.0,2433,13571.605911
2612.0,4227,13630.987698
2462.0,3554,13679.272912
2609.0,4099,13737.578267
2997.0,4131,13793.616762
1530.0,2496,13852.514318
2094.0,3073,13894.940376
939.0,1378,13913.648115
1328.0,2177,13943.775154
2559.0,3779,13996.679275
2745.0,3938,14050.765159
1161.0,2081,14079.249931
3319.0,4418,14139.420001
1009.0,1900,14164.687076
1463.0,2177,14211.544669
588.0,1122,14226.317198
3057.0,4392,14286.637494
3496.0,4867,14355.18059
1635.0,2305,14385.797066
1628.0,2689,14423.399219
1705.0,2593,14457.630605
3077.0,4421,14515.069477
3141.0,4078,14597.022126
1740.0,2528,14629.25827
2120.0,2609,14663.174273
1225.0,1889,14689.915466
1929.0,2720,14726.070455
3555.0,4420,14784.456599
3971.0,5569,14860.361676
3108.0,4486,14946.928321
3070.0,4495,15005.887584
3800.0,5418,15080.008518
1768.0,2849,15117.850447
3153.0,4374,15176.923884
827.0,1353,15195.945832
3349.0,4517,15259.872886
2933.0,3845,15331.895638
1991.0,2945,15370.614742
1677.0,2656,15406.990286
2256.0,3043,15447.593154
858.0,1609,15470.114666
2663.0,3586,15520.675334
3028.0,4518,15582.953604
2126.0,3110,15623.62973
2035.0,2978,15675.332257
962.0,1633,15696.774152
839.0,1284,15713.054443
2168.0,3073,15753.449872
2956.0,3939,15807.760011
