#{"t_start": 1707597673.220431, "env_id": "ALE/Asterix-v5"}
r,l,t
100.0,178,10.875358
550.0,335,15.315888
150.0,230,19.817286
150.0,217,22.487083
200.0,235,26.490992
300.0,274,29.414844
150.0,213,31.478071
50.0,205,34.641504
0.0,208,37.555141
350.0,349,43.274753
700.0,421,49.240737
200.0,229,51.886214
200.0,371,57.009011
50.0,211,59.258191
150.0,217,61.64095
100.0,212,65.142182
350.0,344,69.390734
50.0,208,72.532087
250.0,307,76.180116
150.0,199,79.204361
200.0,228,81.903444
250.0,325,86.677268
50.0,229,89.200005
300.0,287,92.920113
150.0,206,96.552428
100.0,238,99.858302
250.0,238,103.520569
300.0,246,106.503167
50.0,221,110.245229
300.0,300,113.916048
250.0,300,118.804268
300.0,250,121.469258
150.0,212,123.796413
200.0,237,127.418301
350.0,307,130.907145
100.0,240,134.463637
200.0,256,137.191452
300.0,263,141.088885
600.0,293,144.593322
500.0,403,150.403947
200.0,230,153.270423
100.0,208,156.923937
150.0,284,160.813615
150.0,213,164.005039
400.0,336,167.566494
150.0,250,171.285456
550.0,307,175.053702
100.0,221,178.582232
50.0,238,181.570768
650.0,509,189.576003
50.0,208,192.02987
50.0,207,195.373241
250.0,229,198.433117
150.0,226,202.083158
400.0,259,205.257931
50.0,206,207.438116
300.0,419,213.724424
50.0,209,216.195789
50.0,202,219.332973
200.0,250,222.505773
200.0,278,227.029054
50.0,212,229.663989
250.0,310,234.70027
400.0,331,239.108139
150.0,257,243.40222
100.0,211,246.10229
100.0,205,248.483514
150.0,240,252.631014
200.0,211,255.518573
550.0,370,260.940005
150.0,222,263.465068
150.0,263,267.228458
150.0,272,270.626441
200.0,226,274.237941
450.0,326,278.75309
100.0,180,281.711821
550.0,365,286.230782
150.0,229,289.942466
200.0,212,292.534303
200.0,239,295.790656
550.0,287,300.008759
100.0,228,302.515599
400.0,435,308.125958
600.0,430,314.824554
150.0,228,317.864831
300.0,281,321.871906
100.0,245,324.484929
150.0,202,327.961083
150.0,206,330.440078
550.0,401,336.338787
300.0,305,340.10081
200.0,321,344.894211
500.0,437,351.642756
100.0,237,354.558824
200.0,234,357.78595
500.0,289,362.448886
450.0,309,366.869665
100.0,208,368.924589
400.0,322,373.390954
350.0,286,376.358222
100.0,229,378.657408
200.0,171,381.65474
300.0,332,385.267265
150.0,212,391.267734
250.0,199,394.118398
100.0,313,398.793785
200.0,264,402.270571
200.0,214,405.165425
300.0,252,409.62225
250.0,188,411.85278
150.0,299,416.257986
50.0,203,418.447224
250.0,272,422.358208
350.0,304,426.05143
400.0,333,431.625653
300.0,277,435.342825
300.0,317,440.705008
150.0,202,442.933493
300.0,302,446.913703
650.0,380,452.500519
250.0,343,456.961034
250.0,215,460.548416
250.0,238,463.849054
200.0,210,466.677851
250.0,200,469.892134
350.0,228,472.777755
150.0,196,475.241571
450.0,340,480.188898
150.0,210,482.631585
600.0,358,487.946185
200.0,238,492.09872
50.0,208,494.689367
550.0,468,501.576989
150.0,194,503.654871
550.0,368,508.667475
200.0,298,511.725245
150.0,272,516.245453
200.0,221,518.809386
250.0,263,522.542145
100.0,204,524.759109
200.0,247,527.483319
50.0,230,530.783108
200.0,266,533.784772
350.0,275,538.246485
100.0,272,541.714182
450.0,394,547.131334
250.0,395,552.137539
150.0,198,554.314094
100.0,219,556.710398
300.0,330,561.613059
300.0,264,564.813318
350.0,221,568.215603
350.0,361,573.330857
750.0,447,579.081964
200.0,278,583.403248
500.0,433,590.010989
650.0,422,594.826462
400.0,321,599.537189
250.0,281,604.305789
300.0,335,607.998355
350.0,349,612.852216
500.0,348,617.325215
50.0,202,620.776586
550.0,354,625.768475
400.0,278,629.853108
100.0,226,632.398746
150.0,209,636.021416
250.0,216,638.807786
150.0,250,642.994973
150.0,207,645.265253
300.0,347,650.550998
150.0,276,654.360163
350.0,364,660.312647
100.0,209,662.860377
200.0,259,666.768797
200.0,272,670.166191
150.0,202,672.495111
250.0,300,676.376041
250.0,332,681.524519
350.0,304,685.347286
200.0,306,690.275027
150.0,259,693.506463
100.0,202,695.87294
250.0,321,700.785779
850.0,464,707.633503
200.0,277,710.664132
150.0,267,715.081289
150.0,208,717.394238
750.0,460,723.70467
150.0,210,726.005856
350.0,298,730.417155
500.0,468,737.722597
200.0,197,740.286818
250.0,440,746.861734
50.0,184,748.835253
200.0,258,752.571383
450.0,302,755.749817
300.0,329,760.201656
600.0,551,771.039771
250.0,297,775.678022
300.0,276,779.158526
400.0,335,784.37707
250.0,211,786.981252
350.0,342,792.040047
200.0,233,794.782002
400.0,207,797.258465
200.0,299,801.54581
500.0,275,804.888416
150.0,255,808.721781
200.0,290,811.663439
100.0,245,815.252339
300.0,253,818.009098
250.0,227,821.491323
200.0,308,824.793051
300.0,291,829.642196
350.0,305,833.91501
400.0,288,838.829358
550.0,315,844.027461
100.0,203,846.714411
250.0,283,850.315067
250.0,325,855.320727
250.0,373,860.630867
750.0,311,864.574537
200.0,271,869.030889
600.0,482,875.990343
250.0,238,879.074254
250.0,287,883.86559
500.0,379,888.651097
500.0,395,895.076957
500.0,426,901.938252
150.0,272,905.27724
300.0,232,909.190825
350.0,380,913.988277
400.0,307,918.753241
650.0,516,926.217258
250.0,292,929.312576
250.0,230,933.198998
750.0,489,940.618213
200.0,253,943.450251
500.0,510,950.102335
550.0,360,955.125457
500.0,373,959.341354
400.0,423,965.286555
400.0,400,971.602453
900.0,756,982.936727
450.0,437,989.665171
250.0,253,994.065772
650.0,419,999.985252
450.0,370,1005.943922
550.0,313,1010.376249
400.0,383,1015.001985
250.0,257,1018.760405
300.0,310,1022.75674
200.0,210,1026.281836
250.0,284,1029.477265
300.0,359,1034.807085
500.0,369,1040.686235
550.0,498,1048.127877
600.0,457,1054.230432
500.0,376,1059.799996
700.0,366,1065.425625
550.0,414,1071.642932
150.0,239,1074.50551
500.0,492,1081.299476
500.0,312,1086.310964
300.0,224,1089.128529
1250.0,799,1101.313482
300.0,312,1105.393215
300.0,433,1111.768286
400.0,379,1117.729107
200.0,192,1119.974439
850.0,523,1127.480324
450.0,323,1131.44752
300.0,391,1136.428052
750.0,680,1149.094908
400.0,365,1153.794351
300.0,327,1158.5829
