#{"t_start": 1707597674.3821752, "env_id": "ALE/Asteroids-v5"}
r,l,t
430.0,805,18.613993
430.0,530,26.371157
330.0,554,34.900341
280.0,599,43.813284
110.0,590,52.390808
110.0,371,57.554334
480.0,787,69.085044
210.0,339,73.597533
310.0,547,81.692832
430.0,675,91.357205
480.0,469,98.350741
680.0,622,107.812702
340.0,482,114.707307
330.0,415,120.783867
180.0,457,127.314345
830.0,1116,143.520602
280.0,559,152.234453
680.0,857,166.605953
380.0,748,176.98249
460.0,729,186.996876
380.0,621,196.020921
310.0,530,203.168573
460.0,684,213.185554
680.0,920,227.907097
210.0,414,233.976092
1280.0,1330,253.809191
680.0,665,263.037672
380.0,362,268.986902
830.0,879,283.337775
530.0,388,287.626661
830.0,611,295.929332
580.0,570,304.76715
630.0,634,314.647063
530.0,799,326.364105
180.0,474,333.399321
480.0,548,341.027066
510.0,416,346.027889
330.0,416,352.337566
530.0,458,358.214975
830.0,657,367.810037
530.0,387,373.60639
460.0,385,378.658823
480.0,502,386.520931
480.0,522,394.254854
410.0,577,402.127535
210.0,572,410.368035
480.0,370,419.953727
780.0,670,430.642582
530.0,507,438.017495
280.0,459,445.120617
730.0,562,453.754817
210.0,385,458.823711
580.0,662,468.723664
480.0,642,479.222492
260.0,412,484.709107
360.0,557,493.547448
630.0,556,501.966842
380.0,414,508.485798
460.0,549,516.900262
730.0,996,532.406404
730.0,611,540.743397
530.0,468,547.640533
210.0,416,552.204247
380.0,426,558.023341
430.0,419,563.754008
830.0,854,575.000095
160.0,459,582.170301
330.0,430,588.470041
730.0,693,597.847067
780.0,808,611.170819
780.0,601,619.687129
180.0,511,625.549507
630.0,641,636.052762
380.0,774,647.348715
730.0,653,657.811184
880.0,1053,674.733134
930.0,886,688.928619
530.0,465,695.566167
410.0,687,705.778396
360.0,412,711.526634
480.0,520,718.931072
310.0,537,726.763036
680.0,479,734.429214
560.0,751,746.284622
480.0,419,751.736675
630.0,800,763.988724
430.0,747,775.463617
380.0,414,781.86543
660.0,601,790.375878
280.0,711,799.796106
580.0,734,809.342149
710.0,879,822.273043
380.0,414,833.82194
310.0,503,841.656087
380.0,627,850.189547
430.0,419,855.169297
280.0,644,864.44811
330.0,460,869.54506
830.0,721,881.070773
980.0,990,897.797034
430.0,683,908.61552
460.0,846,920.697331
330.0,513,928.078226
480.0,494,935.687691
880.0,1124,951.600025
1180.0,1459,972.987292
560.0,640,982.688857
480.0,668,992.92464
560.0,523,1000.635773
480.0,508,1007.99564
430.0,532,1016.024449
380.0,563,1023.845405
760.0,899,1036.490033
630.0,787,1048.407097
530.0,783,1058.955016
780.0,786,1070.675491
980.0,893,1084.289238
630.0,568,1092.220421
980.0,834,1105.555279
330.0,508,1113.082063
680.0,832,1124.681355
330.0,594,1133.321419
580.0,425,1139.963544
580.0,757,1151.14975
1080.0,1322,1172.872144
680.0,738,1184.028188
530.0,567,1192.079923
630.0,553,1200.420421
880.0,888,1213.386925
880.0,916,1226.071891
380.0,768,1243.525498
430.0,614,1252.262033
610.0,910,1264.707615
430.0,682,1276.341079
680.0,750,1286.835456
560.0,502,1293.932784
780.0,1002,1309.185136
530.0,521,1317.135038
630.0,712,1327.982433
630.0,565,1336.327646
460.0,636,1344.789937
380.0,661,1354.882385
460.0,540,1363.119361
580.0,709,1373.751806
330.0,414,1380.11384
430.0,764,1391.084229
530.0,680,1401.198181
880.0,754,1412.662768
680.0,551,1420.801621
380.0,464,1428.067155
430.0,868,1440.815182
730.0,807,1453.154794
780.0,539,1460.878324
930.0,900,1472.36736
430.0,616,1481.48563
730.0,812,1493.437538
780.0,595,1501.446199
730.0,863,1515.512148
680.0,508,1522.142955
630.0,767,1534.727839
1180.0,1086,1551.402463
730.0,679,1560.617228
680.0,710,1569.727866
380.0,431,1576.020443
1350.0,1750,1602.22373
730.0,1121,1619.196952
680.0,731,1630.735063
980.0,1136,1654.149034
530.0,590,1663.305796
380.0,928,1676.928561
780.0,1211,1694.734432
680.0,832,1706.275414
430.0,786,1718.325253
780.0,645,1728.416655
830.0,965,1743.543639
530.0,461,1750.097317
380.0,548,1757.332403
230.0,506,1765.148156
460.0,896,1779.761601
430.0,539,1787.943918
510.0,966,1802.373339
1080.0,826,1815.281639
580.0,616,1824.612402
580.0,545,1831.915343
380.0,643,1840.214572
480.0,634,1849.109614
880.0,813,1862.557017
930.0,777,1873.632016
610.0,701,1884.085429
780.0,945,1897.092457
580.0,803,1910.620277
430.0,588,1919.214939
580.0,644,1928.929445
780.0,618,1938.071358
730.0,783,1950.62496
980.0,856,1962.989606
730.0,787,1975.937834
430.0,474,1982.129263
530.0,521,1990.08933
380.0,560,1998.982185
580.0,464,2006.374381
630.0,782,2018.14383
780.0,617,2028.572808
330.0,509,2035.54654
480.0,551,2044.130898
430.0,549,2051.910299
380.0,578,2065.21696
930.0,735,2077.454275
1030.0,766,2087.286107
580.0,505,2093.755111
580.0,655,2102.131838
1180.0,2085,2135.407086
430.0,858,2149.239112
380.0,860,2161.937134
780.0,960,2176.657915
680.0,676,2185.956545
530.0,477,2192.360639
680.0,638,2202.027481
580.0,642,2212.211228
1180.0,1506,2235.388635
780.0,783,2246.622308
930.0,887,2260.304407
830.0,862,2273.553296
830.0,734,2284.61971
1610.0,1343,2304.811062
730.0,659,2314.854441
1180.0,1573,2338.878939
630.0,428,2344.281022
430.0,731,2355.630879
480.0,711,2366.910947
880.0,563,2374.914851
580.0,582,2383.073676
830.0,776,2393.418367
1180.0,1419,2414.561244
730.0,607,2422.801265
780.0,643,2431.884677
780.0,802,2444.117139
1180.0,841,2456.313926
1320.0,1417,2481.280553
980.0,1188,2498.715449
1300.0,1580,2523.203351
880.0,828,2536.419497
980.0,886,2547.618433
1580.0,1079,2562.762826
880.0,686,2572.273315
1370.0,1317,2593.044376
930.0,601,2601.39689
730.0,693,2610.932185
980.0,974,2625.65505
830.0,1000,2640.927095
1030.0,1122,2656.784656
830.0,761,2667.246697
1030.0,920,2681.608837
630.0,621,2690.928395
580.0,382,2696.630139
1080.0,1124,2714.469133
930.0,708,2724.632021
510.0,562,2732.962433
830.0,732,2742.546076
1390.0,2638,2782.921403
1080.0,1002,2798.192411
1750.0,1646,2822.777836
1030.0,687,2834.176204
1180.0,729,2844.739878
1280.0,1259,2869.611181
1180.0,1284,2891.238452
630.0,409,2896.220264
680.0,420,2902.107534
880.0,505,2908.419471
1320.0,1655,2934.505264
830.0,831,2947.092433
1440.0,902,2960.211537
1080.0,853,2974.43529
1980.0,1822,3002.04509
780.0,654,3010.817945
1280.0,1189,3028.932335
1390.0,939,3041.51112
1610.0,967,3055.200497
1300.0,1735,3079.031518
580.0,388,3084.223021
1280.0,1332,3102.682694
980.0,1035,3116.277664
1780.0,1313,3136.722182
930.0,560,3144.577859
880.0,561,3152.729336
1410.0,3312,3202.976233
1030.0,680,3212.860671
1280.0,1703,3239.325936
1490.0,1253,3263.517606
980.0,525,3271.395023
2050.0,1051,3286.517931
2050.0,1540,3311.456179
310.0,412,3316.535181
1560.0,1567,3340.240399
980.0,919,3353.2599
930.0,473,3359.889323
1950.0,1674,3385.522099
630.0,639,3394.426614
1380.0,1762,3421.564839
1680.0,1525,3443.794882
1080.0,780,3456.065437
1410.0,1035,3471.990229
1490.0,1051,3487.790577
1830.0,1361,3508.050523
980.0,1151,3523.900929
1180.0,903,3537.635212
1380.0,2193,3568.696312
1580.0,1080,3585.151523
980.0,821,3595.850395
1300.0,792,3607.911069
880.0,774,3619.068224
1630.0,2075,3658.912716
1560.0,1035,3674.951033
1280.0,1099,3690.655863
1180.0,1718,3717.136498
1580.0,2737,3759.793131
2000.0,1606,3782.9403
1590.0,899,3796.574087
1390.0,1186,3814.889711
1580.0,1767,3840.715987
1130.0,643,3849.234744
1180.0,596,3858.148347
960.0,777,3869.156593
1080.0,952,3882.864225
1280.0,1554,3906.585063
880.0,545,3914.319669
1850.0,1425,3936.139953
1280.0,920,3948.736427
980.0,607,3957.528526
1080.0,685,3967.77797
1510.0,998,3983.04732
2200.0,1099,3999.833389
1680.0,1730,4025.208333
980.0,652,4034.381621
1800.0,912,4048.7678
1080.0,689,4065.892824
1780.0,1232,4083.678411
1680.0,1074,4098.457244
1750.0,1322,4118.808038
880.0,409,4124.101094
980.0,518,4131.333825
1030.0,881,4144.640003
930.0,569,4153.903171
1930.0,931,4166.839751
2050.0,1079,4183.486594
1280.0,835,4196.034584
1280.0,997,4211.801846
1700.0,951,4226.350965
1510.0,834,4238.651804
1460.0,1188,4255.244457
2450.0,1210,4273.641356
1280.0,968,4286.375572
1410.0,1238,4304.411543
1280.0,819,4315.719853
2250.0,1394,4336.444073
1080.0,961,4351.855258
1530.0,1506,4374.574238
1950.0,1155,4393.271773
1560.0,1140,4409.441202
1180.0,710,4419.409652
1180.0,679,4427.935079
580.0,585,4435.725738
1730.0,1190,4462.301042
1800.0,1534,4485.086833
930.0,599,4493.205327
480.0,417,4499.278343
1180.0,990,4514.070207
1280.0,1190,4531.4406
1510.0,1919,4561.598099
1940.0,1606,4585.812974
580.0,604,4594.099305
2000.0,931,4608.016755
680.0,775,4619.463537
880.0,655,4629.257636
1900.0,1765,4657.314831
2080.0,1194,4675.234955
2050.0,1005,4688.296866
1280.0,790,4701.14152
1280.0,720,4711.05014
1850.0,1087,4728.358042
980.0,472,4735.775355
1880.0,920,4750.794084
1180.0,818,4762.472675
1180.0,889,4776.726097
1280.0,1579,4800.359038
1880.0,1406,4821.190762
2200.0,1522,4843.026765
2080.0,1319,4869.257244
1180.0,993,4883.148357
1630.0,788,4896.304437
930.0,513,4904.176528
2100.0,808,4915.827644
1180.0,789,4927.434776
2900.0,1494,4950.178372
1950.0,1011,4965.631871
2050.0,1769,4992.162287
1180.0,995,5006.405597
1800.0,1081,5023.441665
1900.0,1259,5041.6169
1580.0,836,5053.919577
1850.0,987,5067.704696
880.0,510,5074.937874
1480.0,1076,5091.671023
2050.0,3208,5140.455746
1180.0,835,5153.573374
980.0,898,5166.724659
930.0,720,5177.532706
2050.0,1191,5194.357976
780.0,466,5201.168466
1900.0,1011,5217.328758
980.0,473,5223.611608
680.0,546,5231.54973
1700.0,1694,5265.523534
2350.0,1094,5280.105086
1850.0,955,5293.844186
2600.0,1134,5309.479725
1950.0,909,5322.866311
1280.0,749,5334.002942
1080.0,643,5343.014
2350.0,1166,5361.109808
1750.0,1072,5378.179977
1680.0,913,5391.815795
1080.0,776,5403.649328
1280.0,993,5419.099859
1900.0,1040,5433.123896
1610.0,1216,5453.404771
1680.0,781,5463.77258
1850.0,780,5474.706379
980.0,509,5481.951553
2100.0,1167,5500.756093
1660.0,954,5514.559493
1080.0,694,5526.0743
1180.0,840,5538.978603
1580.0,1004,5554.518239
1680.0,883,5567.678765
1280.0,962,5580.789002
2100.0,863,5594.197231
2000.0,853,5606.31319
1560.0,1185,5624.131465
2500.0,839,5636.70409
2000.0,940,5650.715165
1800.0,1000,5672.426752
1180.0,547,5680.52187
1080.0,607,5689.513865
1280.0,999,5704.683942
630.0,611,5713.651073
1800.0,974,5727.670758
1530.0,1120,5745.387213
2150.0,1613,5770.721064
1500.0,756,5781.26564
980.0,620,5789.706392
1830.0,1028,5804.81495
1280.0,1292,5824.101043
1900.0,881,5836.95834
1590.0,1022,5852.965351
1030.0,482,5859.280117
780.0,389,5863.570264
980.0,522,5870.047809
1180.0,696,5879.661843
1680.0,854,5892.141721
1580.0,711,5902.699599
780.0,693,5911.837848
2180.0,949,5926.633954
1560.0,1023,5941.142342
2900.0,1546,5962.474604
1280.0,522,5970.302667
1760.0,1315,5991.1264
2500.0,1103,6007.5267
680.0,463,6014.224102
1530.0,1469,6035.171592
980.0,514,6042.458934
2150.0,1146,6059.829147
1540.0,2260,6100.792601
1680.0,1636,6125.905193
1180.0,966,6140.828923
980.0,746,6151.551167
1700.0,1094,6166.877278
1280.0,973,6182.234841
