#{"t_start": 1707695519.5553684, "env_id": "ALE/Breakout-v5"}
r,l,t
49.0,1259,27.77907
25.0,1065,44.288507
17.0,754,54.210207
11.0,519,61.249311
37.0,1052,75.909819
42.0,1162,92.857476
60.0,1267,113.257362
29.0,1004,129.605101
36.0,1096,147.796281
49.0,1458,170.83656
20.0,585,179.939706
41.0,1161,198.544803
36.0,862,211.029176
37.0,949,225.702616
48.0,1195,243.73875
57.0,1243,264.996966
61.0,1135,281.1025
24.0,784,291.667707
23.0,756,302.436169
40.0,1116,319.917423
40.0,1052,334.833789
50.0,1151,352.65162
31.0,986,367.896953
38.0,1031,383.510727
33.0,1050,399.442626
26.0,823,412.041598
31.0,1057,433.588435
28.0,943,446.050566
45.0,1200,463.923091
55.0,1297,483.418152
29.0,953,498.978364
47.0,1239,517.347048
25.0,862,529.973596
35.0,959,545.931096
45.0,1101,562.816212
49.0,1352,584.189541
25.0,874,597.380769
39.0,921,612.108021
55.0,1192,630.480806
19.0,842,644.267967
26.0,757,656.258786
23.0,910,670.840116
58.0,1240,690.877826
26.0,899,705.334279
40.0,1168,723.634089
16.0,658,733.425527
42.0,1143,752.108996
23.0,809,764.840528
41.0,1075,781.557119
55.0,1207,800.342676
51.0,1366,822.261213
22.0,847,835.90714
20.0,601,850.024545
34.0,990,864.106657
42.0,1056,880.069386
34.0,898,894.503913
21.0,854,906.814456
22.0,705,918.507447
15.0,770,929.985558
41.0,1063,944.755589
21.0,644,954.002681
18.0,728,964.968798
17.0,765,976.151437
19.0,878,988.610889
57.0,1177,1006.210463
25.0,802,1017.711509
32.0,865,1030.850045
17.0,754,1043.190573
38.0,1037,1059.588776
31.0,942,1073.83059
35.0,1179,1092.798797
53.0,1189,1110.51765
20.0,762,1122.552104
28.0,838,1136.050223
52.0,1150,1154.682723
27.0,946,1169.154981
30.0,896,1183.433692
57.0,1322,1204.482819
41.0,1061,1220.26876
36.0,1066,1236.510995
32.0,1026,1251.592949
21.0,811,1272.319264
15.0,678,1283.264518
29.0,984,1299.258048
22.0,854,1312.941362
31.0,1075,1328.478605
11.0,518,1335.419903
43.0,1185,1352.478705
24.0,922,1366.80749
32.0,935,1381.53563
54.0,1431,1404.880338
44.0,1222,1424.501338
36.0,1165,1442.639169
65.0,1365,1464.998454
41.0,1117,1481.80508
26.0,976,1495.180409
40.0,1090,1510.738241
21.0,872,1521.847819
31.0,923,1535.567357
30.0,951,1549.109578
37.0,1137,1565.621371
28.0,929,1577.860829
16.0,745,1587.813912
23.0,765,1597.85678
37.0,1027,1614.571935
42.0,1059,1630.996949
15.0,693,1641.033387
51.0,1149,1659.322169
18.0,655,1669.19424
57.0,1364,1696.777124
26.0,944,1712.791137
39.0,1225,1732.731363
38.0,1100,1749.22954
44.0,1249,1769.972956
34.0,1030,1787.638639
26.0,705,1798.789137
43.0,1233,1817.991821
45.0,1159,1835.325847
35.0,965,1850.555002
50.0,1336,1869.764746
9.0,478,1876.313317
65.0,1287,1897.258008
26.0,747,1909.650425
32.0,949,1922.1793
43.0,1169,1940.915065
27.0,798,1953.599123
66.0,1477,1974.472773
36.0,947,1988.42293
27.0,900,2001.979284
13.0,621,2011.449382
12.0,568,2020.342077
31.0,1107,2039.019623
67.0,1331,2061.294259
22.0,947,2076.574122
40.0,1018,2092.962334
