#{"t_start": 1707597674.163935, "env_id": "ALE/Centipede-v5"}
r,l,t
1826.0,685,17.184212
4538.0,916,31.284752
1895.0,811,43.305764
2632.0,719,53.445307
1448.0,631,63.239407
1098.0,516,71.08482
1791.0,1135,90.149833
1694.0,955,104.424964
3436.0,711,115.959028
4205.0,870,128.752432
4825.0,756,140.84446
3760.0,926,154.799406
4541.0,903,167.927991
3613.0,841,181.801743
1368.0,595,191.290949
1943.0,623,200.897347
2466.0,691,210.58367
1649.0,514,218.086386
3552.0,972,233.595138
2247.0,553,242.089554
3035.0,721,253.812571
468.0,725,265.441885
1975.0,625,274.627992
998.0,702,286.292989
3211.0,608,295.193462
4252.0,610,303.937944
1116.0,475,311.52565
753.0,602,321.024075
2865.0,594,330.418423
3130.0,610,339.828506
2404.0,634,349.992244
1703.0,710,362.101232
1110.0,636,372.196657
3559.0,652,382.654995
1117.0,495,390.674299
4019.0,925,403.904622
2038.0,630,414.861194
1010.0,762,432.196684
2862.0,809,444.443495
1237.0,692,456.2818
3391.0,1008,472.079616
2096.0,807,484.784877
2023.0,870,497.6812
1615.0,742,508.820385
1799.0,391,515.13027
2086.0,616,524.128719
8659.0,1445,547.768748
3427.0,1091,565.355759
6836.0,1395,585.933
2291.0,647,595.85753
2913.0,707,607.005891
5965.0,1213,627.353961
467.0,480,635.57814
1500.0,667,645.746919
1513.0,493,653.763695
2532.0,635,663.418056
3749.0,980,679.44502
1102.0,543,688.510933
5236.0,1024,705.442151
5313.0,887,718.697228
3337.0,748,731.507962
1926.0,636,740.266258
2901.0,1021,754.961598
976.0,498,762.683611
5038.0,1191,781.372017
1258.0,502,789.162487
3342.0,575,798.259129
1517.0,504,806.382805
2000.0,499,814.394184
3176.0,833,827.421137
2615.0,928,842.572272
857.0,525,856.301921
3072.0,1087,873.343168
3585.0,924,887.356169
1952.0,986,901.700468
4742.0,1086,919.180946
1363.0,497,925.019691
4514.0,1115,942.23948
2077.0,971,956.054933
1090.0,792,969.432476
6255.0,1511,992.913788
3861.0,1140,1010.751925
2753.0,900,1024.447395
5786.0,1133,1042.953893
1195.0,658,1051.765262
1690.0,718,1062.495576
1642.0,915,1076.434223
2805.0,595,1086.007425
3485.0,912,1100.180804
4331.0,657,1110.000917
2854.0,783,1122.187388
3637.0,852,1136.010434
4118.0,834,1147.762063
1793.0,580,1156.837125
1511.0,474,1164.008072
4470.0,1088,1181.850322
1185.0,586,1190.888074
6085.0,2039,1223.807297
4284.0,1234,1243.377239
8086.0,1034,1263.938191
1244.0,644,1272.98428
3756.0,540,1281.838045
1325.0,498,1289.673855
3724.0,834,1302.468693
1408.0,765,1314.428807
5546.0,830,1328.891682
3845.0,833,1342.179513
2393.0,643,1351.681776
2290.0,673,1361.491261
4627.0,1341,1382.603616
2749.0,768,1395.414445
2753.0,1033,1411.038371
2215.0,760,1422.651695
2323.0,717,1433.62488
1701.0,576,1442.779979
2635.0,618,1452.901394
3792.0,882,1466.29237
4004.0,1079,1483.62685
3241.0,558,1492.509365
1940.0,713,1504.348965
2395.0,575,1513.193091
2598.0,955,1527.29167
5165.0,949,1543.035333
2922.0,957,1559.129614
2117.0,803,1571.082876
2071.0,587,1580.238928
5273.0,1146,1600.212146
4399.0,914,1613.85165
3092.0,632,1624.127764
4445.0,813,1637.886807
2282.0,783,1649.906101
3563.0,919,1664.686703
1897.0,707,1674.549016
1498.0,705,1692.047262
3083.0,786,1704.007207
3315.0,969,1718.943005
3349.0,1250,1737.908075
3801.0,795,1751.262996
1500.0,620,1761.270716
1526.0,591,1770.819349
4010.0,769,1781.992821
1714.0,813,1795.798612
4588.0,1137,1813.698506
2837.0,862,1826.909419
3678.0,884,1841.929754
3217.0,639,1851.473036
1881.0,887,1866.117415
5739.0,1016,1881.316972
1995.0,893,1893.912688
2326.0,797,1906.063114
3133.0,670,1916.097574
1474.0,639,1925.844414
2199.0,680,1936.534883
12007.0,1973,1968.599946
4358.0,904,1982.378563
3257.0,912,1997.624294
1920.0,583,2006.768147
3580.0,925,2019.869445
6699.0,1046,2036.967741
5638.0,1369,2058.498649
2799.0,964,2073.346388
4922.0,1019,2089.64745
1225.0,595,2098.486768
7797.0,1940,2132.87968
2889.0,876,2147.062453
8176.0,1486,2170.712393
1311.0,470,2178.02275
4465.0,680,2188.210406
2695.0,480,2194.866903
1339.0,551,2203.229508
1651.0,617,2213.297211
2401.0,835,2225.048303
2679.0,1200,2243.927422
3236.0,702,2253.694143
5051.0,1044,2270.383589
2048.0,865,2284.08791
4143.0,1049,2300.994566
7612.0,972,2315.148428
1275.0,524,2322.126792
