#{"t_start": 1707597676.315176, "env_id": "ALE/MsPacman-v5"}
r,l,t
350.0,495,14.735033
280.0,425,22.156028
320.0,489,29.906356
260.0,437,37.229145
350.0,523,46.30379
970.0,763,57.839814
310.0,511,65.984862
360.0,435,73.050885
520.0,581,82.608243
440.0,561,90.993341
950.0,839,104.419173
320.0,511,112.787542
460.0,535,120.960946
330.0,529,129.359657
390.0,461,136.904599
320.0,471,143.762562
530.0,633,153.914778
470.0,771,166.168329
450.0,485,173.63236
180.0,525,181.568224
280.0,475,188.983304
1140.0,735,199.436166
800.0,689,210.489309
440.0,649,219.75308
960.0,777,230.563708
940.0,719,241.926706
890.0,961,257.116685
1190.0,767,268.927528
380.0,519,277.015659
590.0,551,285.103688
1180.0,925,300.615618
580.0,693,311.754311
760.0,641,322.233571
280.0,395,328.205358
750.0,987,344.325072
350.0,423,351.055478
1270.0,877,364.726588
790.0,825,377.000687
410.0,515,384.314286
490.0,519,392.916319
460.0,659,402.988037
760.0,701,419.032259
240.0,415,426.017017
240.0,491,434.245188
350.0,585,443.052262
320.0,461,450.6887
560.0,589,460.185258
330.0,495,467.874537
320.0,583,477.192461
770.0,729,488.968271
480.0,521,497.143422
670.0,703,507.115843
700.0,727,518.3333
670.0,649,528.745607
800.0,889,540.811858
360.0,885,554.842528
980.0,633,564.573234
1170.0,785,578.522038
730.0,579,587.804065
760.0,711,598.478073
530.0,647,608.126218
280.0,509,616.573915
500.0,691,627.09239
690.0,661,637.644999
1130.0,781,649.674386
1260.0,639,659.910197
430.0,617,669.635195
890.0,657,679.906064
500.0,503,688.144161
450.0,449,695.527467
300.0,419,701.665475
260.0,441,708.630944
770.0,889,723.417256
900.0,937,739.06591
580.0,651,748.602587
610.0,613,758.621553
670.0,637,768.6819
1310.0,713,780.458445
870.0,657,791.287009
480.0,757,802.910281
1280.0,901,817.726312
570.0,679,833.533842
670.0,735,846.423626
210.0,445,852.786209
370.0,483,860.598614
780.0,643,872.047456
2190.0,841,885.552787
1590.0,861,898.765596
580.0,607,908.435069
740.0,489,916.853408
630.0,601,926.144529
590.0,583,934.671225
620.0,627,944.24928
770.0,749,957.302246
1440.0,887,971.823113
480.0,543,980.06285
780.0,609,990.913862
830.0,689,1002.043517
350.0,471,1009.696287
710.0,599,1019.614601
620.0,547,1028.816344
350.0,511,1036.685214
650.0,547,1044.367529
990.0,789,1056.996592
930.0,641,1068.079893
610.0,749,1079.29729
790.0,669,1089.727392
550.0,749,1102.525665
1120.0,819,1115.843533
1330.0,601,1125.226619
1450.0,705,1137.978999
1620.0,1045,1154.771326
1490.0,1001,1170.227367
1450.0,943,1183.990622
750.0,661,1195.401147
1070.0,767,1207.117339
440.0,575,1215.509891
2640.0,1173,1233.227283
750.0,637,1244.042708
960.0,739,1261.003002
1290.0,671,1271.068755
750.0,689,1282.246799
1180.0,745,1294.223975
770.0,617,1304.493568
1070.0,777,1317.856383
810.0,505,1325.91703
690.0,629,1335.465257
880.0,711,1345.490267
1030.0,745,1357.560205
430.0,499,1364.574577
1010.0,885,1379.053307
400.0,445,1385.856955
420.0,613,1395.492805
550.0,563,1404.669037
350.0,449,1412.095142
670.0,473,1419.995138
910.0,739,1431.734859
670.0,587,1440.993864
460.0,483,1448.674977
720.0,567,1457.714705
900.0,805,1471.471962
710.0,471,1479.156874
680.0,645,1488.827027
610.0,617,1498.047107
770.0,643,1508.030787
790.0,783,1519.714647
720.0,591,1528.016249
910.0,789,1540.360293
1370.0,827,1554.169985
1220.0,797,1568.012543
500.0,569,1576.997092
1480.0,567,1585.412382
520.0,527,1593.971766
1310.0,751,1605.973835
640.0,571,1614.074066
530.0,627,1624.234619
440.0,495,1632.374604
970.0,675,1642.237352
500.0,497,1650.049132
740.0,633,1661.706052
550.0,449,1671.180802
570.0,711,1682.46101
980.0,595,1691.940053
800.0,679,1702.957269
870.0,659,1713.660769
410.0,425,1720.814485
450.0,551,1728.811498
580.0,443,1735.469233
890.0,665,1745.536592
1410.0,1305,1767.814806
540.0,595,1777.415476
1320.0,805,1790.539252
860.0,669,1802.227249
1010.0,955,1818.368855
230.0,469,1825.749914
910.0,635,1837.167555
660.0,703,1848.561816
790.0,657,1859.336937
730.0,557,1867.89937
730.0,507,1875.895532
910.0,715,1887.193995
390.0,401,1893.137833
1380.0,635,1903.443962
600.0,561,1913.525699
480.0,507,1920.231647
920.0,583,1930.242868
820.0,653,1940.523
810.0,759,1951.857107
1340.0,981,1966.694594
680.0,561,1974.68263
1270.0,799,1987.291469
430.0,447,1994.19611
640.0,561,2002.165566
720.0,637,2011.78421
990.0,933,2026.211938
750.0,649,2036.519564
760.0,739,2048.023545
1100.0,575,2057.137986
1240.0,799,2070.957498
760.0,565,2084.670521
830.0,719,2096.162261
1030.0,665,2108.051543
1440.0,751,2120.00768
1230.0,703,2130.548352
710.0,623,2140.196705
750.0,569,2150.838468
1350.0,725,2161.565762
1230.0,675,2172.478731
620.0,527,2180.697659
830.0,555,2190.029265
950.0,665,2201.237731
420.0,429,2208.438073
850.0,881,2223.96328
490.0,551,2233.407348
430.0,459,2241.272025
610.0,609,2251.436071
2010.0,1043,2268.627764
1020.0,803,2281.844322
400.0,455,2288.228835
1360.0,935,2302.216955
1520.0,769,2314.035268
2150.0,743,2325.702952
1700.0,605,2334.8586
780.0,533,2343.444354
1320.0,695,2354.520329
920.0,633,2366.059477
640.0,563,2375.600402
1010.0,777,2388.124871
690.0,687,2399.337906
610.0,555,2408.816987
420.0,565,2419.100152
730.0,713,2430.013183
1350.0,865,2443.839071
760.0,573,2452.538256
890.0,611,2462.230165
940.0,743,2473.466847
510.0,609,2483.002516
830.0,575,2491.990857
930.0,579,2506.974938
530.0,573,2515.401453
990.0,797,2528.483298
1860.0,1013,2545.992131
500.0,465,2553.886451
740.0,677,2564.908806
1240.0,653,2575.362371
730.0,667,2586.182537
960.0,703,2596.207097
720.0,691,2607.001423
1130.0,673,2618.574413
470.0,399,2623.76651
860.0,669,2634.934711
960.0,773,2645.938068
850.0,699,2655.814564
990.0,721,2668.593343
2090.0,573,2677.999909
620.0,519,2686.135975
810.0,919,2701.891181
700.0,593,2710.357466
700.0,649,2720.880749
650.0,533,2729.232082
910.0,573,2738.134834
500.0,495,2746.275464
1060.0,745,2757.882185
980.0,579,2767.097239
1280.0,913,2782.349312
1020.0,621,2792.518003
1080.0,917,2806.935564
1040.0,661,2817.461632
1040.0,933,2833.568872
790.0,707,2846.525571
1000.0,683,2857.251338
830.0,789,2870.051984
970.0,671,2881.777015
590.0,799,2894.886526
690.0,585,2904.677978
930.0,713,2917.045171
740.0,719,2932.110484
800.0,615,2941.014281
740.0,577,2949.708808
1180.0,805,2963.46641
460.0,557,2972.125521
750.0,587,2981.870624
530.0,507,2990.458932
650.0,485,2998.584696
710.0,603,3008.170799
1040.0,613,3018.437892
1020.0,805,3030.782958
1460.0,687,3043.165547
1020.0,637,3053.330489
700.0,471,3061.140727
920.0,493,3069.537667
650.0,641,3080.073354
550.0,443,3086.658945
740.0,575,3095.349116
580.0,595,3104.321907
790.0,529,3112.955448
760.0,579,3122.480243
910.0,693,3133.033308
1150.0,989,3148.974818
320.0,509,3156.703945
1090.0,849,3170.343705
720.0,559,3179.442008
720.0,509,3187.811581
480.0,693,3199.29336
1080.0,785,3212.704363
970.0,619,3222.906193
870.0,525,3231.117724
1070.0,687,3241.615541
620.0,557,3249.368999
910.0,581,3258.117741
870.0,669,3268.802947
1180.0,1019,3283.574971
1890.0,701,3294.780019
840.0,569,3304.132324
760.0,639,3314.017534
870.0,663,3324.249434
740.0,513,3332.046652
690.0,609,3347.476055
1400.0,851,3361.109084
1110.0,661,3370.515559
460.0,603,3379.44968
730.0,569,3388.742097
390.0,431,3394.17371
480.0,451,3400.858294
500.0,531,3408.898655
670.0,547,3416.938575
1730.0,829,3430.7764
820.0,477,3438.703387
530.0,465,3445.908396
1640.0,1081,3462.947053
950.0,543,3472.124655
960.0,713,3482.725917
1020.0,645,3493.248075
830.0,675,3503.636924
2170.0,785,3517.264842
660.0,481,3524.541881
1530.0,819,3537.111096
790.0,703,3549.752727
990.0,733,3561.486288
980.0,845,3575.471802
1760.0,899,3590.639328
680.0,589,3599.643396
1490.0,879,3612.869599
900.0,731,3624.869195
690.0,559,3633.182575
940.0,721,3644.502214
850.0,669,3655.237716
1240.0,983,3670.333238
870.0,803,3683.636101
1280.0,913,3698.390612
1060.0,615,3708.775444
810.0,645,3719.218698
940.0,543,3727.8447
900.0,629,3737.869741
630.0,581,3746.643121
1050.0,663,3764.109343
1030.0,701,3775.480067
740.0,667,3785.576238
910.0,675,3795.94229
480.0,443,3802.463472
630.0,573,3811.767034
980.0,591,3821.354327
420.0,433,3828.75742
660.0,545,3837.536006
840.0,523,3845.971769
1050.0,1079,3863.934371
400.0,389,3870.911515
760.0,665,3881.694177
640.0,555,3890.635003
1040.0,801,3903.253631
1230.0,967,3918.823621
750.0,543,3927.363772
860.0,579,3935.92436
1140.0,687,3947.132944
1200.0,925,3963.176646
1400.0,1013,3979.776023
850.0,581,3988.616039
1510.0,849,4001.390319
770.0,559,4010.126467
1250.0,845,4023.079098
950.0,497,4031.072186
750.0,523,4038.60586
1210.0,675,4048.528381
960.0,847,4062.492327
550.0,733,4073.862759
680.0,551,4082.600377
1690.0,893,4097.804066
660.0,587,4107.160831
1050.0,805,4119.787417
780.0,553,4129.699293
1180.0,743,4141.281635
1140.0,575,4150.337135
780.0,703,4161.030021
660.0,653,4172.128189
1630.0,727,4187.351066
680.0,525,4195.764198
770.0,609,4204.812002
820.0,743,4215.884792
1470.0,861,4230.234719
1070.0,1071,4247.462897
1210.0,975,4263.715033
800.0,633,4274.09406
1470.0,1119,4291.845384
1130.0,959,4308.055203
720.0,661,4318.460105
1090.0,595,4327.99466
800.0,695,4340.090972
440.0,421,4346.463782
1110.0,787,4358.435566
1660.0,943,4374.625769
850.0,535,4383.350082
500.0,477,4391.404936
1280.0,931,4406.364871
1070.0,861,4419.793807
920.0,853,4432.843622
870.0,649,4442.675375
1270.0,949,4457.79334
700.0,553,4466.331574
1030.0,587,4476.215854
540.0,479,4483.345588
1120.0,941,4498.644127
610.0,499,4507.137452
1110.0,557,4516.293449
710.0,627,4525.811562
1680.0,1053,4541.744903
590.0,541,4549.693088
530.0,415,4556.566939
980.0,737,4568.75286
750.0,569,4578.349623
1860.0,873,4597.98058
710.0,605,4606.649837
1580.0,955,4621.538768
1350.0,957,4637.138936
1120.0,663,4647.92652
930.0,823,4660.708549
1090.0,759,4673.462298
1550.0,835,4686.692555
720.0,617,4697.653481
810.0,773,4709.27238
1940.0,641,4718.701623
1380.0,1025,4734.914563
750.0,595,4743.409916
800.0,729,4754.857084
750.0,681,4765.365201
1470.0,743,4777.614245
900.0,661,4789.415011
1060.0,699,4800.697309
1220.0,615,4810.667779
640.0,495,4818.862765
1280.0,961,4834.213861
800.0,657,4844.153941
880.0,717,4855.370417
1090.0,589,4865.306789
830.0,749,4877.276343
720.0,667,4887.619335
1260.0,943,4903.578975
770.0,545,4911.82848
820.0,653,4922.236674
1510.0,823,4935.417765
820.0,523,4944.135191
750.0,577,4953.879217
930.0,639,4964.577966
910.0,693,4975.601528
950.0,563,4985.497787
1230.0,905,4999.84161
1210.0,939,5019.189163
710.0,595,5028.8573
1050.0,657,5039.484648
1140.0,743,5052.438918
820.0,583,5062.104243
910.0,815,5074.461162
870.0,633,5084.475389
1310.0,809,5097.004409
1140.0,985,5113.000594
1480.0,871,5127.120901
1700.0,719,5137.813796
1030.0,739,5150.474828
1000.0,625,5160.572997
1050.0,667,5170.672082
610.0,545,5180.046156
900.0,673,5191.352907
810.0,519,5199.796199
830.0,811,5212.471398
660.0,525,5220.47945
1490.0,1051,5237.26233
1610.0,707,5247.834859
1230.0,833,5261.188851
2360.0,1171,5280.94167
1620.0,1159,5299.946793
1390.0,895,5314.452753
1080.0,675,5325.280427
820.0,825,5338.182928
590.0,557,5346.397445
850.0,757,5358.239692
1650.0,937,5373.538365
760.0,725,5385.186954
1420.0,993,5401.956859
1740.0,1081,5418.618228
830.0,725,5436.468654
1100.0,853,5448.479978
1220.0,677,5458.026316
540.0,491,5465.660007
1440.0,1003,5481.276751
690.0,613,5490.591544
1020.0,785,5504.15927
1380.0,613,5513.484722
920.0,679,5524.219053
1780.0,973,5541.024085
670.0,677,5552.004328
1000.0,727,5564.550303
920.0,759,5575.601985
550.0,605,5584.959534
800.0,615,5595.785788
1530.0,799,5608.089558
720.0,639,5618.310874
430.0,721,5631.09085
730.0,593,5640.274291
970.0,885,5653.3185
970.0,941,5669.593446
1300.0,901,5684.698762
1100.0,779,5696.012228
1020.0,1043,5712.69602
770.0,677,5724.170928
850.0,627,5733.721496
1280.0,1035,5750.31361
1090.0,873,5765.163135
1030.0,847,5778.77516
770.0,605,5788.380855
730.0,603,5798.328734
840.0,647,5808.898526
630.0,501,5815.830256
870.0,713,5827.105346
1100.0,793,5839.173923
630.0,433,5851.340045
1380.0,1011,5867.025846
790.0,703,5877.410505
750.0,693,5888.459841
960.0,781,5899.169299
980.0,755,5910.673559
1320.0,601,5920.278297
1310.0,731,5930.921291
980.0,611,5940.608768
850.0,657,5952.20486
1150.0,783,5964.490317
1360.0,879,5979.416972
1330.0,625,5989.607008
980.0,583,5998.949914
700.0,583,6008.218737
360.0,441,6015.316444
1450.0,863,6029.94819
1170.0,739,6041.486886
1390.0,785,6053.792053
1120.0,907,6068.496556
800.0,679,6078.888406
520.0,443,6086.164281
1080.0,777,6099.525218
960.0,573,6107.944776
1090.0,797,6119.647178
1040.0,701,6131.785748
1040.0,645,6141.731207
910.0,597,6151.425768
650.0,551,6160.065551
770.0,755,6171.863048
980.0,761,6184.47154
1000.0,731,6196.093882
1490.0,837,6209.584134
1140.0,769,6220.861586
460.0,379,6226.997335
1350.0,733,6237.838732
760.0,521,6246.328384
1300.0,1023,6268.255189
1140.0,809,6281.644312
730.0,521,6289.16295
1490.0,769,6301.821438
1170.0,709,6313.353805
1150.0,799,6324.543075
310.0,365,6330.207165
1210.0,825,6343.772384
520.0,461,6351.486204
1300.0,799,6364.959135
1540.0,1099,6383.587943
970.0,893,6398.796492
1100.0,753,6410.487148
790.0,535,6419.06045
1440.0,631,6429.307645
1320.0,961,6445.895122
800.0,593,6455.37727
1270.0,845,6469.860772
760.0,769,6482.184583
560.0,493,6490.322065
980.0,809,6504.21989
770.0,595,6513.679081
1430.0,759,6525.42815
1180.0,911,6540.378714
690.0,513,6548.011764
910.0,809,6561.920249
1100.0,665,6572.634496
930.0,761,6584.760729
830.0,597,6593.822584
700.0,469,6600.762938
1580.0,957,6616.672719
880.0,935,6632.115243
810.0,721,6643.009532
1240.0,785,6656.081091
1020.0,793,6667.496546
1290.0,897,6686.742374
1200.0,935,6701.753836
1330.0,873,6715.537327
1110.0,829,6730.0846
950.0,709,6741.674976
1100.0,887,6756.910591
1380.0,853,6771.878016
670.0,543,6780.712098
1170.0,809,6792.650786
500.0,417,6799.547789
1600.0,1313,6820.505662
1410.0,701,6832.140354
780.0,713,6842.657715
1490.0,897,6857.598247
1520.0,863,6871.587943
1210.0,995,6886.418628
1040.0,835,6899.698396
1100.0,765,6911.868684
1180.0,805,6924.669801
1190.0,823,6938.197761
1390.0,801,6950.662968
990.0,721,6960.758682
1520.0,925,6976.512897
1040.0,745,6988.443002
1150.0,839,7001.802743
1050.0,751,7013.451042
1740.0,949,7029.059525
850.0,741,7041.478888
1020.0,653,7051.556374
1670.0,797,7064.052198
1620.0,791,7076.636971
1520.0,911,7091.314234
1560.0,683,7107.576185
1190.0,779,7119.634867
1180.0,753,7131.937441
1050.0,831,7143.829065
1220.0,787,7156.915143
1130.0,983,7172.411164
1040.0,775,7183.410106
1180.0,787,7195.698129
1010.0,737,7206.898534
1330.0,1043,7223.600019
1510.0,819,7237.710405
1930.0,1021,7254.944411
870.0,743,7266.467742
2340.0,653,7276.224283
1570.0,915,7291.680044
1150.0,793,7304.669526
680.0,583,7313.890278
1060.0,797,7326.255876
1090.0,769,7339.817604
1460.0,1005,7356.135983
2530.0,733,7367.608121
1640.0,857,7381.969555
1910.0,983,7396.999059
1140.0,831,7410.957832
1190.0,827,7424.215933
1220.0,809,7436.705012
990.0,711,7446.790473
1330.0,939,7462.057459
1140.0,775,7474.883425
1110.0,703,7485.740841
1310.0,855,7500.313182
1180.0,815,7512.146841
2790.0,905,7533.32283
1680.0,1329,7553.793431
1410.0,777,7566.071213
1070.0,723,7577.430748
1440.0,841,7591.489196
900.0,779,7603.588593
1020.0,595,7613.649976
990.0,681,7623.922094
1650.0,1049,7640.486321
1150.0,849,7653.387594
1210.0,817,7667.10555
1860.0,953,7682.332498
1150.0,699,7692.647232
1180.0,777,7704.471709
1230.0,793,7716.250009
1150.0,883,7730.871848
1460.0,889,7744.41832
1810.0,901,7759.182452
1450.0,787,7771.958194
1450.0,937,7785.610934
1060.0,925,7800.105691
1340.0,1091,7815.716263
1190.0,729,7827.593622
1030.0,771,7840.083182
1330.0,859,7854.987513
1040.0,665,7865.7807
1620.0,925,7879.417883
1480.0,833,7892.183708
1990.0,1251,7913.403008
1080.0,777,7925.8856
850.0,673,7943.753433
1270.0,797,7956.939256
2290.0,1145,7975.429135
1460.0,1095,7992.88832
890.0,725,8004.008459
1670.0,1025,8019.307214
1620.0,941,8032.741278
650.0,497,8040.709429
