#{"t_start": 1707597675.4768217, "env_id": "ALE/Pong-v5"}
r,l,t
-20.0,964,23.45084
-20.0,903,37.26312
-21.0,905,50.81027
-21.0,963,66.08291
-21.0,783,76.772144
-21.0,782,89.215654
-21.0,852,101.886813
-20.0,871,115.395339
-21.0,764,127.011438
-21.0,943,140.475658
-21.0,1067,157.041914
-21.0,860,170.30076
-21.0,870,184.983176
-20.0,901,197.833237
-21.0,924,213.266482
-21.0,942,228.847234
-21.0,811,241.300332
-21.0,843,255.337209
-21.0,852,269.503083
-20.0,980,284.899205
-20.0,992,300.019276
-20.0,1089,316.717869
-21.0,885,330.038085
-21.0,764,341.722301
-21.0,944,357.531523
-20.0,981,373.736876
-20.0,976,389.660688
-21.0,913,404.598452
-20.0,966,428.108416
-21.0,884,440.047768
-21.0,824,452.407678
-21.0,845,465.186583
-21.0,946,477.47438
-21.0,1061,492.820274
-21.0,824,506.553944
-21.0,826,519.067697
-19.0,982,534.290337
-21.0,1024,550.669619
-19.0,1077,568.382718
-21.0,1037,583.226727
-19.0,1337,604.839216
-21.0,1146,623.151889
-21.0,886,635.641285
-21.0,1096,653.743839
-21.0,1066,671.060185
-19.0,1119,689.140194
-20.0,1101,705.976273
-21.0,902,720.676847
-20.0,1045,735.513863
-21.0,1093,752.816924
-21.0,914,767.978867
-21.0,945,783.397661
-21.0,883,795.696188
-21.0,1039,818.876929
-21.0,945,834.065643
-21.0,884,849.340592
-21.0,972,865.071513
-20.0,1248,885.099646
-20.0,1041,901.230327
-20.0,1203,920.292202
-21.0,884,935.15164
-21.0,946,949.736343
-21.0,887,963.164651
-21.0,824,975.542971
-21.0,1009,991.7972
-21.0,1066,1008.319512
-21.0,1115,1025.100809
-20.0,979,1041.368771
-21.0,1373,1063.222077
-21.0,1092,1080.59308
-20.0,1162,1099.872602
-20.0,1287,1119.775007
-20.0,1122,1137.827651
-21.0,1189,1156.069788
-21.0,826,1168.766006
-21.0,1068,1184.222152
-21.0,1068,1203.473217
-20.0,1509,1236.9181
-21.0,1187,1255.823631
-21.0,1398,1275.268448
-18.0,1634,1303.538267
-21.0,1497,1326.455253
-19.0,1560,1348.818401
-19.0,1990,1382.432072
-21.0,1495,1404.430419
-19.0,1928,1435.164746
-19.0,1801,1463.248704
-20.0,1672,1488.747713
-20.0,1858,1516.838321
-19.0,2318,1554.300854
-21.0,2179,1585.991829
-21.0,1800,1614.739964
-20.0,1796,1660.795696
-20.0,1937,1692.480543
-21.0,1923,1722.933666
-21.0,1982,1755.472278
-18.0,2050,1787.132282
-17.0,2390,1822.895049
-21.0,2347,1859.09848
-20.0,2157,1892.800891
-21.0,1983,1921.598363
-20.0,2620,1961.366148
-19.0,2286,1997.56962
-21.0,2772,2057.696764
-21.0,2285,2094.392333
-21.0,2233,2128.024417
-18.0,2945,2173.102087
-19.0,2535,2212.528796
-21.0,2222,2248.00498
-19.0,3080,2294.645444
-21.0,2408,2331.2724
-19.0,3258,2382.174509
-21.0,2831,2426.89267
-21.0,2656,2487.219645
-20.0,2996,2535.081746
-15.0,2851,2578.509123
-19.0,2421,2615.637517
-20.0,2378,2654.392643
-19.0,3018,2703.545372
-18.0,3240,2754.691284
-17.0,3347,2806.606393
-17.0,2728,2849.780426
-21.0,2530,2910.049371
-20.0,3052,2959.615708
-20.0,2496,2997.018355
-16.0,3799,3059.35916
-20.0,3418,3114.390273
-19.0,2955,3160.047609
-18.0,3754,3219.015427
-19.0,2589,3258.363142
-19.0,2842,3324.970283
-19.0,2963,3369.834149
-21.0,2170,3402.477861
-18.0,3002,3448.753663
-18.0,2820,3492.064351
-21.0,2953,3537.73479
-14.0,4398,3606.428539
-19.0,2364,3643.224652
-21.0,2952,3690.714198
-20.0,2802,3752.886847
-21.0,2246,3787.496896
-17.0,3755,3848.653589
-21.0,2594,3888.595359
-17.0,3232,3939.394241
-18.0,3756,3999.025328
-21.0,2405,4035.348292
-19.0,3604,4092.36183
-21.0,2166,4151.191613
-19.0,2848,4198.061743
-15.0,3579,4255.471542
-19.0,3058,4302.510015
-20.0,3742,4360.304146
-19.0,3288,4410.826847
-17.0,3766,4466.355687
-15.0,4466,4556.656901
-19.0,3434,4610.96724
-18.0,3444,4665.195997
-19.0,3066,4713.845889
-16.0,3493,4766.357672
-21.0,2618,4806.570731
-19.0,3091,4856.05598
-18.0,3111,4906.482842
-18.0,2691,4973.458163
-17.0,3514,5028.67695
-14.0,2746,5072.789935
-19.0,2664,5115.099821
-15.0,3457,5167.944011
-17.0,3250,5218.202369
-20.0,2848,5263.202541
-21.0,2451,5301.744149
-16.0,3609,5357.68365
-15.0,3495,5436.112355
-21.0,2072,5469.255884
-17.0,3298,5519.615501
-16.0,2338,5556.056668
-14.0,3906,5616.37332
-13.0,3722,5673.277188
-18.0,3456,5727.165647
-19.0,3462,5808.605117
-16.0,3783,5869.481061
-17.0,3411,5926.374028
-16.0,3518,5983.10927
-15.0,4251,6046.763729
-15.0,3372,6099.088645
-17.0,3202,6149.674117
-17.0,3482,6228.043892
-17.0,3012,6276.086933
-14.0,3277,6327.762967
-14.0,3717,6386.774972
-10.0,4588,6458.696499
-18.0,2079,6490.828421
-15.0,3506,6545.239695
-12.0,3831,6606.696001
-14.0,3836,6691.262095
-16.0,3173,6741.508795
-15.0,2945,6788.4531
-16.0,3792,6847.882244
-11.0,3567,6902.232649
-11.0,4494,6968.086438
-15.0,4013,7029.133465
-14.0,3267,7104.827174
-16.0,3523,7158.776755
-14.0,3608,7214.169243
-15.0,3393,7267.99318
-8.0,4506,7340.660419
-14.0,3381,7393.855642
-16.0,2967,7437.059157
-19.0,2885,7509.141471
-14.0,3381,7558.918584
-19.0,3456,7613.33017
-13.0,3848,7676.198302
-19.0,2713,7714.52024
-14.0,3626,7768.097919
-10.0,4674,7841.621231
-18.0,3095,7917.32489
-13.0,3119,7968.437138
-9.0,5154,8049.639867
-8.0,4541,8119.285759
-15.0,4280,8182.866991
-12.0,3789,8243.809703
-13.0,3855,8337.64736
-7.0,4973,8416.489197
-10.0,4885,8493.615579
-11.0,4353,8561.037747
-16.0,3718,8619.663639
-16.0,3190,8668.777
-9.0,3796,8762.357216
-17.0,3311,8815.820715
-12.0,2982,8864.307169
-11.0,5448,8947.974712
-12.0,3816,9010.196391
-18.0,3089,9057.368278
-9.0,5013,9131.732405
-16.0,3075,9213.605057
-16.0,2741,9258.339572
-16.0,3443,9311.773809
-10.0,4860,9388.741784
-20.0,2950,9431.329916
-19.0,2935,9474.75638
-13.0,4860,9549.740717
-17.0,2700,9621.801167
-14.0,3502,9677.150292
-14.0,3623,9736.680824
-14.0,3932,9798.264338
-15.0,3040,9846.64761
-16.0,3041,9892.96969
-8.0,4997,9971.444092
-14.0,4542,10077.592258
-10.0,4713,10152.651361
-6.0,5569,10240.665398
-10.0,4891,10315.416942
-16.0,3381,10369.050884
-14.0,3431,10455.268231
-15.0,3400,10507.681833
-13.0,5048,10584.355246
-8.0,4468,10654.36928
-11.0,4184,10722.323449
-5.0,6343,10818.82363
-12.0,4480,10917.565904
-11.0,3810,10975.19502
-14.0,3887,11035.234485
-12.0,5638,11126.301824
-14.0,3026,11172.816641
-8.0,5197,11254.670146
-16.0,2509,11325.845212
-14.0,3736,11383.811351
-14.0,4270,11448.479871
-10.0,4936,11524.339604
-16.0,3616,11579.942658
-13.0,3352,11632.63724
-10.0,4282,11729.158508
-11.0,4388,11797.223967
-3.0,5577,11885.808674
-16.0,3581,11940.405943
-11.0,3796,11999.415859
-12.0,3893,12058.099348
-19.0,2860,12134.782368
-13.0,3618,12190.980247
-15.0,3455,12245.185113
-14.0,3454,12300.309699
-17.0,3167,12349.983912
-10.0,4880,12430.124804
-8.0,3756,12487.692741
-15.0,3944,12578.04632
-13.0,4179,12643.945284
-14.0,3450,12697.892901
-9.0,4933,12774.672362
-4.0,4897,12849.759606
-13.0,4043,12913.490508
-9.0,3956,13007.962568
-11.0,3631,13065.146457
-7.0,4561,13138.360615
-14.0,3305,13189.620024
-7.0,4383,13257.366268
-17.0,4102,13321.629701
-13.0,4118,13417.782498
-16.0,3715,13475.170604
-8.0,5057,13556.918459
-9.0,4088,13619.29661
-9.0,5583,13707.667687
-14.0,4488,13775.956489
-7.0,4646,13884.683748
-15.0,4050,13946.040323
-14.0,3598,14000.81194
-15.0,4260,14070.251071
-11.0,4590,14144.129242
-12.0,5133,14226.706988
-1.0,6649,14363.256569
-16.0,3262,14415.435219
-12.0,4596,14484.637626
-10.0,4250,14549.882144
-12.0,4431,14614.91712
-10.0,4926,14728.223404
-6.0,4453,14799.968499
8.0,4810,14873.741502
-7.0,5736,14961.449536
-13.0,4198,15027.671729
5.0,5436,15149.148634
-10.0,5014,15226.213657
-12.0,3981,15289.104044
-9.0,4191,15358.231433
-8.0,4738,15434.444597
-12.0,5589,15553.128351
-5.0,5411,15634.588694
-11.0,3583,15690.981161
-8.0,4570,15767.051018
-11.0,3388,15821.185506
-11.0,3707,15879.003319
-9.0,4472,15976.883077
-8.0,5212,16059.512766
-8.0,4166,16127.829324
-8.0,3896,16187.119951
-1.0,6891,16294.640356
-5.0,6492,16425.652738
-12.0,5035,16504.426913
-6.0,5834,16594.88015
-18.0,3250,16649.446304
-14.0,4790,16726.097701
-7.0,3918,16785.543997
-7.0,4213,16888.578393
-6.0,4659,16961.401872
-10.0,4332,17028.405407
-7.0,4084,17094.21234
-2.0,5408,17178.924521
-10.0,3756,17265.491545
-10.0,3341,17319.250274
-9.0,4743,17395.792569
-8.0,4827,17471.042022
-9.0,5522,17556.785356
-9.0,4467,17626.287053
-7.0,5315,17745.392586
-7.0,4657,17813.854113
-13.0,3144,17864.11834
-18.0,3505,17920.360813
-13.0,3865,17982.017104
-13.0,4263,18050.627962
-11.0,3773,18141.218028
-14.0,3717,18198.4848
-1.0,5735,18289.920832
-13.0,3971,18353.44575
-7.0,5099,18432.307158
-6.0,6121,18563.610368
-5.0,5451,18647.604445
2.0,6699,18753.547118
-6.0,4982,18831.753444
-5.0,4949,18908.865731
-9.0,4252,19009.050146
-9.0,5394,19094.743811
-11.0,4184,19162.14143
-3.0,5639,19248.285979
-6.0,4119,19312.441241
-9.0,4474,19414.72035
-2.0,6077,19512.224596
7.0,5773,19602.650918
-6.0,5911,19696.404478
-10.0,4710,19771.557051
-11.0,5084,19883.146972
-9.0,4543,19952.814339
-2.0,5903,20042.427725
-6.0,6185,20144.744859
-1.0,6170,20273.300354
-13.0,3819,20334.589968
-5.0,5747,20423.822412
-14.0,3775,20483.138116
-14.0,3816,20540.662056
3.0,6149,20669.373545
-10.0,5126,20750.249876
-12.0,5358,20835.830976
-5.0,5721,20927.827324
-14.0,3756,20985.93439
-5.0,6268,21122.888479
-10.0,3595,21180.92541
-6.0,6029,21275.163278
-9.0,4281,21344.865012
7.0,5494,21427.297827
-14.0,4471,21535.106527
-9.0,4852,21613.300401
