#{"t_start": 1707597673.694255, "env_id": "ALE/Qbert-v5"}
r,l,t
250.0,394,12.694921
200.0,362,18.892124
100.0,290,22.197264
200.0,421,28.832815
75.0,335,32.756548
25.0,293,37.046274
300.0,343,41.523944
50.0,263,45.285051
250.0,395,50.387447
175.0,361,56.024712
200.0,315,60.997724
325.0,427,66.831258
575.0,421,73.287723
675.0,519,82.872165
350.0,430,90.61063
325.0,379,96.00381
325.0,410,102.33655
550.0,416,109.132518
725.0,478,116.554566
275.0,370,123.275632
250.0,308,128.223136
300.0,382,133.254365
375.0,436,140.542009
275.0,355,146.163056
275.0,342,151.490273
375.0,360,157.613848
475.0,351,163.023556
525.0,362,169.463248
600.0,484,177.822201
200.0,317,182.263276
300.0,315,187.833618
250.0,292,192.071018
300.0,452,199.487999
175.0,326,204.012368
275.0,410,211.778072
250.0,338,217.231492
300.0,339,222.078361
325.0,376,228.963004
200.0,315,233.347351
275.0,356,239.113401
300.0,355,243.469475
450.0,564,253.193499
350.0,432,259.784252
375.0,426,266.010077
650.0,435,273.448906
350.0,350,278.501346
300.0,324,284.333422
375.0,385,290.306907
300.0,312,295.331632
350.0,472,303.63736
300.0,435,309.738069
275.0,416,316.662785
225.0,395,323.098045
275.0,328,327.091373
300.0,376,333.07084
625.0,397,339.036808
250.0,350,344.853567
400.0,430,352.44549
275.0,370,358.209264
275.0,435,365.48489
325.0,388,371.712717
325.0,432,377.840673
450.0,578,387.322134
325.0,428,393.898724
725.0,576,404.143344
350.0,412,411.426007
325.0,375,416.891265
575.0,401,423.069114
375.0,467,430.181061
250.0,313,433.958139
250.0,313,439.582775
675.0,460,446.815037
675.0,392,452.197028
325.0,314,457.565326
450.0,514,466.822262
325.0,415,476.656529
675.0,514,485.212005
575.0,392,491.563182
775.0,795,505.611611
400.0,412,512.657137
950.0,675,523.792148
575.0,362,530.370484
425.0,532,539.702128
350.0,488,548.290867
375.0,406,554.658088
275.0,303,559.997405
400.0,490,568.457271
425.0,456,574.604282
425.0,563,584.448085
400.0,433,591.32632
400.0,405,598.422904
650.0,435,605.088589
325.0,337,610.240801
325.0,334,616.257252
275.0,339,620.426897
350.0,400,627.106605
550.0,323,631.57697
925.0,600,641.7455
325.0,523,649.624248
275.0,310,654.839559
325.0,333,659.889831
300.0,413,667.38438
425.0,435,674.979163
650.0,420,682.673897
300.0,405,688.344335
350.0,469,696.629569
675.0,376,702.975193
675.0,433,710.818558
625.0,437,717.214623
675.0,442,724.967594
650.0,423,731.886721
350.0,389,737.577443
700.0,432,743.932943
675.0,417,751.371112
400.0,396,757.355301
325.0,407,764.097854
375.0,460,771.226834
350.0,409,777.490297
550.0,355,782.565809
475.0,560,791.115603
350.0,392,797.242935
400.0,387,803.445866
350.0,462,810.60403
375.0,447,818.335474
375.0,381,824.550566
650.0,435,829.998103
400.0,423,836.287354
425.0,428,843.363733
350.0,390,849.792532
400.0,425,855.5092
325.0,431,862.113588
600.0,387,868.290389
625.0,447,875.364573
225.0,292,880.061411
425.0,459,886.827492
350.0,448,892.418792
400.0,389,898.595739
700.0,495,905.956558
375.0,403,912.000868
675.0,417,917.12695
650.0,435,923.791298
450.0,580,933.330025
725.0,520,945.88572
450.0,503,953.973287
750.0,502,961.52924
450.0,575,970.030014
475.0,466,976.702029
675.0,463,984.883216
675.0,443,991.782261
900.0,608,1000.379043
675.0,403,1007.199682
725.0,417,1013.218646
350.0,437,1020.799179
700.0,440,1028.211558
650.0,463,1036.299591
375.0,470,1043.341285
775.0,503,1051.82396
425.0,418,1058.819135
325.0,392,1065.407615
750.0,600,1074.958907
525.0,660,1085.462875
725.0,549,1094.870285
650.0,389,1101.567142
700.0,415,1107.732171
375.0,448,1114.777949
475.0,622,1125.405414
700.0,453,1133.352834
675.0,407,1140.404227
450.0,452,1146.951815
775.0,500,1155.283364
350.0,405,1162.028882
700.0,483,1170.269148
700.0,415,1176.132725
700.0,552,1184.767741
700.0,427,1191.911424
725.0,647,1202.579473
450.0,465,1210.159023
425.0,389,1216.327349
725.0,550,1224.360754
750.0,501,1233.051559
750.0,535,1240.665172
750.0,560,1249.069141
525.0,514,1257.464178
750.0,514,1266.440837
700.0,517,1275.661116
750.0,448,1283.572167
775.0,528,1292.797119
725.0,634,1303.465396
525.0,594,1312.63555
775.0,484,1320.006939
525.0,565,1329.379755
750.0,541,1338.821984
775.0,486,1347.469937
875.0,761,1358.958608
775.0,630,1368.254755
800.0,518,1375.689644
700.0,475,1382.561655
400.0,422,1388.713707
750.0,499,1398.955442
775.0,550,1406.958693
750.0,533,1415.450406
750.0,523,1424.087254
725.0,455,1432.028732
800.0,525,1440.67415
775.0,555,1448.916147
475.0,458,1456.003854
800.0,509,1463.493968
725.0,617,1474.987754
750.0,495,1482.224538
800.0,599,1492.369004
725.0,498,1500.222071
775.0,538,1509.285136
750.0,459,1516.709207
775.0,528,1525.464238
775.0,446,1533.268228
750.0,448,1539.624957
775.0,433,1546.746973
775.0,467,1554.2522
775.0,554,1563.920095
775.0,542,1573.288418
425.0,413,1580.763262
775.0,495,1587.781217
775.0,607,1598.829272
425.0,350,1603.97085
725.0,459,1611.944574
775.0,456,1619.506436
800.0,482,1625.754353
800.0,474,1632.83168
300.0,387,1639.066057
800.0,520,1647.364689
725.0,470,1654.558556
800.0,519,1662.371319
800.0,523,1671.786867
800.0,567,1680.982471
800.0,554,1690.425507
800.0,504,1699.008894
750.0,513,1707.162057
800.0,493,1714.408324
800.0,521,1722.716228
775.0,538,1731.190017
775.0,493,1740.069671
775.0,531,1748.559159
300.0,402,1754.28102
525.0,668,1764.562533
775.0,503,1772.196785
775.0,443,1778.556494
800.0,528,1786.355613
775.0,484,1794.834436
775.0,478,1802.775386
775.0,493,1809.278893
525.0,562,1817.259403
525.0,615,1827.495822
775.0,570,1836.775519
800.0,545,1846.178433
800.0,513,1858.40766
800.0,712,1871.60148
775.0,570,1881.026044
800.0,500,1888.420639
800.0,590,1898.77223
750.0,520,1907.61863
800.0,555,1915.724108
775.0,688,1927.602538
750.0,582,1937.513881
425.0,537,1946.08821
800.0,505,1953.901781
775.0,450,1961.25898
800.0,544,1970.772262
775.0,512,1979.221306
775.0,580,1988.605935
800.0,633,1998.084629
800.0,625,2008.496312
800.0,600,2018.511145
775.0,639,2029.466311
775.0,624,2040.399437
4100.0,600,2049.546204
550.0,533,2058.832879
800.0,567,2068.245714
4075.0,710,2079.294843
3950.0,690,2090.17003
775.0,607,2098.809278
800.0,685,2110.086448
3925.0,646,2121.571964
4100.0,653,2131.796635
750.0,532,2140.003226
675.0,404,2144.68609
4150.0,645,2154.871641
775.0,505,2163.469557
4175.0,707,2176.530423
4150.0,777,2189.672316
4175.0,828,2204.182521
800.0,566,2212.723495
450.0,549,2220.810405
550.0,585,2230.471313
4175.0,814,2244.517921
4075.0,688,2255.963216
800.0,499,2263.67356
4050.0,548,2272.212858
775.0,510,2280.411931
4175.0,707,2291.502209
4050.0,568,2299.922634
725.0,453,2310.809239
4050.0,689,2322.971494
4125.0,705,2335.100864
800.0,529,2344.05595
1000.0,613,2352.734999
750.0,425,2358.905887
750.0,524,2367.263583
4175.0,680,2377.348031
775.0,449,2383.687991
4050.0,648,2393.191666
4050.0,592,2402.145441
4150.0,738,2414.905633
775.0,558,2423.654093
4050.0,663,2434.738276
4150.0,610,2445.441733
800.0,548,2454.494075
4100.0,614,2464.553062
800.0,570,2473.708262
800.0,498,2481.754197
4050.0,594,2491.022749
4075.0,688,2502.317414
550.0,735,2515.217928
3825.0,718,2527.650223
3825.0,674,2538.032432
800.0,495,2545.784159
800.0,537,2555.02059
775.0,699,2567.049051
4200.0,688,2577.891375
4150.0,602,2587.955085
4150.0,680,2598.711121
475.0,513,2607.361481
4175.0,669,2618.642426
4075.0,699,2630.409338
800.0,570,2639.528495
500.0,543,2648.476869
4050.0,614,2658.93684
4150.0,650,2669.178018
4175.0,593,2679.055048
3825.0,663,2689.387728
500.0,646,2700.243314
4100.0,704,2711.51272
4150.0,597,2722.91888
4175.0,762,2736.075145
750.0,497,2743.984791
4175.0,658,2754.898685
4200.0,643,2769.658023
4100.0,614,2779.668966
4050.0,687,2791.122145
800.0,555,2800.236141
3950.0,546,2808.964925
4175.0,693,2820.556725
275.0,359,2825.765051
4175.0,610,2834.753772
4100.0,602,2843.457677
4250.0,708,2854.772486
4175.0,601,2864.167766
4175.0,712,2875.984727
4075.0,621,2886.259848
4150.0,673,2897.239091
1400.0,754,2910.515706
550.0,593,2919.377642
775.0,620,2929.533576
4175.0,747,2941.628414
3850.0,828,2955.441675
775.0,551,2964.697753
800.0,630,2975.107332
800.0,625,2984.595551
4075.0,670,2996.113821
800.0,555,3005.610675
4675.0,657,3016.944083
4200.0,702,3029.153139
275.0,375,3036.061984
4200.0,659,3045.910867
450.0,565,3054.489588
3850.0,694,3066.122051
475.0,437,3072.3746
800.0,538,3081.691089
4150.0,670,3093.304671
800.0,495,3101.429959
800.0,508,3109.469326
4100.0,588,3118.821109
4050.0,632,3129.253975
4050.0,588,3138.340744
4050.0,579,3147.866996
575.0,669,3159.235433
4050.0,664,3171.197917
4125.0,670,3182.371345
775.0,485,3190.617346
4075.0,593,3199.720985
4150.0,763,3210.658243
4050.0,620,3223.579526
775.0,530,3231.822807
500.0,845,3247.455736
4050.0,604,3257.953251
4050.0,574,3267.720463
4100.0,567,3277.921766
3825.0,680,3288.037797
4050.0,608,3297.331991
4200.0,655,3307.421153
4050.0,652,3318.622992
800.0,716,3331.049216
4150.0,670,3340.905444
4075.0,718,3352.817659
4200.0,697,3364.514449
4100.0,599,3374.394319
4175.0,697,3386.203941
4150.0,635,3397.113542
775.0,714,3409.152382
4100.0,624,3419.7602
3975.0,788,3433.786937
4800.0,742,3445.528435
4050.0,548,3454.092987
4200.0,689,3464.099677
550.0,613,3473.483773
775.0,529,3482.087459
4200.0,682,3493.425571
4175.0,672,3505.278533
525.0,459,3510.801031
4175.0,702,3522.825664
4200.0,673,3533.917337
1300.0,729,3545.892815
500.0,496,3553.941913
4175.0,602,3564.075049
4075.0,614,3573.830729
4200.0,674,3584.580034
4250.0,763,3598.424555
4100.0,586,3608.237357
4100.0,594,3618.189098
550.0,554,3626.916773
4200.0,677,3638.266524
4200.0,629,3648.690836
4200.0,668,3659.776026
800.0,562,3674.305105
550.0,563,3683.515442
4225.0,637,3694.340638
800.0,529,3701.747847
4175.0,750,3714.960976
4000.0,918,3728.896656
800.0,629,3738.960176
4150.0,688,3751.731843
725.0,482,3757.800653
4200.0,752,3770.68778
4100.0,637,3780.445921
4150.0,678,3790.793828
4225.0,873,3805.213597
750.0,545,3813.859294
775.0,698,3825.76856
4250.0,678,3836.519205
4150.0,745,3848.633795
550.0,702,3859.922154
550.0,763,3872.427649
775.0,530,3881.267435
800.0,665,3892.054254
4100.0,608,3902.507686
4225.0,681,3914.541206
775.0,549,3923.45318
4250.0,660,3934.669188
3875.0,752,3947.148254
800.0,506,3955.75557
4225.0,720,3967.46325
725.0,596,3977.379244
4075.0,765,3991.598568
4750.0,771,4003.921851
4200.0,774,4016.347648
475.0,721,4028.463315
500.0,598,4038.502828
4450.0,675,4049.556244
575.0,567,4058.262953
525.0,718,4070.401235
550.0,723,4082.202966
4225.0,714,4095.050803
4275.0,674,4106.590699
300.0,471,4115.208117
5100.0,913,4137.097602
4300.0,810,4150.779664
4225.0,617,4160.374735
4150.0,591,4168.95384
4100.0,620,4178.104227
4250.0,648,4188.773483
4225.0,647,4200.253278
4250.0,729,4212.476167
525.0,626,4221.930345
3875.0,649,4231.424626
4225.0,692,4242.373851
800.0,503,4250.352484
4150.0,617,4260.352427
475.0,477,4267.484364
4225.0,714,4279.240443
4750.0,865,4294.08273
4750.0,823,4307.09932
4175.0,672,4319.548554
350.0,390,4325.404119
4225.0,674,4336.595572
4200.0,699,4347.596558
4150.0,700,4358.699812
4200.0,658,4370.2633
4200.0,606,4380.18422
4175.0,635,4391.313519
425.0,467,4398.774241
4250.0,814,4411.950374
4250.0,738,4423.939449
4300.0,708,4435.197671
4100.0,588,4444.888856
4150.0,591,4453.412042
575.0,741,4464.69702
4250.0,705,4475.343351
4225.0,733,4487.19731
4275.0,798,4500.377734
550.0,645,4509.373929
4275.0,797,4521.745271
4525.0,810,4535.007557
4250.0,710,4546.808962
4275.0,729,4557.765313
4250.0,725,4571.294527
4200.0,652,4587.450052
4225.0,769,4600.783108
4225.0,774,4612.613414
4150.0,673,4623.535465
4050.0,736,4634.993367
4250.0,721,4646.929871
800.0,540,4656.057192
1000.0,660,4668.16851
4275.0,670,4679.605171
4175.0,620,4690.250321
525.0,575,4699.927692
325.0,388,4706.004562
575.0,645,4716.187773
725.0,401,4721.705955
4250.0,698,4732.766206
300.0,494,4739.004663
4300.0,721,4752.214491
4225.0,698,4762.5957
4300.0,682,4773.510598
550.0,562,4782.008396
4175.0,644,4791.721685
4250.0,753,4804.980522
4000.0,1068,4823.763886
4250.0,788,4835.201432
575.0,660,4844.691215
4200.0,705,4855.746721
4225.0,671,4868.048683
475.0,401,4873.650103
4275.0,723,4887.228141
550.0,680,4897.908408
525.0,598,4906.75675
4200.0,708,4919.359879
4250.0,648,4929.95717
4225.0,673,4941.164825
4250.0,658,4952.949781
575.0,525,4961.106621
4300.0,794,4973.648109
4300.0,843,4986.858049
4225.0,709,4999.365746
4250.0,759,5010.90864
