#{"t_start": 1707597674.7372806, "env_id": "ALE/Seaquest-v5"}
r,l,t
0.0,321,12.229205
40.0,441,20.422265
20.0,405,26.947374
140.0,488,34.331441
280.0,1017,51.011067
160.0,624,60.996527
140.0,520,69.933196
40.0,398,76.974839
100.0,547,85.825229
160.0,544,95.105261
220.0,770,106.957427
120.0,612,115.68611
320.0,1269,139.393916
220.0,788,151.441161
120.0,515,160.006354
300.0,1135,179.651386
240.0,984,196.041507
120.0,597,206.269089
280.0,1073,223.251113
240.0,954,239.052713
280.0,924,252.961426
360.0,1304,276.167707
480.0,1464,301.276563
600.0,1881,332.24485
280.0,953,347.924602
340.0,1129,364.90045
120.0,647,374.976203
260.0,1025,392.467143
420.0,1469,417.863697
500.0,1682,444.306134
480.0,1482,482.445588
320.0,1134,501.306773
380.0,1390,523.60129
460.0,1483,548.859445
220.0,844,562.207728
520.0,1642,590.640823
460.0,1628,617.893816
360.0,1420,640.736586
420.0,1399,664.348634
640.0,1902,694.856882
580.0,1855,726.047744
580.0,1851,758.297565
580.0,1962,791.347665
560.0,1734,822.124581
320.0,1227,843.366374
360.0,1349,864.707328
500.0,1599,891.787205
660.0,2199,939.90218
480.0,1551,965.241402
260.0,1119,983.059225
560.0,1967,1014.457101
600.0,1975,1046.32439
680.0,1968,1079.504996
660.0,1991,1113.656542
460.0,1259,1133.168487
540.0,1567,1159.803122
320.0,1123,1177.994851
540.0,1711,1206.160467
780.0,2063,1240.430121
600.0,1743,1268.12004
400.0,1216,1288.817961
440.0,1447,1312.762951
440.0,1290,1334.80915
640.0,1658,1376.445217
660.0,1657,1402.624674
460.0,1271,1423.769415
540.0,1573,1450.116318
620.0,1522,1472.913136
680.0,1858,1503.881755
840.0,2103,1539.066142
440.0,1349,1561.026336
680.0,1718,1588.705548
460.0,1269,1610.648046
660.0,1646,1638.993048
620.0,1556,1666.278923
740.0,1736,1696.2414
500.0,1215,1717.332477
900.0,1951,1750.364602
480.0,1153,1768.667324
760.0,1879,1809.886151
560.0,1371,1831.888232
800.0,1818,1862.843195
860.0,1863,1894.588942
880.0,2087,1930.233641
760.0,1719,1960.578589
720.0,1711,1988.620046
560.0,1313,2008.642735
760.0,1647,2036.203932
680.0,1566,2062.41452
400.0,1209,2084.240438
880.0,1967,2117.166171
920.0,2037,2152.001862
1000.0,1998,2184.943195
1120.0,2191,2222.309747
1240.0,2231,2272.24918
960.0,1831,2302.351519
1120.0,2053,2338.56704
1180.0,2183,2376.58273
1000.0,2007,2409.356858
1140.0,2057,2444.724904
980.0,1760,2475.792912
1020.0,1815,2505.303368
1220.0,2075,2537.711326
800.0,1534,2562.827806
1320.0,2207,2599.175688
820.0,1447,2622.862549
1080.0,2039,2659.037173
1140.0,2271,2714.136194
560.0,1248,2733.550921
1240.0,2077,2767.725901
1260.0,2271,2807.384222
980.0,1879,2839.774701
1300.0,2111,2876.604953
1240.0,2135,2912.263059
1220.0,2023,2945.815657
1280.0,1999,2980.389244
1280.0,2111,3017.398129
1320.0,2095,3054.656314
1280.0,2007,3087.138624
1400.0,2239,3139.985671
1040.0,1735,3168.999046
1320.0,2055,3203.055861
1440.0,2263,3242.18265
1260.0,2023,3278.317586
