#{"t_start": 1707597673.466466, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
75.0,654,19.74984
55.0,442,26.17887
410.0,871,41.238102
410.0,683,52.763626
255.0,751,65.927307
145.0,784,78.422141
160.0,490,85.420691
175.0,667,95.614521
330.0,679,105.921381
140.0,731,118.632417
60.0,301,122.666064
360.0,798,135.63236
180.0,464,141.83669
55.0,275,145.897125
210.0,599,154.571828
125.0,613,164.162107
520.0,1041,181.363404
60.0,483,189.233474
185.0,685,200.482816
55.0,347,205.846589
175.0,563,214.052878
255.0,697,224.874287
35.0,268,229.360086
140.0,521,237.60245
135.0,599,247.54916
45.0,259,250.498084
235.0,570,259.603756
240.0,776,272.311027
70.0,383,278.63438
135.0,632,289.173039
185.0,704,300.071149
565.0,899,313.882127
110.0,278,318.191512
155.0,656,327.126498
510.0,859,340.036839
330.0,832,353.109391
120.0,318,357.511906
205.0,595,368.141639
300.0,569,376.370154
360.0,701,386.918149
150.0,793,398.894257
195.0,520,406.512138
565.0,873,420.42485
170.0,447,427.403293
515.0,992,447.870411
195.0,533,456.444356
120.0,370,461.314022
235.0,532,469.065523
335.0,712,479.786586
370.0,788,493.495712
195.0,504,501.117996
80.0,285,505.030517
515.0,695,516.444384
220.0,624,527.267906
475.0,853,540.373458
250.0,640,550.208852
295.0,666,561.242987
585.0,883,574.678451
405.0,818,587.043081
545.0,1010,604.630776
745.0,1203,623.311085
340.0,696,633.897475
285.0,602,642.514906
330.0,699,652.830506
145.0,475,660.240716
330.0,684,671.98292
265.0,513,678.532589
430.0,779,691.130623
465.0,864,704.212484
315.0,729,716.148551
665.0,847,728.618559
180.0,497,736.465468
265.0,835,749.630002
570.0,1254,767.694527
150.0,508,775.264875
475.0,1124,793.003958
450.0,978,807.593191
345.0,747,818.743036
465.0,1154,836.561707
665.0,928,855.683142
385.0,808,868.993156
325.0,751,880.396422
440.0,879,893.953308
480.0,965,909.269598
465.0,916,923.461636
390.0,886,938.452774
360.0,720,948.919923
430.0,675,959.010512
325.0,763,971.320629
585.0,960,986.415278
375.0,780,998.575459
480.0,665,1008.359894
470.0,948,1022.643163
525.0,1148,1039.950863
460.0,858,1052.83953
535.0,780,1063.431125
490.0,916,1078.278317
